depth,speed
0.0,1517.915
10.0,1518.02
20.0,1518.161
30.0,1518.321
40.0,1518.499
50.0,1518.673
60.0,1518.851
70.0,1518.652
80.0,1517.162
90.0,1515.807
100.0,1514.488
110.0,1513.041
120.0,1511.714
130.0,1510.473
140.0,1509.072
150.0,1507.806
160.0,1506.211
170.0,1504.787
180.0,1503.312
190.0,1501.873
200.0,1500.331
250.0,1494.063
300.0,1491.713
350.0,1491.932
400.0,1491.96
450.0,1489.221
500.0,1485.94
550.0,1486.165
600.0,1484.876
700.0,1484.39
800.0,1480.476
900.0,1480.658
1200.0,1482.166
1727.8,1486.443
