# cfgfile = ./initcfg/MYGI/MYGI.1408.meiyo_mx-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M12,3.513992,0.0,0.0,0.0,False,43239.543495,11.48399,1645.40441,13.81731,183.32,0.8,-0.06,43244.119045,11.48244,1633.94313,13.85655,185.15,0.48,0.33
1,S01,L01,M13,4.109823,0.0,0.0,0.0,False,43249.543465,10.49359,1619.22307,13.40963,186.74,1.15,-0.39,43254.714845,9.267,1605.33284,13.73428,187.71,-0.8,-0.08
2,S01,L01,M15,2.404768,0.0,0.0,0.0,False,43269.543655,2.84009,1566.02761,13.83056,188.37,0.84,0.2,43273.00998,1.55596,1556.67042,13.58166,186.63,-0.79,0.33
3,S01,L01,M12,3.419022,0.0,0.0,0.0,False,43279.543615,-1.40777,1539.01198,12.74477,182.99,0.45,0.77,43284.024195,-1.9888,1526.95548,14.09269,180.52,-0.21,0.43
4,S01,L01,M13,3.989403,0.0,0.0,0.0,False,43289.54371,-2.84298,1512.57593,13.47846,178.5,0.15,2.3,43294.59467,-2.29591,1498.21953,13.43637,177.24,1.73,0.23
5,S01,L01,M15,2.354648,0.0,0.0,0.0,False,43309.54381,0.34864,1458.47709,13.48114,178.06,-0.31,-0.45,43312.960015,0.77451,1449.63923,13.64944,178.99,0.3,0.21
6,S01,L01,M12,3.320632,0.0,0.0,0.0,False,43319.543815,1.51048,1432.37494,13.05481,179.93,-0.08,-0.08,43323.926005,1.73041,1420.36067,13.69556,180.44,-0.04,0.69
7,S01,L01,M13,3.871778,0.0,0.0,0.0,False,43329.543885,2.26966,1405.75409,13.48247,180.73,1.43,0.18,43334.47722,2.52256,1392.44712,13.9398,181.36,1.4,-0.34
8,S01,L01,M15,2.313428,0.0,0.0,0.0,False,43349.543935,2.1322,1352.25035,13.3747,182.56,0.42,-0.48,43352.91892,1.74303,1343.39011,14.34038,182.74,0.76,0.48
9,S01,L01,M12,3.226917,0.0,0.0,0.0,False,43359.54396,1.23106,1324.68983,12.70618,182.38,-0.7,-0.48,43363.832435,0.84212,1312.77898,13.52495,182.01,-0.46,-0.25
10,S01,L01,M13,3.753783,0.0,0.0,0.0,False,43369.544045,0.35522,1297.22937,12.94856,181.77,-2.41,0.35,43374.359385,0.33588,1283.97164,13.27268,181.4,0.42,-0.02
11,S01,L01,M15,2.254008,0.0,0.0,0.0,False,43429.54431,4.12261,1134.39249,14.13878,180.58,1.77,0.1,43432.859875,3.77841,1124.3262,13.03773,180.5,-1.97,0.75
12,S01,L01,M12,3.046437,0.0,0.0,0.0,False,43439.544365,3.95863,1106.12177,13.15377,179.98,-0.09,0.6,43443.65236,3.50814,1094.24221,13.7403,180.14,1.17,0.98
13,S01,L01,M13,3.521068,0.0,0.0,0.0,False,43449.544365,4.13778,1077.81111,13.48325,179.34,0.2,0.51,43454.12699,4.25239,1064.51558,13.61749,178.86,0.94,0.01
14,S01,L01,M14,2.991436,0.0,0.0,0.0,False,43459.54439,4.90133,1048.99372,14.33361,178.59,1.14,-0.31,43463.597385,4.75913,1037.44942,13.49541,178.44,0.35,0.96
15,S01,L01,M15,2.238633,0.0,0.0,0.0,False,43469.544495,5.75619,1020.17023,13.94689,178.03,1.5,-0.1,43472.844685,5.86894,1011.27169,13.90984,178.12,1.59,0.59
16,S01,L01,M14,2.915271,0.0,0.0,0.0,False,43499.54462,9.68905,935.79039,13.87935,180.04,0.0,-0.36,43503.52145,9.91368,924.62331,13.1517,180.3,-1.27,-0.0
17,S01,L01,M15,2.232763,0.0,0.0,0.0,False,43509.54459,9.4787,907.27582,13.44898,180.52,0.45,0.05,43512.83891,9.84048,897.89584,13.7631,180.14,-0.8,-0.12
18,S01,L01,M12,2.877872,0.0,0.0,0.0,False,43519.544645,9.3754,879.17685,13.08319,180.16,-0.86,1.07,43523.484075,9.38557,867.42772,13.21233,180.39,1.07,-0.08
19,S01,L01,M13,3.291853,0.0,0.0,0.0,False,43529.54468,9.45817,850.64774,14.35778,179.65,0.78,1.06,43533.89809,9.76394,838.37686,13.61401,180.12,1.36,0.23
20,S01,L01,M12,2.803682,0.0,0.0,0.0,False,43559.54486,10.57392,765.3678,13.56568,182.21,0.24,-0.06,43563.4101,10.38476,753.94696,13.3433,182.62,-0.08,0.1
21,S01,L01,M13,3.180688,0.0,0.0,0.0,False,43569.54489,9.4714,735.80652,13.83075,183.5,0.32,0.26,43573.787135,8.71323,723.47553,13.80903,184.41,-0.01,0.35
22,S01,L01,M14,2.773011,0.0,0.0,0.0,False,43579.5449,7.73368,706.07041,13.23063,183.9,-0.21,-0.11,43583.37947,6.6849,694.62108,13.27904,183.78,-0.48,0.67
23,S01,L01,M15,2.253313,0.0,0.0,0.0,False,43589.544905,5.66298,676.82355,13.72016,183.17,-0.19,0.8,43592.859775,5.36114,666.64971,12.60711,183.1,-0.71,-0.14
24,S01,L01,M12,2.737117,0.0,0.0,0.0,False,43599.545005,4.32387,647.03496,14.03249,181.9,-0.32,0.1,43603.34368,3.84201,635.69247,13.15129,181.97,-0.01,0.9
25,S01,L01,M13,3.068968,0.0,0.0,0.0,False,43609.545085,3.17475,616.48842,13.95772,181.9,-0.23,0.45,43613.67561,3.28952,604.00174,12.99264,182.09,-1.78,-0.68
26,S01,L01,M14,2.708856,0.0,0.0,0.0,False,43619.54511,2.24611,587.26522,13.65572,181.16,0.74,0.41,43623.315525,2.19536,575.70556,13.45805,180.45,-0.3,-0.03
27,S01,L01,M15,2.281448,0.0,0.0,0.0,False,43629.545085,2.0903,557.51155,13.38975,179.83,-0.42,1.23,43632.88809,2.45285,547.81473,13.93073,179.05,0.45,-0.13
28,S01,L01,M12,2.674737,0.0,0.0,0.0,False,43639.545185,2.99452,527.68631,13.23281,178.69,-1.03,0.15,43643.28148,3.26887,516.56776,13.40212,178.31,-1.39,0.78
