# cfgfile =demo_timeSeq/MYGI/MYGI.1801.meiyo_m5-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M15,2.432783,-0.000024,23.573742,-0.000356,False,81479.402695,-46.262720,1617.040240,12.934090,176.310000,0.870000,-1.600000,81482.897035,-47.987720,1604.916520,13.158030,174.740000,-0.530000,1.700000,-0.000204,0.027141,-0.014316,-1.250738,0.025471
1,S01,L01,M12,3.509047,0.000167,50.663996,-0.000442,False,81480.492720,-47.061430,1613.089340,12.739070,175.450000,0.140000,0.290000,81485.063325,-47.992600,1597.416940,13.147080,174.690000,-0.560000,-0.070000,-0.000204,0.027104,-0.014239,-1.249267,0.024779
2,S01,L01,M12,3.481297,0.000103,50.258878,-0.000450,False,81489.392705,-49.210480,1582.787630,13.415810,172.520000,0.730000,1.080000,81493.935560,-47.949570,1567.029900,13.191470,172.260000,0.210000,-3.400000,-0.000204,0.026903,-0.013821,-1.241242,0.021004
3,S01,L01,M13,4.065518,0.000282,57.170410,-0.000555,False,81490.482725,-49.481000,1578.734530,13.116660,171.640000,-1.440000,1.090000,81495.609800,-48.787180,1561.594230,13.287830,171.390000,3.650000,0.060000,-0.000204,0.026872,-0.013756,-1.239994,0.020418
4,S01,L01,M15,2.380303,-0.000104,20.390444,-0.000384,False,81510.482840,-45.784140,1511.387920,12.943430,167.870000,-1.090000,-0.190000,81513.924700,-44.838230,1499.555980,13.624670,167.110000,0.290000,-0.030000,-0.000203,0.026442,-0.012860,-1.222715,0.012317
5,S01,L01,M12,3.356162,-0.000125,48.371364,-0.000511,False,81529.392870,-41.453880,1449.081100,13.349860,167.700000,1.000000,0.750000,81533.810590,-40.179970,1434.902000,13.335690,169.790000,0.760000,-1.160000,-0.000203,0.026010,-0.011959,-1.205247,0.004163
6,S01,L01,M13,3.885938,-0.000017,55.331420,-0.000639,False,81539.392965,-38.639510,1416.655370,13.585450,169.420000,-0.770000,-1.980000,81544.340460,-38.116250,1399.879530,13.004880,168.200000,-2.170000,-0.660000,-0.000202,0.025783,-0.011485,-1.196016,-0.000132
7,S01,L01,M14,3.261561,-0.000071,47.079707,-0.000593,False,81540.483095,-38.724090,1413.451330,14.044830,169.600000,1.480000,-0.920000,81544.806215,-37.903430,1398.479930,13.138780,168.610000,-1.590000,-1.410000,-0.000202,0.025766,-0.011450,-1.195316,-0.000457
8,S01,L01,M14,3.237646,-0.000078,46.683595,-0.000604,False,81549.392950,-36.691020,1383.841630,12.664660,168.030000,-0.880000,0.510000,81553.692155,-36.107460,1370.034300,13.540100,167.840000,0.510000,1.580000,-0.000202,0.025570,-0.011041,-1.187322,-0.004168
9,S01,L01,M15,2.325278,-0.000074,16.250182,-0.000423,False,81550.483080,-36.158570,1380.464020,12.928880,168.380000,-1.770000,-0.520000,81553.869915,-36.105820,1369.447210,13.572420,167.810000,0.770000,1.700000,-0.000202,0.025556,-0.011012,-1.186753,-0.004432
10,S01,L01,M15,2.314363,-0.000094,15.287919,-0.000431,False,81559.393025,-34.257910,1351.105960,13.013840,167.770000,-0.280000,-0.720000,81562.768945,-33.769260,1340.227920,13.288900,168.940000,0.380000,0.660000,-0.000202,0.025361,-0.010605,-1.178760,-0.008133
11,S01,L01,M12,3.263877,-0.000001,46.859051,-0.000550,False,81560.483055,-34.198410,1347.354760,12.575430,168.110000,-1.220000,-0.200000,81564.808490,-33.073590,1333.269330,13.402330,168.880000,0.130000,0.780000,-0.000202,0.025326,-0.010533,-1.177356,-0.008782
12,S01,L01,M12,3.238302,-0.000178,46.403047,-0.000557,False,81569.393040,-32.431950,1318.348190,13.642800,170.980000,0.210000,0.190000,81573.692900,-31.561600,1304.215560,13.180430,171.760000,0.440000,-1.860000,-0.000202,0.025132,-0.010128,-1.169378,-0.012467
13,S01,L01,M13,3.774603,0.000118,54.077060,-0.000679,False,81570.483075,-32.243280,1314.604820,13.702610,170.410000,-0.430000,0.910000,81575.319235,-31.628750,1298.340160,12.979520,172.570000,-0.690000,-1.230000,-0.000202,0.025103,-0.010067,-1.168161,-0.013028
14,S01,L01,M13,3.742668,0.000169,53.699665,-0.000686,False,81579.393210,-31.753210,1285.161040,13.381340,171.700000,0.550000,1.200000,81584.197435,-31.858230,1269.404940,13.241040,172.980000,0.840000,1.380000,-0.000201,0.024910,-0.009664,-1.160194,-0.016699
15,S01,L01,M14,3.154166,-0.000045,45.167258,-0.000629,False,81580.483235,-31.241940,1281.427080,13.196750,171.340000,-0.900000,-0.260000,81584.698960,-31.972700,1267.579110,13.320400,172.740000,0.630000,1.960000,-0.000201,0.024893,-0.009628,-1.159481,-0.017027
16,S01,L01,M14,3.130011,0.000112,44.714487,-0.000632,False,81589.403245,-30.937040,1251.768700,13.178480,171.560000,1.150000,-0.990000,81593.594815,-31.331460,1237.656270,12.841080,172.550000,-1.920000,1.340000,-0.000201,0.024701,-0.009226,-1.151510,-0.020690
17,S01,L01,M15,2.281738,-0.000109,11.879011,-0.000450,False,81590.493170,-31.048890,1248.086500,13.138510,171.980000,0.220000,-0.250000,81593.836465,-31.358590,1236.773950,12.789030,172.470000,-2.130000,1.380000,-0.000201,0.024686,-0.009197,-1.150914,-0.020963
18,S01,L01,M15,2.274023,-0.000118,10.876389,-0.000454,False,81599.393180,-30.427960,1218.211560,13.049560,171.590000,-0.290000,-0.780000,81602.728760,-30.952650,1207.248860,13.090900,171.800000,-1.270000,1.420000,-0.000201,0.024496,-0.008798,-1.142961,-0.024608
19,S01,L01,M12,3.151362,-0.000106,44.817355,-0.000575,False,81600.483310,-30.588470,1214.812020,13.089480,172.190000,-0.470000,-0.270000,81604.696230,-30.909360,1200.519040,13.464060,170.760000,-0.640000,1.160000,-0.000201,0.024463,-0.008729,-1.141596,-0.025233
20,S01,L01,M12,3.126742,-0.000060,44.350378,-0.000578,False,81609.393240,-30.390980,1184.535210,12.682610,172.280000,-0.440000,-0.180000,81613.581540,-29.707560,1170.806590,13.463310,170.420000,-1.100000,-0.670000,-0.000201,0.024273,-0.008332,-1.133651,-0.028864
21,S01,L01,M13,3.631243,0.000119,52.336383,-0.000700,False,81610.483270,-30.667500,1181.061350,12.734690,172.440000,-0.570000,0.650000,81615.176070,-30.081160,1165.099260,13.064550,170.930000,-0.500000,0.020000,-0.000201,0.024244,-0.008273,-1.132453,-0.029411
22,S01,L01,M13,3.599638,0.000160,51.905510,-0.000704,False,81619.393335,-29.544150,1151.041270,13.386220,171.150000,1.660000,0.140000,81624.054530,-29.299330,1135.508120,13.677830,171.960000,0.890000,-0.210000,-0.000200,0.024056,-0.007878,-1.124520,-0.033026
23,S01,L01,M14,3.048836,0.000100,43.077524,-0.000642,False,81620.483365,-29.355990,1147.032790,12.854560,170.820000,-0.800000,-0.100000,81624.593760,-29.266860,1133.621760,13.738840,171.970000,1.280000,-0.040000,-0.000200,0.024039,-0.007842,-1.123794,-0.033357
24,S01,L01,M14,3.026366,0.000089,42.601403,-0.000644,False,81629.393805,-28.955370,1117.081080,12.851270,172.800000,0.540000,0.800000,81633.481730,-28.610720,1103.550470,13.845200,172.770000,-0.170000,-0.410000,-0.000200,0.023851,-0.007449,-1.115866,-0.036961
25,S01,L01,M15,2.252363,-0.000101,7.291033,-0.000467,False,81630.483420,-28.810740,1113.311390,12.890420,173.080000,-0.010000,0.440000,81633.797340,-28.547960,1102.461810,13.955930,172.870000,-0.250000,-0.630000,-0.000200,0.023836,-0.007418,-1.115240,-0.037245
26,S01,L01,M15,2.247423,-0.000055,6.262819,-0.000469,False,81639.393390,-28.781910,1083.387540,12.823380,174.700000,0.910000,-0.270000,81642.702370,-28.536900,1072.409170,13.607330,175.740000,-1.260000,-1.090000,-0.000200,0.023649,-0.007027,-1.107313,-0.040837
27,S01,L01,M12,3.044002,0.000009,42.663810,-0.000586,False,81640.483420,-28.074510,1079.641470,13.561680,175.190000,-1.250000,-2.170000,81644.588980,-29.465580,1065.811470,12.777460,176.030000,-0.030000,0.790000,-0.000200,0.023618,-0.006962,-1.105990,-0.041436
28,S01,L01,M12,3.022027,-0.000037,42.189509,-0.000584,False,81649.393475,-29.781310,1049.326910,13.910790,176.570000,-0.540000,-1.100000,81653.477060,-31.301300,1035.595250,12.665730,176.820000,-1.020000,0.230000,-0.000200,0.023433,-0.006574,-1.098080,-0.045010
29,S01,L01,M13,3.490068,0.000024,50.420692,-0.000702,False,81650.483505,-30.150400,1045.763030,13.522680,176.700000,-0.720000,-0.390000,81655.035130,-31.027430,1030.257390,12.870150,176.750000,-1.040000,-1.930000,-0.000200,0.023406,-0.006516,-1.096904,-0.045540
30,S01,L01,M13,3.459268,0.000049,49.967039,-0.000697,False,81659.393475,-32.587390,1015.414100,13.301300,175.690000,-1.530000,1.260000,81663.914300,-33.733920,1000.418840,13.620760,174.570000,0.760000,-0.330000,-0.000199,0.023222,-0.006131,-1.089009,-0.049097
31,S01,L01,M14,2.947191,0.000018,40.836706,-0.000635,False,81660.483505,-32.654990,1011.857340,12.873710,175.550000,-1.820000,0.240000,81664.492255,-33.873330,998.671950,13.874100,174.330000,1.400000,-0.090000,-0.000199,0.023204,-0.006095,-1.088269,-0.049430
32,S01,L01,M14,2.925531,0.000040,40.341476,-0.000632,False,81669.393605,-34.323320,982.246330,12.256180,172.550000,-1.140000,0.060000,81673.380695,-34.628190,968.780400,13.777710,171.730000,-0.360000,0.290000,-0.000199,0.023021,-0.005711,-1.080379,-0.052973
33,S01,L01,M15,2.237053,-0.000002,2.752788,-0.000469,False,81670.483530,-34.732650,978.990650,12.898380,172.010000,1.300000,0.840000,81673.782140,-34.749680,967.504210,13.739810,171.670000,-0.350000,0.410000,-0.000199,0.023006,-0.005679,-1.079719,-0.053269
34,S01,L01,M15,2.235318,-0.000026,1.821049,-0.000471,False,81679.393585,-34.444080,948.944650,13.112940,169.270000,0.400000,-1.030000,81682.690460,-34.650140,937.678570,13.101280,168.100000,0.070000,2.120000,-0.000199,0.022824,-0.005297,-1.071830,-0.056801
