# cfgfile =demo_timeSeq/MYGI/MYGI.1408.meiyo_mx-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M12,3.513992,-0.000070,52.603465,0.000218,False,43239.543495,11.483990,1645.404410,13.817310,183.320000,0.800000,-0.060000,43244.119045,11.482440,1633.943130,13.856550,185.150000,0.480000,0.330000,0.000066,0.000016,-0.000011,-0.000077,-0.000015
1,S01,L01,M13,4.109823,0.000259,60.035854,0.000245,False,43249.543465,10.493590,1619.223070,13.409630,186.740000,1.150000,-0.390000,43254.714845,9.267000,1605.332840,13.734280,187.710000,-0.800000,-0.080000,0.000066,0.000017,-0.000011,-0.000076,-0.000015
2,S01,L01,M15,2.404768,-0.000092,22.644638,0.000120,False,43269.543655,2.840090,1566.027610,13.830560,188.370000,0.840000,0.200000,43273.009980,1.555960,1556.670420,13.581660,186.630000,-0.790000,0.330000,0.000065,0.000017,-0.000011,-0.000074,-0.000015
3,S01,L01,M12,3.419022,0.000014,51.146719,0.000217,False,43279.543615,-1.407770,1539.011980,12.744770,182.990000,0.450000,0.770000,43284.024195,-1.988800,1526.955480,14.092690,180.520000,-0.210000,0.430000,0.000065,0.000017,-0.000011,-0.000074,-0.000015
4,S01,L01,M13,3.989403,0.000217,58.745245,0.000241,False,43289.543710,-2.842980,1512.575930,13.478460,178.500000,0.150000,2.300000,43294.594670,-2.295910,1498.219530,13.436370,177.240000,1.730000,0.230000,0.000065,0.000017,-0.000011,-0.000073,-0.000014
5,S01,L01,M15,2.354648,-0.000055,19.237200,0.000118,False,43309.543810,0.348640,1458.477090,13.481140,178.060000,-0.310000,-0.450000,43312.960015,0.774510,1449.639230,13.649440,178.990000,0.300000,0.210000,0.000065,0.000018,-0.000011,-0.000071,-0.000014
6,S01,L01,M12,3.320632,-0.000136,49.513741,0.000212,False,43319.543815,1.510480,1432.374940,13.054810,179.930000,-0.080000,-0.080000,43323.926005,1.730410,1420.360670,13.695560,180.440000,-0.040000,0.690000,0.000065,0.000018,-0.000011,-0.000070,-0.000014
7,S01,L01,M13,3.871778,0.000259,57.389834,0.000233,False,43329.543885,2.269660,1405.754090,13.482470,180.730000,1.430000,0.180000,43334.477220,2.522560,1392.447120,13.939800,181.360000,1.400000,-0.340000,0.000065,0.000018,-0.000011,-0.000070,-0.000014
8,S01,L01,M15,2.313428,0.000058,15.718184,0.000116,False,43349.543935,2.132200,1352.250350,13.374700,182.560000,0.420000,-0.480000,43352.918920,1.743030,1343.390110,14.340380,182.740000,0.760000,0.480000,0.000065,0.000019,-0.000011,-0.000068,-0.000014
9,S01,L01,M12,3.226917,0.000110,47.834097,0.000208,False,43359.543960,1.231060,1324.689830,12.706180,182.380000,-0.700000,-0.480000,43363.832435,0.842120,1312.778980,13.524950,182.010000,-0.460000,-0.250000,0.000064,0.000019,-0.000011,-0.000067,-0.000014
10,S01,L01,M13,3.753783,0.000041,55.962399,0.000227,False,43369.544045,0.355220,1297.229370,12.948560,181.770000,-2.410000,0.350000,43374.359385,0.335880,1283.971640,13.272680,181.400000,0.420000,-0.020000,0.000064,0.000019,-0.000011,-0.000067,-0.000013
11,S01,L01,M15,2.254008,0.000019,8.196943,0.000114,False,43429.544310,4.122610,1134.392490,14.138780,180.580000,1.770000,0.100000,43432.859875,3.778410,1124.326200,13.037730,180.500000,-1.970000,0.750000,0.000064,0.000020,-0.000011,-0.000062,-0.000013
