# cfgfile =demo_timeSeq/MYGI/MYGI.2002.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.410053,-0.000037,22.218118,-0.000165,False,11705.395150,-58.411200,1569.954020,15.976240,168.380000,-0.130000,-2.540000,11708.866760,-56.189170,1557.978780,15.165850,169.190000,0.420000,-3.700000,-0.000008,-0.000005,-0.000035,0.000657,-0.000065
1,S01,L01,M13,4.053333,-0.000019,57.096731,-0.000131,False,11706.485220,-57.428020,1565.966370,15.422940,168.650000,-0.860000,-3.840000,11711.600110,-54.732830,1548.340030,16.066160,168.700000,-0.360000,-1.070000,-0.000008,-0.000005,-0.000035,0.000656,-0.000065
2,S01,L01,M12,3.440462,0.000098,49.684055,-0.000156,False,11715.395530,-52.971690,1535.095100,16.607390,168.400000,0.370000,-2.360000,11719.897550,-50.161270,1519.204260,15.065530,168.950000,-0.360000,-2.550000,-0.000008,-0.000005,-0.000034,0.000653,-0.000064
3,S01,L01,M14,3.361161,0.000010,48.737852,-0.000141,False,11716.485595,-51.790760,1531.226780,16.187910,168.770000,0.280000,-4.370000,11720.908315,-50.241800,1515.988540,15.330720,169.420000,0.320000,-1.120000,-0.000008,-0.000005,-0.000034,0.000652,-0.000064
4,S01,L01,M13,3.980358,0.000175,56.373361,-0.000106,False,11725.395900,-47.126180,1501.243060,15.211430,169.620000,1.370000,-1.850000,11730.437815,-44.611250,1484.242230,15.399170,170.460000,0.570000,-1.440000,-0.000008,-0.000005,-0.000034,0.000649,-0.000063
5,S01,L01,M15,2.374953,0.000004,19.973946,-0.000144,False,11726.485965,-46.569530,1497.560220,15.914730,169.840000,1.390000,-2.460000,11729.922475,-44.578890,1486.045510,15.387310,170.460000,0.630000,-2.090000,-0.000008,-0.000005,-0.000034,0.000649,-0.000063
6,S01,L01,M14,3.308411,0.000127,47.880551,-0.000120,False,11735.396265,-42.040610,1466.797390,16.093340,170.850000,0.050000,-1.190000,11739.766235,-40.362170,1452.110920,15.948290,172.850000,1.680000,-3.440000,-0.000008,-0.000005,-0.000034,0.000645,-0.000062
7,S01,L01,M12,3.370332,0.000169,48.621119,-0.000131,False,11736.486335,-41.821390,1462.632140,16.187950,171.530000,-0.990000,-1.330000,11740.918225,-40.025410,1447.856820,14.909440,173.120000,0.110000,-2.880000,-0.000008,-0.000005,-0.000034,0.000645,-0.000062
8,S01,L01,M15,2.347358,0.000066,17.962106,-0.000129,False,11745.396735,-37.645770,1433.639880,14.819150,175.360000,0.130000,-1.530000,11748.805650,-37.024770,1421.950130,16.802220,176.600000,-0.800000,-1.550000,-0.000008,-0.000005,-0.000033,0.000641,-0.000061
9,S01,L01,M13,3.901713,0.000102,55.534859,-0.000084,False,11746.486700,-37.878690,1429.858630,15.195790,175.210000,-0.500000,0.390000,11751.449970,-35.549330,1412.727750,16.520880,178.000000,0.620000,-5.160000,-0.000008,-0.000005,-0.000033,0.000641,-0.000060
10,S01,L01,M12,3.311637,0.000038,47.679447,-0.000116,False,11755.397120,-35.315860,1398.989010,15.650240,181.090000,-0.550000,-4.190000,11759.770315,-35.336780,1384.937820,15.387480,181.980000,-0.800000,-1.460000,-0.000008,-0.000005,-0.000033,0.000637,-0.000059
