# cfgfile = ./initcfg/MYGI/MYGI.1309.kaiyo_kx-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M15,2.458848,0.0,0.0,0.0,False,59735.54115,5.70757,1656.91523,15.95864,172.05,0.8,0.52,59739.061555,7.55725,1646.89133,15.51863,173.31,1.65,-2.09
1,S01,L01,M12,3.505977,0.0,0.0,0.0,False,59745.541555,8.40963,1627.27093,15.91278,174.26,1.17,-2.01,59750.10909,7.49531,1613.01354,15.70435,174.61,0.15,1.21
2,S01,L01,M15,2.394808,0.0,0.0,0.0,False,59775.54269,8.07537,1533.84229,15.71995,176.51,0.11,-0.34,59778.999055,7.40904,1523.2903,16.00752,175.55,0.7,0.4
3,S01,L01,M12,3.389592,0.0,0.0,0.0,False,59785.543075,7.63929,1501.97529,15.53619,176.07,-1.56,-0.06,59789.994225,8.51763,1488.36649,15.85524,175.7,0.52,-1.78
4,S01,L01,M14,3.311291,0.0,0.0,0.0,False,59805.54386,7.67327,1439.15435,15.64866,176.06,-0.91,-1.19,59809.91671,7.28778,1425.04361,15.59765,176.02,-0.52,-0.45
5,S01,L01,M15,2.339228,0.0,0.0,0.0,False,59815.544215,7.21987,1407.51742,15.58004,175.75,-0.69,-0.08,59818.945,7.21188,1397.00735,15.89494,175.58,1.2,-0.93
6,S01,L01,M12,3.276522,0.0,0.0,0.0,False,59825.544605,6.94667,1375.8449,16.041,176.04,0.35,-0.73,59829.882685,6.49605,1362.63828,15.66486,176.46,2.23,-0.37
7,S01,L01,M13,3.814518,0.0,0.0,0.0,False,59835.54497,5.59898,1345.2072,16.29311,177.5,1.92,0.73,59840.421045,5.60433,1329.98197,15.52864,177.55,0.44,-0.79
8,S01,L01,M15,2.295983,0.0,0.0,0.0,False,59855.54578,4.13833,1284.89779,15.74067,175.87,1.29,-2.29,59858.90332,2.53601,1274.18537,15.2584,175.51,-1.62,1.2
9,S01,L01,M12,3.175392,0.0,0.0,0.0,False,59865.54618,2.22376,1255.24472,16.27135,175.33,0.78,-0.25,59869.78313,2.67901,1242.52029,15.08435,174.66,-0.29,-1.35
10,S01,L01,M14,3.108191,0.0,0.0,0.0,False,59885.54687,1.2398,1196.63682,16.23857,174.03,1.21,0.69,59889.71662,1.98187,1184.23235,15.19082,172.85,-0.27,-1.1
11,S01,L01,M15,2.265718,0.0,0.0,0.0,False,59895.547315,1.58561,1167.69043,15.1954,173.07,0.63,0.28,59898.87459,2.53379,1157.80998,15.70473,172.8,-1.03,-1.67
12,S01,L01,M12,3.081597,0.0,0.0,0.0,False,59905.537635,2.77561,1139.35066,15.37025,172.67,0.13,-1.97,59909.68079,2.03152,1127.66991,16.22652,172.9,-0.08,0.94
13,S01,L01,M13,3.565913,0.0,0.0,0.0,False,59915.53809,3.15949,1111.09573,15.78577,171.68,-0.72,-1.33,59920.16556,3.01256,1098.63611,15.79066,171.19,0.84,0.32
