depth,speed
0.0,1492.271
10.0,1492.374
20.0,1492.479
30.0,1492.581
40.0,1492.74
50.0,1492.918
60.0,1493.085
70.0,1493.19
80.0,1493.277
90.0,1493.46
100.0,1493.636
110.0,1493.759
120.0,1493.706
130.0,1492.553
140.0,1491.28
150.0,1490.462
160.0,1489.123
170.0,1488.727
180.0,1488.937
190.0,1487.764
200.0,1483.513
250.0,1470.663
300.0,1469.917
350.0,1472.193
400.0,1473.612
450.0,1472.886
500.0,1473.292
550.0,1473.406
600.0,1474.766
700.0,1475.437
800.0,1475.968
900.0,1476.766
1200.0,1479.362
1727.8,1486.285
