depth,speed
0.0,1533.648
10.0,1533.416
20.0,1527.603
30.0,1516.61
40.0,1510.014
50.0,1505.93
60.0,1502.3
70.0,1500.011
80.0,1497.095
90.0,1493.738
100.0,1491.621
110.0,1489.97
120.0,1488.097
130.0,1486.637
140.0,1484.569
150.0,1481.389
160.0,1478.356
170.0,1474.355
180.0,1471.961
190.0,1471.146
200.0,1472.444
250.0,1471.928
300.0,1468.733
350.0,1469.236
400.0,1474.424
450.0,1476.347
500.0,1477.152
550.0,1475.926
600.0,1476.367
700.0,1476.529
800.0,1476.566
900.0,1477.243
1200.0,1479.785
1727.8,1486.201
