depth,speed
0.0,1534.282
10.0,1528.501
20.0,1519.396
30.0,1510.342
40.0,1506.059
50.0,1506.842
60.0,1503.082
70.0,1499.641
80.0,1498.901
90.0,1496.882
100.0,1495.581
110.0,1495.534
120.0,1496.481
130.0,1495.816
140.0,1495.408
150.0,1494.967
160.0,1494.02
170.0,1492.415
180.0,1490.992
190.0,1489.727
200.0,1488.094
250.0,1482.354
300.0,1481.06
350.0,1479.056
400.0,1474.016
450.0,1472.176
500.0,1472.008
550.0,1472.842
600.0,1474.097
700.0,1475.929
800.0,1478.05
900.0,1478.023
1200.0,1480.6
1727.8,1486.514
