# cfgfile = ./initcfg/MYGI/MYGI.1802.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M15,2.407753,0.0,0.0,0.0,False,85589.39521,-59.0072,1568.51458,15.94349,185.29,-0.89,-0.66,85592.86452,-59.90328,1557.8937,15.96565,185.62,0.81,-0.97
1,S01,L01,M12,3.469222,0.0,0.0,0.0,False,85590.48525,-59.21681,1565.00745,15.98,185.53,-1.47,-0.31,85595.01603,-59.30771,1551.03026,15.78867,186.02,1.23,-4.67
2,S01,L01,M12,3.445187,0.0,0.0,0.0,False,85599.395325,-62.26583,1537.596,15.55961,187.11,-1.3,0.36,85603.90207,-62.77498,1523.45683,15.7438,185.27,-0.37,-3.66
3,S01,L01,M13,4.014558,0.0,0.0,0.0,False,85600.48578,-62.90135,1534.50993,15.76583,186.54,-0.25,1.01,85605.561895,-64.03898,1518.73786,15.28016,185.9,0.77,-2.82
4,S01,L01,M14,3.326676,0.0,0.0,0.0,False,85610.4855,-66.08847,1503.29682,15.86065,182.1,-0.94,-0.58,85614.873735,-66.55819,1489.40151,15.302,180.28,0.77,-1.32
5,S01,L01,M14,3.301636,0.0,0.0,0.0,False,85619.39559,-67.52831,1475.46072,16.18995,177.07,-1.16,-0.59,85623.758785,-67.49424,1461.15161,15.70593,175.32,0.85,-0.81
6,S01,L01,M15,2.362518,0.0,0.0,0.0,False,85620.48563,-67.25353,1471.94492,16.26944,176.2,-0.56,-1.36,85623.909705,-67.47213,1460.66199,15.70828,175.36,0.82,-0.87
7,S01,L01,M15,2.350248,0.0,0.0,0.0,False,85629.39576,-66.8688,1443.61155,15.62065,173.05,-0.27,-0.07,85632.807565,-65.38149,1432.39395,16.08066,173.03,-0.5,-1.51
8,S01,L01,M12,3.358442,0.0,0.0,0.0,False,85630.4858,-65.95749,1440.22514,16.03403,172.89,-0.26,-1.79,85634.9058,-65.96548,1425.3685,16.11536,172.02,0.61,0.75
9,S01,L01,M12,3.331172,0.0,0.0,0.0,False,85639.39594,-63.2817,1411.02438,15.22412,172.15,-0.23,-1.82,85643.78867,-62.27551,1396.71815,15.78372,170.94,-0.76,0.65
