# cfgfile =demo_timeSeq/MYGI/MYGI.1508.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M15,2.469473,-0.000183,26.343240,-0.000198,False,31048.547010,-2.279350,1690.702520,16.293470,175.770000,0.610000,-0.490000,31052.078040,-3.218920,1680.917860,15.500280,175.230000,-0.770000,1.230000,-0.000015,0.026512,0.043894,0.129790,-0.052859
1,S01,L01,M12,3.532597,-0.000239,52.675491,-0.000321,False,31058.537390,-3.131440,1663.584010,16.325040,175.110000,1.610000,1.000000,31063.131545,-2.735030,1650.999460,15.705400,174.440000,0.170000,0.030000,-0.000015,0.026303,0.043304,0.128746,-0.051910
2,S01,L01,M13,4.124248,-0.000276,59.880789,-0.000481,False,31068.537810,-2.543700,1636.075940,16.180760,174.200000,0.170000,-0.600000,31073.723615,-2.984440,1621.853560,16.166970,173.960000,1.330000,0.720000,-0.000016,0.026100,0.042727,0.127726,-0.050983
3,S01,L01,M14,3.447286,-0.000019,51.655787,-0.000374,False,31078.538155,-2.778060,1608.294330,15.419720,173.660000,-1.000000,0.560000,31083.047000,-2.458140,1595.881090,16.841610,173.850000,0.350000,0.340000,-0.000016,0.025909,0.042188,0.126770,-0.050114
4,S01,L01,M15,2.409408,-0.000160,23.026891,-0.000173,False,31088.538680,-1.780270,1580.769940,15.234380,173.520000,0.650000,-0.900000,31092.009645,-2.485230,1571.386580,16.588280,173.470000,0.970000,1.280000,-0.000016,0.025724,0.041660,0.125834,-0.049264
5,S01,L01,M12,3.428122,-0.000217,51.093677,-0.000280,False,31098.538960,-2.426450,1552.978090,16.141260,173.680000,1.130000,1.470000,31103.028640,-1.172260,1540.440630,15.863820,173.450000,-0.290000,-0.420000,-0.000017,0.025519,0.041075,0.124799,-0.048323
6,S01,L01,M13,4.000288,-0.000136,58.576031,-0.000426,False,31108.539330,-1.340770,1525.065320,15.584560,173.750000,-1.040000,-0.530000,31113.601175,-1.292000,1511.582490,16.434600,173.690000,1.190000,0.800000,-0.000017,0.025319,0.040505,0.123788,-0.047404
7,S01,L01,M14,3.348081,0.000046,50.070455,-0.000332,False,31118.539770,-0.683690,1498.038510,15.837210,173.080000,1.640000,-0.320000,31122.949410,-0.475650,1485.537460,16.013910,172.980000,-0.210000,0.540000,-0.000017,0.025133,0.039970,0.122839,-0.046541
8,S01,L01,M15,2.356818,-0.000093,19.549454,-0.000151,False,31128.540125,0.293210,1470.088650,14.967380,172.880000,-0.580000,-1.060000,31131.958500,0.499440,1461.058780,16.506990,172.910000,1.580000,0.640000,-0.000017,0.024950,0.039445,0.121909,-0.045696
9,S01,L01,M12,3.326972,-0.000027,49.435929,-0.000244,False,31138.540520,1.339680,1443.124560,16.106160,172.500000,1.160000,-1.930000,31142.929050,1.109840,1430.579370,15.780600,172.500000,-0.550000,1.300000,-0.000018,0.024750,0.038868,0.120884,-0.044765
10,S01,L01,M13,3.878823,-0.000011,57.210151,-0.000376,False,31148.540920,2.482470,1415.337390,16.686690,172.090000,0.410000,-0.220000,31153.481300,3.283580,1401.964180,15.607080,171.350000,0.810000,-1.350000,-0.000018,0.024555,0.038303,0.119883,-0.043855
11,S01,L01,M14,3.255106,0.000213,48.462125,-0.000293,False,31158.541335,3.169310,1387.553290,15.908690,172.290000,0.850000,2.380000,31162.858000,4.793510,1375.739810,16.285380,172.810000,0.010000,-1.330000,-0.000018,0.024372,0.037772,0.118940,-0.042998
12,S01,L01,M15,2.312883,0.000075,15.932058,-0.000131,False,31168.541640,4.781080,1359.635890,15.650910,173.610000,-0.140000,1.200000,31171.916080,5.938640,1350.120920,15.691830,174.240000,-0.060000,-0.980000,-0.000019,0.024193,0.037251,0.118015,-0.042158
13,S01,L01,M12,3.227417,0.000103,47.672571,-0.000211,False,31178.542075,5.583030,1331.850150,15.903680,175.070000,-0.020000,-0.480000,31182.831050,5.364460,1319.294840,15.035860,175.110000,-1.470000,0.350000,-0.000019,0.023997,0.036681,0.117003,-0.041237
14,S01,L01,M13,3.757603,0.000166,55.743147,-0.000331,False,31188.542460,4.736960,1304.006970,16.380420,175.440000,-0.100000,1.260000,31193.361620,5.069750,1290.578870,15.485200,174.880000,0.730000,-0.490000,-0.000019,0.023807,0.036123,0.116011,-0.040336
15,S01,L01,M14,3.162691,0.000234,46.737363,-0.000259,False,31198.542840,3.928040,1275.979730,16.220150,174.740000,-1.210000,1.470000,31202.767090,4.784620,1264.681060,15.890010,174.300000,2.520000,0.000000,-0.000020,0.023628,0.035597,0.115075,-0.039486
