# cfgfile =demo_timeSeq/MYGI/MYGI.1602.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M12,3.345687,0.000041,48.170350,-0.000068,False,74242.543440,1.876500,1461.570230,15.771650,172.450000,0.500000,1.550000,74246.950685,3.108680,1448.729990,15.639680,173.130000,-0.440000,-0.290000,-0.000036,-0.000011,0.000011,0.000020,0.000033
1,S01,L01,M13,3.900923,0.000012,55.422497,-0.000077,False,74252.543835,2.862900,1432.632740,15.455510,174.290000,-1.640000,1.840000,74257.506315,4.271170,1418.522880,15.423210,174.470000,0.530000,-0.180000,-0.000037,-0.000011,0.000010,0.000020,0.000033
2,S01,L01,M14,3.270866,0.000039,47.224215,-0.000035,False,74262.544190,4.020540,1403.682400,15.610370,175.080000,-0.730000,0.550000,74266.876615,4.322070,1391.248410,15.535760,175.450000,0.330000,-0.490000,-0.000037,-0.000011,0.000010,0.000019,0.000033
3,S01,L01,M15,2.320413,-0.000022,16.007987,-0.000024,False,74272.544635,4.313930,1374.266460,16.059390,175.380000,0.720000,2.060000,74275.926605,4.405850,1364.106000,15.818870,175.940000,0.010000,-0.920000,-0.000037,-0.000011,0.000010,0.000019,0.000033
4,S01,L01,M12,3.240907,-0.000055,46.424513,-0.000071,False,74282.545070,4.416950,1344.094790,15.838290,175.800000,-0.210000,2.100000,74286.847535,4.296110,1331.056350,15.714230,176.110000,-0.010000,-0.100000,-0.000037,-0.000011,0.000010,0.000019,0.000033
5,S01,L01,M13,3.770618,-0.000119,53.968887,-0.000081,False,74292.545465,3.505620,1314.078650,15.960910,176.040000,0.030000,3.230000,74297.377640,4.983680,1299.420400,15.327770,176.750000,0.690000,-1.800000,-0.000037,-0.000012,0.000010,0.000018,0.000033
6,S01,L01,M14,3.170371,0.000029,45.459118,-0.000040,False,74302.545750,3.205890,1283.734600,15.710090,176.030000,-0.700000,1.870000,74306.777680,4.585740,1270.976270,15.295100,176.420000,-0.090000,-1.410000,-0.000038,-0.000012,0.000010,0.000018,0.000033
7,S01,L01,M15,2.280533,-0.000009,12.045719,-0.000028,False,74312.546185,3.259150,1253.618090,15.399050,175.960000,-1.010000,0.640000,74315.888275,4.395380,1243.868680,15.305010,175.930000,1.100000,-1.400000,-0.000038,-0.000012,0.000010,0.000017,0.000033
8,S01,L01,M12,3.139957,-0.000062,44.582772,-0.000075,False,74322.546535,3.861350,1223.964890,15.504970,176.160000,-0.680000,-0.510000,74326.748050,3.559750,1211.245350,16.003150,176.040000,0.880000,0.550000,-0.000038,-0.000012,0.000010,0.000017,0.000034
9,S01,L01,M13,3.642763,0.000027,52.410623,-0.000085,False,74332.546895,4.182050,1194.314880,15.428930,176.450000,0.180000,-1.310000,74337.251215,2.957170,1179.780490,16.438660,175.970000,-0.260000,2.240000,-0.000038,-0.000012,0.000010,0.000016,0.000034
10,S01,L01,M14,3.075761,0.000042,43.627887,-0.000044,False,74342.537340,3.697910,1164.243850,15.154660,176.770000,0.960000,-0.330000,74346.674660,2.830790,1151.870460,16.229360,176.590000,-0.700000,1.930000,-0.000038,-0.000012,0.000010,0.000016,0.000034
11,S01,L01,M15,2.253158,-0.000008,7.986020,-0.000033,False,74352.537690,3.768470,1133.988930,15.596390,176.760000,0.230000,-0.990000,74355.852405,2.089470,1124.346950,15.780280,177.080000,-0.060000,2.650000,-0.000038,-0.000012,0.000010,0.000016,0.000034
12,S01,L01,M12,3.044932,-0.000015,42.668656,-0.000079,False,74362.538085,2.728030,1104.420990,16.222680,176.550000,0.630000,1.140000,74366.644575,2.412540,1091.968600,15.556220,176.500000,0.250000,-0.160000,-0.000039,-0.000012,0.000010,0.000015,0.000034
13,S01,L01,M13,3.517428,0.000056,50.747929,-0.000089,False,74372.538435,2.620990,1074.483060,15.257090,176.000000,-0.370000,0.780000,74377.117420,1.648420,1060.867910,16.638190,176.670000,0.790000,1.580000,-0.000039,-0.000012,0.000010,0.000015,0.000034
14,S01,L01,M14,2.986571,0.000054,41.733137,-0.000049,False,74382.538805,3.175310,1044.693050,15.413270,175.990000,0.860000,-1.420000,74386.586935,1.387520,1032.509510,16.357780,176.000000,-0.130000,3.010000,-0.000039,-0.000012,0.000010,0.000014,0.000034
15,S01,L01,M15,2.236803,0.000006,3.853756,-0.000037,False,74392.539195,2.509490,1014.759430,15.549280,175.780000,1.250000,-0.480000,74395.837555,1.788470,1004.716790,15.983950,175.830000,-0.300000,2.810000,-0.000039,-0.000012,0.000010,0.000014,0.000034
16,S01,L01,M12,2.954912,0.000098,40.691832,-0.000082,False,74402.539620,2.535820,984.811300,16.017080,175.080000,0.720000,-1.250000,74406.556090,2.897920,972.579230,15.001240,174.910000,-0.380000,0.750000,-0.000039,-0.000012,0.000010,0.000014,0.000034
17,S01,L01,M13,3.394823,0.000021,48.977360,-0.000093,False,74412.540015,2.719330,954.816850,15.902640,174.070000,-0.810000,-0.580000,74416.996395,2.885380,941.522970,15.202840,174.650000,0.480000,0.730000,-0.000040,-0.000012,0.000010,0.000013,0.000034
18,S01,L01,M14,2.904266,0.000005,39.837603,-0.000053,False,74422.540430,2.684140,925.351330,16.198230,174.310000,-0.870000,1.520000,74426.506255,3.779270,913.389470,14.968620,174.310000,-0.090000,-1.760000,-0.000040,-0.000012,0.000010,0.000013,0.000034
19,S01,L01,M15,2.231468,0.000049,0.454711,-0.000042,False,74432.540790,2.916970,896.365000,15.934280,174.590000,0.540000,1.670000,74435.833815,4.630740,886.402130,15.004070,174.150000,-1.390000,-2.450000,-0.000040,-0.000012,0.000010,0.000012,0.000034
