depth,speed
0.0,1533.292
10.0,1529.691
20.0,1519.904
30.0,1513.194
40.0,1510.283
50.0,1507.994
60.0,1506.121
70.0,1503.808
80.0,1501.379
90.0,1499.91
100.0,1497.993
110.0,1496.265
120.0,1495.182
130.0,1493.556
140.0,1491.509
150.0,1490.754
160.0,1490.325
170.0,1490.292
180.0,1490.007
190.0,1489.535
200.0,1488.48
250.0,1480.3
300.0,1473.29
350.0,1471.225
400.0,1471.372
450.0,1472.048
500.0,1473.319
550.0,1473.711
600.0,1476.166
700.0,1476.904
800.0,1477.108
900.0,1477.894
1200.0,1479.971
1727.8,1486.539
