depth,speed
0.0,1516.059
10.0,1515.961
20.0,1515.591
30.0,1515.57
40.0,1515.444
50.0,1514.783
60.0,1514.374
70.0,1513.724
80.0,1512.547
90.0,1510.786
100.0,1509.207
110.0,1507.452
120.0,1505.542
130.0,1503.891
140.0,1502.147
150.0,1500.538
160.0,1499.387
170.0,1498.21
180.0,1497.092
190.0,1496.09
200.0,1494.841
250.0,1485.809
300.0,1481.315
350.0,1476.0
400.0,1475.502
450.0,1476.634
500.0,1477.823
550.0,1475.649
600.0,1473.701
700.0,1477.326
800.0,1477.695
900.0,1477.835
1200.0,1479.655
1727.8,1486.295
