depth,speed
0.0,1470.789
10.0,1470.772
20.0,1470.776
30.0,1470.971
40.0,1471.192
50.0,1471.408
60.0,1471.601
70.0,1471.84
80.0,1472.153
90.0,1471.936
100.0,1471.151
110.0,1470.631
120.0,1469.8
130.0,1469.481
140.0,1468.96
150.0,1468.433
160.0,1467.899
170.0,1467.969
180.0,1468.052
190.0,1466.384
200.0,1464.832
250.0,1465.536
300.0,1465.902
350.0,1468.111
400.0,1470.2
450.0,1470.542
500.0,1471.955
550.0,1472.75
600.0,1474.074
700.0,1475.042
800.0,1475.714
900.0,1476.556
1200.0,1479.474
1727.8,1486.627
