# cfgfile = ./initcfg/MYGI/MYGI.1602.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M12,3.345687,0.0,0.0,0.0,False,74242.54344,1.8765,1461.57023,15.77165,172.45,0.5,1.55,74246.950685,3.10868,1448.72999,15.63968,173.13,-0.44,-0.29
1,S01,L01,M13,3.900923,0.0,0.0,0.0,False,74252.543835,2.8629,1432.63274,15.45551,174.29,-1.64,1.84,74257.506315,4.27117,1418.52288,15.42321,174.47,0.53,-0.18
2,S01,L01,M14,3.270866,0.0,0.0,0.0,False,74262.54419,4.02054,1403.6824,15.61037,175.08,-0.73,0.55,74266.876615,4.32207,1391.24841,15.53576,175.45,0.33,-0.49
3,S01,L01,M15,2.320413,0.0,0.0,0.0,False,74272.544635,4.31393,1374.26646,16.05939,175.38,0.72,2.06,74275.926605,4.40585,1364.106,15.81887,175.94,0.01,-0.92
4,S01,L01,M12,3.240907,0.0,0.0,0.0,False,74282.54507,4.41695,1344.09479,15.83829,175.8,-0.21,2.1,74286.847535,4.29611,1331.05635,15.71423,176.11,-0.01,-0.1
5,S01,L01,M13,3.770618,0.0,0.0,0.0,False,74292.545465,3.50562,1314.07865,15.96091,176.04,0.03,3.23,74297.37764,4.98368,1299.4204,15.32777,176.75,0.69,-1.8
6,S01,L01,M14,3.170371,0.0,0.0,0.0,False,74302.54575,3.20589,1283.7346,15.71009,176.03,-0.7,1.87,74306.77768,4.58574,1270.97627,15.2951,176.42,-0.09,-1.41
7,S01,L01,M15,2.280533,0.0,0.0,0.0,False,74312.546185,3.25915,1253.61809,15.39905,175.96,-1.01,0.64,74315.888275,4.39538,1243.86868,15.30501,175.93,1.1,-1.4
8,S01,L01,M12,3.139957,0.0,0.0,0.0,False,74322.546535,3.86135,1223.96489,15.50497,176.16,-0.68,-0.51,74326.74805,3.55975,1211.24535,16.00315,176.04,0.88,0.55
9,S01,L01,M13,3.642763,0.0,0.0,0.0,False,74332.546895,4.18205,1194.31488,15.42893,176.45,0.18,-1.31,74337.251215,2.95717,1179.78049,16.43866,175.97,-0.26,2.24
