# cfgfile = ./initcfg/MYGI/MYGI.1906.meiyo_m5-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M15,2.412908,0.0,0.0,0.0,False,68046.3969,-63.60463,1564.59398,13.01899,160.72,-1.38,1.77,68049.871365,-60.78276,1553.28513,13.25827,161.01,-0.56,-0.28
1,S01,L01,M13,4.056533,0.0,0.0,0.0,False,68047.48672,-62.63171,1561.40752,13.19501,160.79,-0.38,0.41,68052.60481,-59.43922,1544.15421,13.23912,161.43,0.26,0.84
2,S01,L01,M12,3.445357,0.0,0.0,0.0,False,68056.396775,-56.78368,1531.03643,13.07602,162.04,-1.29,0.21,68060.90369,-53.88505,1515.76195,13.01705,162.22,-1.25,-0.13
3,S01,L01,M15,2.378128,0.0,0.0,0.0,False,68067.486915,-50.20681,1493.29838,13.12224,162.42,-0.6,0.44,68070.9266,-48.14634,1481.57518,13.52135,162.64,0.6,0.23
4,S01,L01,M14,3.310366,0.0,0.0,0.0,False,68076.396985,-44.64007,1462.55567,13.02354,162.21,-0.02,-0.15,68080.76891,-42.59886,1446.86773,13.36915,163.58,-1.29,1.48
5,S01,L01,M12,3.373692,0.0,0.0,0.0,False,68077.48691,-44.06514,1458.78898,13.37607,162.4,0.57,0.13,68081.92216,-41.68293,1442.90662,12.87458,164.01,-1.44,0.85
6,S01,L01,M15,2.349528,0.0,0.0,0.0,False,68086.397015,-38.98443,1427.58973,13.57773,167.18,-0.55,-0.1,68089.8081,-37.26622,1415.82577,13.05999,168.7,-0.1,-1.6
7,S01,L01,M13,3.902858,0.0,0.0,0.0,False,68087.48694,-38.57184,1423.62412,13.29906,167.71,-1.59,-0.07,68092.451355,-36.91303,1406.22099,13.33475,170.5,-0.03,0.32
8,S01,L01,M14,3.248686,0.0,0.0,0.0,False,68097.487395,-35.62678,1388.24331,13.07339,173.43,-0.89,-1.51,68101.79764,-36.06596,1372.70878,13.50751,175.14,-0.24,-0.25
9,S01,L01,M13,3.827963,0.0,0.0,0.0,False,68106.39706,-36.4319,1356.11439,13.25585,174.8,0.44,-0.22,68111.28658,-37.23197,1338.30505,13.06786,174.31,-1.28,-0.0
10,S01,L01,M15,2.320598,0.0,0.0,0.0,False,68107.4874,-36.7803,1352.00448,13.31882,174.91,-0.37,0.32,68110.869555,-37.25572,1339.89137,13.25188,174.5,-0.94,0.12
11,S01,L01,M14,3.190126,0.0,0.0,0.0,False,68116.39731,-38.04063,1319.95081,13.48134,173.18,-0.26,-0.01,68120.648995,-38.49881,1304.80914,13.13613,170.43,-0.26,1.11
12,S01,L01,M12,3.246862,0.0,0.0,0.0,False,68117.48713,-38.17211,1316.05313,13.35561,172.6,-0.65,0.02,68121.79555,-38.6997,1300.87873,13.43222,170.24,0.61,1.42
13,S01,L01,M15,2.298538,0.0,0.0,0.0,False,68126.397195,-38.13076,1284.60038,13.36807,169.48,-0.45,0.14,68129.75729,-37.87929,1272.91665,13.32962,168.9,0.23,0.62
14,S01,L01,M13,3.746688,0.0,0.0,0.0,False,68127.487225,-37.93742,1280.66448,13.17405,169.2,-0.69,0.06,68132.29547,-37.66977,1263.95332,13.36107,168.74,-0.59,0.59
15,S01,L01,M12,3.190752,0.0,0.0,0.0,False,68136.39732,-37.22341,1249.97635,13.23885,169.03,-0.33,1.16,68140.64963,-36.16671,1235.54576,13.42931,168.76,-0.46,-0.15
16,S01,L01,M14,3.130896,0.0,0.0,0.0,False,68137.48735,-37.06451,1246.28447,13.33986,168.86,-0.05,1.21,68141.679805,-36.25257,1232.11779,13.38162,168.82,-0.3,0.31
17,S01,L01,M13,3.678123,0.0,0.0,0.0,False,68146.39734,-35.49356,1216.57292,13.373,169.13,-0.2,-0.09,68151.13702,-35.0378,1200.91462,13.3364,169.13,-0.3,0.94
18,S01,L01,M15,2.278718,0.0,0.0,0.0,False,68147.48737,-35.27689,1213.04723,13.33424,169.15,0.23,-0.12,68150.827645,-35.09542,1201.88351,13.27625,169.12,-0.49,1.06
19,S01,L01,M14,3.082851,0.0,0.0,0.0,False,68156.397445,-34.38258,1184.15703,13.45726,169.81,-0.18,0.44,68160.541855,-33.7561,1171.08967,13.27607,169.73,-0.2,0.08
20,S01,L01,M12,3.133392,0.0,0.0,0.0,False,68157.48737,-34.24254,1180.66484,13.37574,169.73,-0.31,0.5,68161.68232,-33.83202,1167.71701,13.59934,169.81,0.76,0.39
21,S01,L01,M15,2.265348,0.0,0.0,0.0,False,68166.397525,-33.19676,1153.11316,12.93811,169.74,-0.69,0.18,68169.72443,-33.22378,1143.11142,13.73386,170.23,-0.01,0.55
22,S01,L01,M13,3.607933,0.0,0.0,0.0,False,68167.48745,-33.08676,1149.93408,13.21302,169.76,0.09,0.11,68172.15694,-32.8706,1135.65603,13.10066,169.73,-1.07,0.54
23,S01,L01,M12,3.087452,0.0,0.0,0.0,False,68176.397555,-32.74817,1123.21138,13.27995,170.11,-0.36,0.61,68180.546565,-32.30199,1111.27466,13.54139,170.0,0.05,0.34
24,S01,L01,M14,3.034926,0.0,0.0,0.0,False,68177.487585,-32.49292,1120.00783,13.09592,169.99,-0.81,0.46,68181.58407,-32.46408,1108.31374,13.64382,169.93,0.5,0.85
25,S01,L01,M13,3.550018,0.0,0.0,0.0,False,68186.397525,-31.72349,1094.52632,13.47495,169.86,0.33,-0.42,68191.0091,-31.66715,1081.37842,13.20854,169.62,0.23,0.75
26,S01,L01,M15,2.254508,0.0,0.0,0.0,False,68187.487555,-31.76098,1091.31772,13.65,169.8,0.3,0.08,68190.80362,-31.68733,1081.87553,13.15978,169.64,-0.06,0.81
