# cfgfile =demo_timeSeq/MYGI/MYGI.1802.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M15,2.407753,-0.000044,22.101510,-0.000321,False,85589.395210,-59.007200,1568.514580,15.943490,185.290000,-0.890000,-0.660000,85592.864520,-59.903280,1557.893700,15.965650,185.620000,0.810000,-0.970000,-0.000075,-0.028619,0.021928,0.098179,-0.062177
1,S01,L01,M12,3.469222,-0.000060,49.886217,-0.000540,False,85590.485250,-59.216810,1565.007450,15.980000,185.530000,-1.470000,-0.310000,85595.016030,-59.307710,1551.030260,15.788670,186.020000,1.230000,-4.670000,-0.000074,-0.028570,0.021982,0.098076,-0.061861
2,S01,L01,M12,3.445187,-0.000062,49.545590,-0.000526,False,85599.395325,-62.265830,1537.596000,15.559610,187.110000,-1.300000,0.360000,85603.902070,-62.774980,1523.456830,15.743800,185.270000,-0.370000,-3.660000,-0.000074,-0.028300,0.022276,0.097513,-0.060129
3,S01,L01,M13,4.014558,-0.000183,56.414901,-0.000598,False,85600.485780,-62.901350,1534.509930,15.765830,186.540000,-0.250000,1.010000,85605.561895,-64.038980,1518.737860,15.280160,185.900000,0.770000,-2.820000,-0.000074,-0.028259,0.022322,0.097426,-0.059862
4,S01,L01,M14,3.326676,0.000028,47.995564,-0.000415,False,85610.485500,-66.088470,1503.296820,15.860650,182.100000,-0.940000,-0.580000,85614.873735,-66.558190,1489.401510,15.302000,180.280000,0.770000,-1.320000,-0.000073,-0.027967,0.022641,0.096815,-0.057991
5,S01,L01,M14,3.301636,0.000015,47.579366,-0.000402,False,85619.395590,-67.528310,1475.460720,16.189950,177.070000,-1.160000,-0.590000,85623.758785,-67.494240,1461.151610,15.705930,175.320000,0.850000,-0.810000,-0.000072,-0.027699,0.022936,0.096254,-0.056275
6,S01,L01,M15,2.362518,-0.000015,19.168106,-0.000289,False,85620.485630,-67.253530,1471.944920,16.269440,176.200000,-0.560000,-1.360000,85623.909705,-67.472130,1460.661990,15.708280,175.360000,0.820000,-0.870000,-0.000072,-0.027680,0.022956,0.096215,-0.056156
7,S01,L01,M15,2.350248,-0.000012,18.290369,-0.000280,False,85629.395760,-66.868800,1443.611550,15.620650,173.050000,-0.270000,-0.070000,85632.807565,-65.381490,1432.393950,16.080660,173.030000,-0.500000,-1.510000,-0.000072,-0.027412,0.023251,0.095654,-0.054446
8,S01,L01,M12,3.358442,-0.000025,48.216046,-0.000477,False,85630.485800,-65.957490,1440.225140,16.034030,172.890000,-0.260000,-1.790000,85634.905800,-65.965480,1425.368500,16.115360,172.020000,0.610000,0.750000,-0.000072,-0.027364,0.023304,0.095554,-0.054141
9,S01,L01,M12,3.331172,-0.000009,47.801850,-0.000463,False,85639.395940,-63.281700,1411.024380,15.224120,172.150000,-0.230000,-1.820000,85643.788670,-62.275510,1396.718150,15.783720,170.940000,-0.760000,0.650000,-0.000071,-0.027097,0.023599,0.094995,-0.052442
10,S01,L01,M13,3.874253,-0.000070,54.956923,-0.000527,False,85640.485975,-63.386640,1407.635170,15.655810,172.530000,-0.350000,0.030000,85645.421785,-60.985410,1391.564450,16.017080,170.600000,0.520000,-2.700000,-0.000071,-0.027056,0.023645,0.094909,-0.052183
11,S01,L01,M13,3.841993,-0.000064,54.613774,-0.000512,False,85649.396015,-59.847270,1378.039670,15.567690,173.360000,-0.500000,-0.110000,85654.299565,-56.088300,1362.741950,15.457710,172.650000,-0.080000,-4.500000,-0.000070,-0.026790,0.023940,0.094351,-0.050494
12,S01,L01,M14,3.217771,0.000030,46.177848,-0.000359,False,85650.486150,-60.247710,1374.526350,15.342820,173.020000,-0.320000,2.060000,85654.765480,-56.111550,1361.301460,15.396070,172.720000,0.070000,-4.090000,-0.000070,-0.026766,0.023966,0.094302,-0.050346
13,S01,L01,M14,3.194866,-0.000026,45.758810,-0.000347,False,85659.396245,-55.874820,1345.741310,16.139390,172.740000,-0.890000,-0.270000,85663.652670,-53.755870,1331.928840,15.414680,171.350000,1.110000,-1.710000,-0.000070,-0.026500,0.024261,0.093745,-0.048665
14,S01,L01,M15,2.311013,0.000089,15.005571,-0.000249,False,85660.486175,-55.076030,1342.341880,16.424260,172.300000,0.400000,-1.600000,85663.858745,-53.753530,1331.244210,15.339880,171.280000,0.940000,-1.480000,-0.000069,-0.026481,0.024283,0.093705,-0.048542
15,S01,L01,M15,2.301478,-0.000002,14.058677,-0.000241,False,85669.396295,-51.253420,1313.551550,16.045070,172.540000,-0.870000,-0.300000,85672.759330,-49.325350,1302.710880,16.135040,171.400000,1.760000,-1.720000,-0.000069,-0.026215,0.024579,0.093148,-0.046868
16,S01,L01,M12,3.238187,0.000026,46.229581,-0.000414,False,85670.486335,-50.750550,1309.778900,15.860960,172.220000,-0.540000,0.110000,85674.786080,-47.981530,1296.010980,16.151100,171.910000,0.270000,-3.390000,-0.000069,-0.026168,0.024630,0.093051,-0.046576
17,S01,L01,M12,3.212002,0.000003,45.775700,-0.000402,False,85679.396535,-46.819610,1281.190370,15.853960,172.990000,0.210000,-0.870000,85683.670095,-44.478440,1266.987560,15.758000,173.240000,-0.690000,-2.720000,-0.000068,-0.025903,0.024926,0.092496,-0.044913
