# cfgfile =demo_timeSeq/MYGI/MYGI.1401.kaiyo_kx-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.482868,0.000090,26.158682,-0.000638,False,1351.542200,8.333170,1706.512240,15.254040,172.380000,0.160000,-0.670000,1355.086625,8.884790,1696.950040,15.374150,173.830000,0.140000,-0.670000,-0.000450,0.000007,-0.000040,-0.000377,0.000137
1,S01,L01,M12,3.548522,0.000123,51.135873,-0.000831,False,1361.542570,10.536110,1679.491990,15.265340,176.140000,1.060000,-1.200000,1366.152650,11.062560,1666.502640,15.450280,177.790000,0.350000,-1.000000,-0.000450,0.000007,-0.000040,-0.000375,0.000136
2,S01,L01,M13,4.148603,0.000101,57.868709,-0.000939,False,1371.542905,11.375910,1651.236430,15.249480,179.970000,-0.810000,-1.150000,1376.753065,11.254420,1636.616460,15.256220,180.930000,0.510000,-1.060000,-0.000450,0.000007,-0.000039,-0.000373,0.000134
3,S01,L01,M14,3.471306,0.000044,50.305235,-0.000869,False,1381.543340,10.666140,1622.994920,15.382410,181.850000,-0.280000,-0.470000,1386.076205,10.276350,1609.956640,15.407130,182.820000,0.880000,-1.200000,-0.000450,0.000007,-0.000038,-0.000371,0.000133
4,S01,L01,M15,2.420153,0.000061,22.879842,-0.000658,False,1391.543650,9.380070,1594.064470,14.923080,184.010000,-1.270000,-1.160000,1395.025360,8.353710,1584.181230,15.630830,184.070000,0.710000,-0.460000,-0.000450,0.000007,-0.000038,-0.000369,0.000132
5,S01,L01,M12,3.442042,0.000070,49.627374,-0.000858,False,1401.544010,6.442190,1565.467700,15.261770,184.460000,0.150000,0.400000,1406.047610,5.767570,1552.323520,15.486730,184.140000,1.200000,-0.850000,-0.000450,0.000007,-0.000037,-0.000366,0.000131
6,S01,L01,M13,4.018338,0.000073,56.621937,-0.000973,False,1411.544475,4.343130,1536.172800,15.258460,184.030000,-0.200000,-0.650000,1416.624370,3.030600,1521.304020,15.203660,183.190000,1.020000,-0.470000,-0.000449,0.000007,-0.000037,-0.000364,0.000130
7,S01,L01,M14,3.361831,0.000020,48.672968,-0.000890,False,1421.544810,2.198340,1507.018960,15.410440,183.130000,0.790000,-0.820000,1425.968200,1.587420,1493.805710,15.234410,181.710000,0.110000,-1.720000,-0.000449,0.000007,-0.000036,-0.000362,0.000129
8,S01,L01,M15,2.363943,-0.000100,19.317055,-0.000674,False,1431.545255,0.746490,1477.596770,15.270910,180.930000,-0.750000,-0.830000,1434.970755,-0.080810,1468.120170,15.470530,179.250000,0.990000,0.910000,-0.000449,0.000007,-0.000035,-0.000360,0.000128
9,S01,L01,M12,3.338257,0.000029,48.029195,-0.000880,False,1441.545610,-0.294920,1448.731640,15.369460,178.630000,0.350000,0.450000,1445.945425,0.604680,1436.218080,15.528530,177.710000,0.070000,-2.100000,-0.000449,0.000008,-0.000035,-0.000358,0.000127
10,S01,L01,M13,3.890083,0.000034,55.289179,-0.001003,False,1451.545980,0.327620,1420.071920,15.501100,176.290000,0.150000,-0.070000,1456.497620,0.660350,1405.725070,15.485460,176.610000,0.300000,-0.530000,-0.000449,0.000008,-0.000034,-0.000356,0.000126
11,S01,L01,M14,3.261196,-0.000066,47.040162,-0.000912,False,1461.546410,1.405540,1391.004250,15.065280,176.580000,-0.860000,-1.250000,1465.869165,1.703370,1378.927280,15.351270,175.720000,0.790000,-0.910000,-0.000449,0.000008,-0.000033,-0.000354,0.000125
12,S01,L01,M15,2.317543,-0.000077,15.644788,-0.000693,False,1471.546785,1.678850,1362.631520,15.391240,175.610000,0.490000,0.950000,1474.925885,3.011080,1352.798670,15.216970,176.160000,0.040000,-1.670000,-0.000449,0.000008,-0.000033,-0.000352,0.000124
