# cfgfile =demo_timeSeq/MYGI/MYGI.1910.meiyo_m5-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.472303,-0.000013,25.888846,-0.000016,False,67884.397680,-47.143520,1686.471790,12.844660,218.290000,-0.890000,0.270000,67887.931540,-59.611950,1673.436890,12.187240,212.110000,-0.010000,3.150000,0.000257,0.000044,-0.000012,0.000429,-0.000237
1,S01,L01,M13,4.182873,-0.000244,59.279914,0.000030,False,67885.487605,-50.938000,1682.464670,12.758770,216.640000,-0.550000,0.510000,67890.732035,-67.405510,1662.222780,12.511550,206.230000,0.530000,3.940000,0.000257,0.000044,-0.000012,0.000428,-0.000236
2,S01,L01,M13,4.096773,-0.000013,58.450537,0.000057,False,67904.397750,-86.793830,1605.194960,12.347700,175.850000,0.480000,3.680000,67909.556080,-87.547960,1585.113080,12.333560,168.360000,-0.660000,4.730000,0.000255,0.000043,-0.000011,0.000423,-0.000230
3,S01,L01,M15,2.426913,0.000058,23.457039,0.000004,False,67905.487780,-87.284020,1600.837030,12.357490,173.580000,0.480000,4.240000,67908.976250,-87.655530,1587.327980,12.479380,169.260000,-0.750000,4.280000,0.000255,0.000043,-0.000011,0.000423,-0.000230
4,S01,L01,M14,3.381771,-0.000149,49.738522,-0.000016,False,67914.397790,-84.824520,1567.795030,12.996660,164.340000,1.150000,3.240000,67918.841120,-81.341700,1552.886680,12.391620,164.850000,0.240000,1.510000,0.000254,0.000043,-0.000011,0.000420,-0.000227
5,S01,L01,M12,3.480482,0.000004,50.988262,0.000124,False,67915.487815,-83.819000,1563.788830,12.553520,163.930000,-0.390000,2.030000,67920.029855,-80.768810,1548.796280,12.475550,164.810000,0.670000,2.720000,0.000254,0.000043,-0.000011,0.000420,-0.000227
6,S01,L01,M15,2.393318,-0.000083,21.440305,0.000036,False,67924.397915,-77.372630,1534.494980,12.673610,166.500000,0.140000,1.890000,67927.852790,-74.286250,1523.668450,12.303040,170.080000,0.110000,0.020000,0.000253,0.000043,-0.000010,0.000417,-0.000224
7,S01,L01,M13,4.015418,0.000061,57.622616,0.000111,False,67925.487840,-76.532180,1530.847560,12.427950,167.850000,-0.340000,1.450000,67930.564815,-72.729710,1515.032070,12.699330,173.280000,-0.600000,-0.150000,0.000253,0.000043,-0.000010,0.000416,-0.000224
8,S01,L01,M12,3.419597,-0.000040,50.073713,0.000163,False,67934.397900,-70.800700,1502.619400,12.434300,175.980000,-0.650000,-0.610000,67938.879055,-70.339480,1488.426630,12.477400,180.350000,0.090000,0.630000,0.000252,0.000043,-0.000010,0.000414,-0.000221
9,S01,L01,M14,3.324351,-0.000076,48.820724,0.000030,False,67935.487930,-70.400410,1499.156640,12.661210,177.420000,-0.070000,-1.010000,67939.873840,-69.900730,1485.168350,12.243840,180.750000,-0.900000,-0.250000,0.000252,0.000043,-0.000010,0.000414,-0.000221
10,S01,L01,M15,2.362243,-0.000079,19.315871,0.000065,False,67945.488135,-70.327870,1467.205710,12.719080,182.390000,-0.630000,0.680000,67948.911935,-70.302040,1456.388780,12.571650,181.930000,0.370000,0.000000,0.000251,0.000043,-0.000010,0.000411,-0.000218
11,S01,L01,M14,3.270941,0.000100,47.907991,0.000060,False,67954.398060,-71.452380,1439.094750,12.346760,179.240000,-0.860000,1.160000,67958.730560,-71.894810,1425.149700,12.820450,176.860000,0.680000,1.890000,0.000250,0.000043,-0.000009,0.000408,-0.000215
12,S01,L01,M12,3.359697,0.000076,49.129443,0.000195,False,67955.488095,-71.670300,1435.441400,12.297460,178.470000,-1.330000,1.550000,67959.909350,-71.923670,1421.132250,12.241740,176.600000,-0.140000,1.860000,0.000250,0.000043,-0.000009,0.000408,-0.000214
13,S01,L01,M15,2.337503,0.000133,17.411549,0.000087,False,67964.398125,-71.475980,1407.260740,12.497670,175.250000,-0.350000,2.110000,67967.797185,-70.117410,1396.078160,12.562970,175.110000,-1.150000,-0.620000,0.000249,0.000043,-0.000009,0.000405,-0.000212
14,S01,L01,M13,3.873813,0.000157,56.087138,0.000185,False,67965.488150,-71.294630,1403.704100,12.626930,174.630000,-0.840000,1.960000,67970.423520,-70.430670,1387.528440,12.581520,175.540000,1.000000,2.120000,0.000249,0.000043,-0.000009,0.000405,-0.000211
15,S01,L01,M12,3.305732,0.000008,48.220447,0.000223,False,67974.398225,-69.381600,1375.037590,12.618900,175.290000,-0.030000,0.270000,67978.765515,-68.171180,1360.888540,12.885490,174.270000,-0.200000,-0.110000,0.000248,0.000043,-0.000008,0.000402,-0.000209
16,S01,L01,M14,3.213501,0.000086,46.889430,0.000094,False,67975.488155,-69.283720,1371.418580,12.308930,174.940000,-0.760000,0.490000,67979.763215,-68.267460,1357.485540,12.885830,173.960000,0.270000,0.870000,0.000248,0.000043,-0.000008,0.000402,-0.000208
