# cfgfile = ./initcfg/MYGI/MYGI.1311.meiyo_m5-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M15,2.478078,0.0,0.0,0.0,False,76308.539855,-24.7516,1708.25832,12.60285,164.14,-2.75,1.34,76312.07949,-25.13258,1696.95363,14.00348,158.96,1.2,4.56
1,S01,L01,M12,3.551707,0.0,0.0,0.0,False,76318.53998,-21.09029,1678.82022,12.43194,157.9,-2.39,3.62,76323.153245,-16.91263,1666.27468,13.29976,158.04,1.08,-1.6
2,S01,L01,M13,4.138438,0.0,0.0,0.0,False,76328.539935,-14.17205,1651.22429,12.97425,161.09,-1.7,2.01,76333.73993,-10.18631,1637.27204,12.22333,165.76,-0.32,-2.75
3,S01,L01,M14,3.454736,0.0,0.0,0.0,False,76338.540095,-9.05754,1623.45925,13.7034,166.61,-0.73,0.53,76343.05639,-7.80881,1610.57916,12.32463,169.8,0.82,-0.21
4,S01,L01,M15,2.414408,0.0,0.0,0.0,False,76348.54016,-6.7129,1594.70987,13.7512,170.78,-1.02,1.01,76352.016125,-6.26614,1583.90589,12.91875,172.14,1.16,-0.97
5,S01,L01,M12,3.438502,0.0,0.0,0.0,False,76358.54014,-5.79902,1565.49172,13.55,173.32,-0.65,0.62,76363.0402,-5.26035,1551.7282,12.78675,173.04,-0.33,-2.28
6,S01,L01,M15,2.357863,0.0,0.0,0.0,False,76388.540355,-4.01203,1478.11015,12.98073,167.02,2.41,-1.4,76391.959775,-3.73217,1468.30085,12.30665,166.59,-2.62,1.72
7,S01,L01,M12,3.330957,0.0,0.0,0.0,False,76398.54034,-1.2832,1449.4309,12.83597,166.54,1.72,-1.39,76402.932855,-0.6664,1436.89712,13.06914,165.05,-2.2,0.78
8,S01,L01,M13,3.881563,0.0,0.0,0.0,False,76408.54043,1.11252,1420.90494,12.94951,167.16,-0.09,1.02,76413.48355,2.81084,1407.20577,13.03637,168.35,-0.26,0.17
9,S01,L01,M14,3.255686,0.0,0.0,0.0,False,76418.540515,3.86688,1392.53726,13.06783,168.11,0.44,0.2,76422.85776,4.9848,1380.05914,12.69607,170.65,-1.68,0.0
10,S01,L01,M15,2.312413,0.0,0.0,0.0,False,76428.54057,5.59875,1363.45864,13.33272,171.13,-0.83,0.44,76431.91454,6.1422,1353.98715,13.02773,173.23,1.19,-1.07
11,S01,L01,M12,3.226887,0.0,0.0,0.0,False,76438.54059,5.64179,1334.507,13.14454,175.1,0.67,0.39,76442.829035,5.69014,1321.67274,12.80451,177.01,-0.13,-2.13
12,S01,L01,M13,3.754938,0.0,0.0,0.0,False,76448.540695,3.96092,1305.21022,12.9172,176.98,-0.16,1.06,76453.35719,2.76684,1291.03122,13.24249,178.16,0.79,-0.82
13,S01,L01,M14,3.156636,0.0,0.0,0.0,False,76458.540665,0.8108,1275.74833,13.43051,175.49,0.81,0.65,76462.75886,0.33642,1263.19729,12.70514,174.84,-1.53,-0.54
14,S01,L01,M15,2.275128,0.0,0.0,0.0,False,76468.54079,-0.86659,1246.3011,13.42368,171.78,-0.15,-0.18,76471.877475,-1.44777,1236.46842,12.85118,169.38,-0.46,0.45
15,S01,L01,M12,3.131747,0.0,0.0,0.0,False,76478.540835,-1.06181,1217.29641,13.17766,165.99,-1.87,2.13,76482.73414,-0.01853,1204.71588,13.30121,162.98,0.39,0.35
16,S01,L01,M13,3.630743,0.0,0.0,0.0,False,76488.540875,2.11621,1188.25582,12.69809,162.01,-3.52,2.08,76493.233175,3.74277,1173.85194,13.42077,158.61,2.37,2.09
17,S01,L01,M14,3.069426,0.0,0.0,0.0,False,76498.54093,6.87625,1159.04773,12.57026,162.57,-2.16,2.12,76502.671915,8.9735,1146.96412,13.7334,160.73,0.69,-0.44
