# cfgfile =demo_timeSeq/MYGI/MYGITimeSqe_Rigid1209TimeSqe_Rigidtakuyo_t1-resTimeSqe_Rigiddat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.495098,-0.000056,27.594879,-0.002231,False,65086.202070,12.286190,1729.073680,21.782940,183.620000,-0.170000,0.740000,65089.758725,13.196300,1719.458140,21.819290,183.600000,0.920000,0.280000,-0.804183,0.052567,0.014573,0.230144,-0.178891
1,S01,L01,M12,3.568372,-0.000066,53.217096,-0.003090,False,65096.202070,14.294110,1701.935960,21.875080,184.280000,0.880000,0.550000,65100.832000,15.093220,1689.044340,21.876980,185.030000,0.550000,0.740000,-0.804007,0.052282,0.014031,0.229240,-0.178422
2,S01,L01,M13,4.175228,-0.000055,60.428185,-0.003720,False,65106.202070,15.538660,1674.366220,21.563880,186.420000,0.300000,0.130000,65111.438855,15.566690,1660.084560,22.289540,187.270000,0.670000,0.790000,-0.803834,0.052004,0.013502,0.228357,-0.177962
3,S01,L01,M14,3.496176,-0.000047,52.425448,-0.003177,False,65116.202070,16.312210,1647.190240,22.002400,187.830000,1.150000,-0.130000,65120.759805,15.913460,1634.374030,21.548350,188.180000,-0.370000,0.570000,-0.803671,0.051744,0.013007,0.227529,-0.177530
4,S01,L01,M15,2.432508,0.000031,24.351642,-0.002139,False,65126.202070,15.297340,1619.601330,21.892560,189.360000,0.540000,1.250000,65129.696135,15.504550,1610.032330,21.876720,190.010000,0.120000,0.010000,-0.803511,0.051490,0.012523,0.226717,-0.177106
5,S01,L01,M12,3.463837,-0.000057,51.671482,-0.002948,False,65136.202070,14.347510,1592.237890,21.938480,190.890000,0.390000,0.860000,65140.727465,14.277450,1579.978050,22.027300,191.200000,0.720000,0.410000,-0.803333,0.051208,0.011987,0.225817,-0.176634
6,S01,L01,M13,4.051188,-0.000062,59.158736,-0.003545,False,65146.202070,13.221910,1564.895930,22.330090,191.560000,0.890000,0.360000,65151.314815,12.298370,1550.681140,21.661680,192.310000,0.420000,0.510000,-0.803158,0.050932,0.011463,0.224935,-0.176171
7,S01,L01,M14,3.393556,0.000047,50.834831,-0.003032,False,65156.202070,10.972300,1537.435110,22.193600,192.860000,0.390000,0.590000,65160.657185,11.070540,1524.920230,21.981590,192.510000,1.090000,-0.530000,-0.802993,0.050673,0.010972,0.224108,-0.175734
8,S01,L01,M15,2.377108,0.000069,20.932907,-0.002058,False,65166.202070,8.420840,1509.553560,21.456850,193.060000,-0.360000,0.840000,65169.640735,8.043910,1500.304330,22.460320,193.460000,1.140000,-0.150000,-0.802830,0.050420,0.010492,0.223296,-0.175305
9,S01,L01,M12,3.365577,-0.000065,50.108845,-0.002818,False,65176.202070,6.474980,1482.132350,21.796210,193.490000,0.750000,-0.280000,65180.629205,4.076420,1469.966760,21.998040,193.970000,0.270000,0.900000,-0.802650,0.050140,0.009962,0.222399,-0.174830
