# cfgfile =demo_timeSeq/MYGI/MYGITimeSqe_Rigid1212TimeSqe_Rigidkaiyo_k4-resTimeSqe_Rigiddat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.444423,-0.000260,24.694236,-0.000844,False,2967.542365,45.688530,1649.600180,16.482120,194.920000,-0.190000,-3.090000,2971.048345,43.475210,1638.252560,16.073630,194.780000,1.310000,0.020000,-0.169839,0.083220,-0.063763,-0.195590,-0.241938
1,S01,L01,M12,3.466217,-0.000106,50.565103,-0.000915,False,2977.542665,43.118030,1616.983250,16.121920,195.690000,0.990000,-1.200000,2982.070440,41.245330,1601.804110,16.206930,194.490000,-0.630000,-0.480000,-0.170110,0.082524,-0.063644,-0.195103,-0.241324
2,S01,L01,M13,4.060158,-0.000055,57.730787,-0.001103,False,2987.543040,39.187240,1583.563140,15.791340,195.350000,1.100000,-0.070000,2992.664755,38.731260,1566.919230,15.788620,196.540000,-0.480000,0.020000,-0.170375,0.081843,-0.063529,-0.194626,-0.240721
3,S01,L01,M15,2.377058,-0.000202,20.758090,-0.000785,False,3007.543850,35.076650,1518.894640,16.134800,195.610000,0.050000,-3.390000,3010.982465,32.436250,1508.443400,15.786430,195.860000,0.160000,0.300000,-0.170869,0.080577,-0.063316,-0.193738,-0.239596
4,S01,L01,M12,3.351792,-0.000116,48.824055,-0.000841,False,3017.544235,31.652020,1487.916970,16.268060,195.970000,-0.050000,-3.600000,3021.957585,30.160700,1475.304030,15.347150,195.610000,-0.040000,0.730000,-0.171139,0.079886,-0.063201,-0.193252,-0.238978
5,S01,L01,M13,3.922818,-0.000007,56.311436,-0.001012,False,3027.544565,29.317080,1459.061850,16.262980,195.440000,-0.710000,-0.430000,3032.528940,28.606040,1444.503610,15.820880,196.700000,1.080000,-3.130000,-0.171404,0.079210,-0.063089,-0.192776,-0.238370
6,S01,L01,M14,3.299201,-0.000035,48.236851,-0.001051,False,3037.544990,27.566470,1430.765090,15.671830,197.060000,-2.080000,-1.090000,3041.905750,27.285040,1418.639470,15.897910,196.190000,-0.590000,-2.180000,-0.171654,0.078573,-0.062983,-0.192327,-0.237797
7,S01,L01,M15,2.327948,-0.000125,17.138159,-0.000738,False,3047.545365,26.019880,1404.044550,16.061790,195.700000,-0.220000,-1.840000,3050.934870,25.552630,1394.831750,16.129320,195.870000,-0.510000,-2.440000,-0.171900,0.077948,-0.062881,-0.191886,-0.237232
8,S01,L01,M12,3.256887,0.000008,47.220706,-0.000782,False,3057.545760,25.671820,1377.657160,16.310700,193.760000,-1.170000,-2.770000,3061.864205,24.508850,1366.185220,16.393370,192.170000,0.810000,-1.280000,-0.172170,0.077263,-0.062769,-0.191400,-0.236609
9,S01,L01,M14,3.209491,0.000100,46.676419,-0.000985,False,3077.546485,25.457580,1325.393990,16.003710,191.160000,0.260000,-1.650000,3081.817535,25.479760,1313.936780,16.071110,189.610000,0.210000,-1.580000,-0.172687,0.075957,-0.062557,-0.190474,-0.235417
10,S01,L01,M15,2.291098,-0.000126,13.713803,-0.000703,False,3087.546860,25.914120,1299.255790,15.567730,189.380000,-0.690000,0.410000,3090.899515,27.429090,1290.805550,16.589270,190.370000,0.740000,-2.710000,-0.172934,0.075334,-0.062456,-0.190032,-0.234845
11,S01,L01,M12,3.165307,0.000051,45.573932,-0.000733,False,3097.537205,27.771760,1272.957730,16.500280,191.730000,0.640000,-2.280000,3101.764070,28.137210,1261.855740,15.475680,193.270000,0.060000,-1.310000,-0.173204,0.074655,-0.062348,-0.189548,-0.234219
12,S01,L01,M13,3.692818,-0.000070,53.658610,-0.000878,False,3107.537565,27.677010,1246.926630,15.978620,193.790000,-1.690000,-0.450000,3112.291940,27.607640,1233.897950,16.103730,194.770000,1.640000,-0.850000,-0.173470,0.073988,-0.062241,-0.189072,-0.233601
