# cfgfile =demo_prep/MYGI/MYGI.1212.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.444423,-0.000219,24.691484,-0.000716,False,2967.542365,45.688530,1649.600180,16.482120,194.920000,-0.190000,-3.090000,2971.048345,43.475210,1638.252560,16.073630,194.780000,1.310000,0.020000,-0.139723,0.057993,-0.015235,-0.170435,-0.192362
1,S01,L01,M12,3.466217,-0.000106,50.565544,-0.000871,False,2977.542665,43.118030,1616.983250,16.121920,195.690000,0.990000,-1.200000,2982.070440,41.245330,1601.804110,16.206930,194.490000,-0.630000,-0.480000,-0.139997,0.057337,-0.015174,-0.170317,-0.191565
2,S01,L01,M13,4.060158,-0.000078,57.731435,-0.001083,False,2987.543040,39.187240,1583.563140,15.791340,195.350000,1.100000,-0.070000,2992.664755,38.731260,1566.919230,15.788620,196.540000,-0.480000,0.020000,-0.140266,0.056695,-0.015115,-0.170201,-0.190784
3,S01,L01,M15,2.377058,-0.000171,20.755415,-0.000660,False,3007.543850,35.076650,1518.894640,16.134800,195.610000,0.050000,-3.390000,3010.982465,32.436250,1508.443400,15.786430,195.860000,0.160000,0.300000,-0.140766,0.055504,-0.015007,-0.169984,-0.189329
4,S01,L01,M12,3.351792,-0.000116,48.824536,-0.000797,False,3017.544235,31.652020,1487.916970,16.268060,195.970000,-0.050000,-3.600000,3021.957585,30.160700,1475.304030,15.347150,195.610000,-0.040000,0.730000,-0.141040,0.054853,-0.014949,-0.169864,-0.188532
5,S01,L01,M13,3.922818,-0.000028,56.312119,-0.000991,False,3027.544565,29.317080,1459.061850,16.262980,195.440000,-0.710000,-0.430000,3032.528940,28.606040,1444.503610,15.820880,196.700000,1.080000,-3.130000,-0.141309,0.054216,-0.014892,-0.169747,-0.187749
6,S01,L01,M14,3.299201,-0.000014,48.236661,-0.000929,False,3037.544990,27.566470,1430.765090,15.671830,197.060000,-2.080000,-1.090000,3041.905750,27.285040,1418.639470,15.897910,196.190000,-0.590000,-2.180000,-0.141563,0.053616,-0.014840,-0.169635,-0.187011
7,S01,L01,M15,2.327948,-0.000103,17.135582,-0.000615,False,3047.545365,26.019880,1404.044550,16.061790,195.700000,-0.220000,-1.840000,3050.934870,25.552630,1394.831750,16.129320,195.870000,-0.510000,-2.440000,-0.141812,0.053028,-0.014788,-0.169526,-0.186285
8,S01,L01,M12,3.256887,0.000009,47.221224,-0.000738,False,3057.545760,25.671820,1377.657160,16.310700,193.760000,-1.170000,-2.770000,3061.864205,24.508850,1366.185220,16.393370,192.170000,0.810000,-1.280000,-0.142087,0.052382,-0.014733,-0.169405,-0.185487
9,S01,L01,M14,3.209491,0.000118,46.676277,-0.000864,False,3077.546485,25.457580,1325.393990,16.003710,191.160000,0.260000,-1.650000,3081.817535,25.479760,1313.936780,16.071110,189.610000,0.210000,-1.580000,-0.142611,0.051152,-0.014628,-0.169172,-0.183960
