# cfgfile =demo_res/MYGI/MYGI.1211.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.455478,-0.000055,25.777381,-0.000906,False,83379.544475,7.865170,1682.046800,16.059630,181.100000,-1.030000,-1.590000,83383.061510,8.496890,1674.024070,16.430770,180.730000,0.290000,-1.530000,-0.394200,0.058490,-0.013936,0.061244,-0.021405
1,S01,L01,M12,3.509147,-0.000060,51.649124,-0.001167,False,83389.544845,10.745300,1657.993730,15.878270,183.300000,-0.510000,-3.720000,83394.115550,10.418530,1646.339800,16.255830,183.180000,-0.950000,0.080000,-0.394614,0.058455,-0.013932,0.061670,-0.021773
2,S01,L01,M13,4.104418,-0.000052,58.674751,-0.001450,False,83399.545305,11.186850,1632.585980,15.769990,184.830000,-1.680000,0.110000,83404.711280,12.586640,1619.417910,16.535700,185.310000,2.840000,-1.950000,-0.395019,0.058421,-0.013929,0.062086,-0.022133
3,S01,L01,M14,3.437806,0.000066,50.857715,-0.001332,False,83409.545625,12.326960,1606.738120,15.874080,187.520000,-0.690000,-1.670000,83414.044990,12.537100,1594.425950,16.318640,188.990000,0.440000,-3.000000,-0.395398,0.058389,-0.013927,0.062476,-0.022470
4,S01,L01,M15,2.399918,-0.000018,22.724715,-0.000891,False,83419.546055,11.777200,1579.910580,15.885870,189.750000,-1.490000,-2.380000,83423.007530,11.398360,1570.881340,16.552350,190.090000,0.790000,-0.940000,-0.395769,0.058358,-0.013926,0.062859,-0.022799
5,S01,L01,M12,3.410907,-0.000058,50.193418,-0.001142,False,83429.546425,10.359730,1553.518390,15.879090,191.880000,1.280000,-2.530000,83434.018890,9.329170,1541.330970,16.272180,191.630000,0.170000,-3.140000,-0.396180,0.058324,-0.013925,0.063282,-0.023163
6,S01,L01,M13,3.985968,-0.000050,57.474831,-0.001416,False,83439.546760,7.176910,1526.241010,16.474720,191.660000,-1.050000,-2.250000,83444.594285,5.917780,1512.898210,16.371500,191.850000,0.240000,-3.720000,-0.396582,0.058291,-0.013924,0.063696,-0.023519
7,S01,L01,M14,3.337026,0.000082,49.277242,-0.001300,False,83449.537125,3.435080,1499.599960,16.651750,192.040000,1.610000,-0.020000,83453.935710,2.347000,1486.859740,16.326930,191.950000,-0.160000,-3.050000,-0.396958,0.058260,-0.013924,0.064084,-0.023853
8,S01,L01,M15,2.348133,-0.000026,19.330794,-0.000876,False,83459.547600,-0.333560,1471.438310,16.113780,191.150000,-0.320000,-0.400000,83462.957290,-1.141700,1461.667780,16.140750,192.520000,0.620000,-2.650000,-0.397328,0.058230,-0.013925,0.064466,-0.024180
9,S01,L01,M12,3.316522,-0.000082,48.690588,-0.001117,False,83469.537955,-3.367990,1443.385390,16.254050,191.670000,-0.430000,-3.570000,83473.916035,-6.013320,1430.821770,15.631190,190.050000,0.770000,1.360000,-0.397734,0.058196,-0.013926,0.064886,-0.024540
10,S01,L01,M13,3.861823,-0.000028,56.135127,-0.001380,False,83479.538335,-6.972390,1414.794890,15.707010,187.700000,-1.330000,-0.330000,83484.461715,-7.445230,1400.669490,16.665030,185.580000,2.100000,-0.280000,-0.398132,0.058164,-0.013928,0.065297,-0.024891
11,S01,L01,M14,3.233701,0.000123,47.535846,-0.001265,False,83489.538705,-7.814080,1385.761690,16.202200,185.450000,-1.450000,-2.890000,83493.833965,-9.322980,1373.502000,16.502790,182.800000,1.640000,0.440000,-0.398506,0.058133,-0.013930,0.065684,-0.025222
12,S01,L01,M15,2.303033,0.000112,15.627657,-0.000864,False,83499.539050,-9.682770,1356.989970,15.673540,182.960000,-0.470000,0.830000,83502.903640,-9.029430,1347.108700,16.644310,180.720000,0.580000,-0.040000,-0.398874,0.058103,-0.013933,0.066065,-0.025547
13,S01,L01,M12,3.217147,-0.000061,46.965093,-0.001089,False,83509.539460,-7.804870,1327.116800,15.606760,181.290000,-2.580000,-1.870000,83513.818165,-7.180710,1315.048410,16.660940,178.580000,-0.450000,0.840000,-0.399277,0.058070,-0.013937,0.066481,-0.025902
14,S01,L01,M13,3.735713,-0.000158,54.658306,-0.001341,False,83519.539820,-5.023030,1298.744700,16.388100,178.810000,3.140000,-0.810000,83524.337090,-2.540040,1284.310370,16.204850,178.570000,-1.550000,-3.470000,-0.399671,0.058039,-0.013941,0.066890,-0.026249
15,S01,L01,M14,3.140721,0.000078,45.834509,-0.001234,False,83529.540155,-1.411530,1268.339560,16.184760,177.300000,-0.460000,-1.120000,83533.742435,0.077110,1256.797710,16.071780,178.840000,0.390000,-0.650000,-0.400043,0.058008,-0.013946,0.067275,-0.026577
16,S01,L01,M15,2.266443,-0.000029,11.668843,-0.000853,False,83539.540600,3.225580,1239.572080,16.672270,177.070000,4.300000,-2.590000,83542.868600,4.090920,1228.850530,16.065040,180.040000,-2.240000,-2.560000,-0.400408,0.057979,-0.013951,0.067655,-0.026899
