depth,speed
0.0,1509.222
10.0,1508.014
20.0,1504.257
30.0,1501.248
40.0,1497.98
50.0,1492.847
60.0,1489.526
70.0,1489.065
80.0,1486.597
90.0,1484.545
100.0,1483.437
110.0,1482.397
120.0,1481.209
130.0,1480.155
140.0,1479.455
150.0,1476.73
160.0,1474.746
170.0,1473.131
180.0,1472.406
190.0,1471.404
200.0,1470.677
250.0,1467.389
300.0,1468.084
350.0,1471.245
400.0,1470.151
450.0,1470.295
500.0,1471.266
550.0,1473.279
600.0,1474.786
700.0,1476.124
800.0,1476.52
900.0,1477.188
1200.0,1480.158
1727.8,1485.992
