# cfgfile = ./demo_prep/MYGI/MYGI.1209.takuyo_t1-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M15,2.495098,-5.451559616617341e-05,26.734084297963392,-0.0008958838504832824,False,65086.20207,12.28619,1729.07368,21.78294,183.62,-0.17,0.74,65089.758725,13.1963,1719.45814,21.81929,183.6,0.92,0.28,-1.1005407369983775,0.1642159392288201,-0.11580768471460846,0.028809629499819453,-0.030110489052131973,-1.3272910819469992,-2.1849080142813393e-05
1,S01,L01,M12,3.568372,-9.897090107069064e-06,51.06724600008485,-0.0008550255726951416,False,65096.20207,14.29411,1701.93596,21.87508,184.28,0.88,0.55,65100.832,15.09322,1689.04434,21.87698,185.03,0.55,0.74,-1.0998846991848534,0.16392843571059335,-0.1155714524221228,0.028741959349855423,-0.030119618184523633,-1.2667577575627524,-2.773558952673394e-06
2,S01,L01,M13,4.175228,0.00011882173012680989,57.64125708817106,-0.00085303006932474,False,65106.20207,15.53866,1674.36622,21.56388,186.42,0.3,0.13,65111.438855,15.56669,1660.08456,22.28954,187.27,0.67,0.79,-1.0992432743133236,0.16364729412372608,-0.11534044968034263,0.028675781976645706,-0.030128553055614044,-1.2638013320996744,2.8458740487180556e-05
3,S01,L01,M14,3.496176,5.441450225158127e-05,50.33070304686814,-0.0008824183313256507,False,65116.20207,16.31221,1647.19024,22.0024,187.83,1.15,-0.13,65120.759805,15.91346,1634.37403,21.54835,188.18,-0.37,0.57,-1.09864196436545,0.16338369505601422,-0.11512386449685552,0.028613730207543188,-0.030136935997372685,-1.3073413267615812,1.556400543095693e-05
4,S01,L01,M15,2.432508,2.4545932927477332e-05,23.6050390045512,-0.0008844176146423671,False,65126.20207,15.29734,1619.60133,21.89256,189.36,0.54,1.25,65129.696135,15.50455,1610.03233,21.87672,190.01,0.12,0.01,-1.098052715297803,0.16312534232136192,-0.11491159487042399,0.02855291030431618,-0.030145156228185414,-1.3103033523803393,1.0090792271794102e-05
5,S01,L01,M12,3.463837,-1.596191451606709e-05,49.63143927501338,-0.0008440487928539113,False,65136.20207,14.34751,1592.23789,21.93848,190.89,0.39,0.86,65140.727465,14.27745,1579.97805,22.0273,191.2,0.72,0.41,-1.097398390653604,0.16283840577987393,-0.11467584776228704,0.028485358124003334,-0.030154289375704413,-1.2504951784528588,-4.608159828556335e-06
6,S01,L01,M13,4.051188,8.511243874511066e-05,56.49872989103201,-0.0008421901464880294,False,65146.20207,13.22191,1564.89593,22.33009,191.56,0.89,0.36,65151.314815,12.29837,1550.68114,21.66168,192.31,0.42,0.51,-1.0967580016090306,0.16255752543179902,-0.11444508606340892,0.02841922898365462,-0.030163231689709982,-1.2477415126237477,2.1009254259518606e-05
7,S01,L01,M14,3.393556,0.00012868303495370195,48.846778857744,-0.0008717239278721047,False,65156.20207,10.9723,1537.43511,22.1936,192.86,0.39,0.59,65160.657185,11.07054,1524.92023,21.98159,192.51,1.09,-0.53,-1.0961564546394666,0.16229362981521273,-0.11422828868843508,0.028357096626444526,-0.030171633697325798,-1.291497100612201,3.79198206700293e-05
8,S01,L01,M15,2.377108,5.57709719551155e-05,20.301089423723738,-0.0008741298910198009,False,65166.20207,8.42084,1509.55356,21.45685,193.06,-0.36,0.84,65169.640735,8.04391,1500.30433,22.46032,193.46,1.14,-0.15,-1.0955661835826904,0.1620346288652933,-0.11401552372643409,0.02829611514242584,-0.03017987908988092,-1.2950616401757922,2.3461690404943947e-05
9,S01,L01,M12,3.365577,-3.7948791179585574e-05,48.17628188686635,-0.0008340979185145903,False,65176.20207,6.47498,1482.13235,21.79621,193.49,0.75,-0.28,65180.629205,4.07642,1469.96676,21.99804,193.97,0.27,0.9,-1.0949137169866945,0.1617482729719547,-0.11378030236005136,0.02822869162660819,-0.03018899295849905,-1.23575252318451,-1.1275567660340435e-05
