# cfgfile = ./demo_prep/MYGI/MYGI.1311.meiyo_m5-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M15,2.478078,8.215409551832755e-05,25.99344320077961,-0.00020363615311717867,False,76308.539855,-24.7516,1708.25832,12.60285,164.14,-2.75,1.34,76312.07949,-25.13258,1696.95363,14.00348,158.96,1.2,4.56,-0.2387047873539414,0.013075541099965674,-0.026631511282482333,0.0010200856465658388,-0.01901015406526505,-0.30202508725484933,3.315234448565685e-05
1,S01,L01,M12,3.551707,7.469637045218064e-05,50.80103174397854,-0.00018821995297726838,False,76318.53998,-21.09029,1678.82022,12.43194,157.9,-2.39,3.62,76323.153245,-16.91263,1666.27468,13.29976,158.04,1.08,-1.6,-0.2387966799167267,0.012984264620862268,-0.026415416260612994,0.0010737739318466416,-0.019079883904695484,-0.2791603890118248,2.1031118403680438e-05
2,S01,L01,M13,4.138438,1.82705848270685e-05,57.23726728489633,-0.0001786117379510768,False,76328.539935,-14.17205,1651.22429,12.97425,161.09,-1.7,2.01,76333.73993,-10.18631,1637.27204,12.22333,165.76,-0.32,-2.75,-0.2388866483016328,0.012895097519983535,-0.026204286938673924,0.0011262205697916364,-0.019148017524229205,-0.2649098645483274,4.414850440448426e-06
3,S01,L01,M14,3.454736,4.9997538406032203e-05,49.705865191921816,-0.000188851780117856,False,76338.540095,-9.05754,1623.45925,13.7034,166.61,-0.73,0.53,76343.05639,-7.80881,1610.57916,12.32463,169.8,0.82,-0.21,-0.23897125089641869,0.012811430413234877,-0.026006158489720557,0.0011754315527117698,-0.0192119614995961,-0.28009749003413764,1.447217338923501e-05
4,S01,L01,M15,2.414408,-2.718386619540165e-05,22.69227693177649,-0.00020099233053727934,False,76348.54016,-6.7129,1594.70987,13.7512,170.78,-1.02,1.01,76352.016125,-6.26614,1583.90589,12.91875,172.14,1.16,-0.97,-0.23905447279368547,0.01272930802231641,-0.025811669858509283,0.0012237335108532335,-0.019274736769346636,-0.29810387418360773,-1.1259019269072024e-05
5,S01,L01,M12,3.438502,-7.008632711975384e-05,49.226733408475866,-0.00018533946237211943,False,76358.54014,-5.79902,1565.49172,13.55,173.32,-0.65,0.62,76363.0402,-5.26035,1551.7282,12.78675,173.04,-0.33,-2.28,-0.23914697886075115,0.012638243603766525,-0.02559598599022069,0.00127729455567308,-0.019344360871092422,-0.274888159287193,-2.0382808304242328e-05
6,S01,L01,M15,2.357863,8.810735384675309e-05,19.184615919434805,-0.00019856937936776762,False,76388.540355,-4.01203,1478.11015,12.98073,167.02,2.41,-1.4,76391.959775,-3.73217,1468.30085,12.30665,166.59,-2.62,1.72,-0.23940751195913756,0.012383031276373382,-0.024991454672689248,0.001427401761142978,-0.019539553465415724,-0.2945102488514452,3.7367461064002905e-05
7,S01,L01,M12,3.330957,2.9112933573762663e-05,47.60360414944748,-0.00018264186274741484,False,76398.54034,-1.2832,1449.4309,12.83597,166.54,1.72,-1.39,76402.932855,-0.6664,1436.89712,13.06914,165.05,-2.2,0.78,-0.23950073917780357,0.01229218433005827,-0.02477624925472339,0.0014808354331112862,-0.019609057804121324,-0.2708871862303055,8.740110897187403e-06
8,S01,L01,M13,3.881563,7.863009724630832e-06,54.7259169094211,-0.0001730851772019406,False,76408.54043,1.11252,1420.90494,12.94951,167.16,-0.09,1.02,76413.48355,2.81084,1407.20577,13.03637,168.35,-0.26,0.17,-0.23959234809757607,0.012203165727692228,-0.02456537432437053,0.0015331943468515795,-0.019677173596627753,-0.2567130882543036,2.025732861898888e-06
9,S01,L01,M14,3.255686,2.4461472361088687e-06,46.64828219262037,-0.00018390191718300276,False,76418.540515,3.86688,1392.53726,13.06783,168.11,0.44,0.2,76422.85776,4.9848,1380.05914,12.69607,170.65,-1.68,0.0,-0.23967895120163657,0.012119242555137917,-0.02436657238986316,0.0015825569650390983,-0.019741399092592468,-0.2727560491263518,7.513461789954157e-07
10,S01,L01,M15,2.312413,7.3918944928912e-05,15.551323998741566,-0.00019624717747969436,False,76428.54057,5.59875,1363.45864,13.33272,171.13,-0.83,0.44,76431.91454,6.1422,1353.98715,13.02773,173.23,1.19,-1.07,-0.23976436999780137,0.012036693863011013,-0.024171031652661115,0.0016311119913475633,-0.019804580497143495,-0.2910660508682653,3.196615177691528e-05
11,S01,L01,M12,3.226887,4.1782708970747284e-05,45.87910800196579,-0.00018006576175873026,False,76438.54059,5.64179,1334.507,13.14454,175.1,0.67,0.39,76442.829035,5.69014,1321.67274,12.80451,177.01,-0.13,-2.13,-0.23985839628463995,0.011946097500243787,-0.023956437218928733,0.0016844018433276988,-0.019873929904012495,-0.26706641514435275,1.2948302488047236e-05
12,S01,L01,M13,3.754938,6.136707614770939e-05,53.33101704607441,-0.0001705531769574113,False,76448.540695,3.96092,1305.21022,12.9172,176.98,-0.16,1.06,76453.35719,2.76684,1291.03122,13.24249,178.16,0.79,-0.82,-0.23995097366540646,0.011857173581803028,-0.023745817329598858,0.0017367093346357975,-0.01994200689511519,-0.25295772564762925,1.6343033133359164e-05
13,S01,L01,M14,3.156636,3.714575333504085e-05,44.906780315590964,-0.00018168513332407553,False,76458.540665,0.8108,1275.74833,13.43051,175.49,0.81,0.65,76462.75886,0.33642,1263.19729,12.70514,174.84,-1.53,-0.54,-0.24003873608246973,0.011773129310336162,-0.023546769921153628,0.0017861479102190929,-0.02000635468298264,-0.269468202994077,1.1767512419880166e-05
14,S01,L01,M15,2.275128,8.319154219063318e-05,11.704910300996744,-0.00019414640998713942,False,76468.54079,-0.86659,1246.3011,13.42368,171.78,-0.15,-0.18,76471.877475,-1.44777,1236.46842,12.85118,169.38,-0.46,0.45,-0.24012548054088856,0.011690309927687919,-0.023350640636797444,0.00183486748486659,-0.020069770362837386,-0.2879502756214409,3.65656535327389e-05
15,S01,L01,M12,3.131747,7.331764332494982e-05,44.143774150071465,-0.0001776920724120156,False,76478.540835,-1.06181,1217.29641,13.17766,165.99,-1.87,2.13,76482.73414,-0.01853,1204.71588,13.30121,162.98,0.39,0.35,-0.24022041956065143,0.01159996128394551,-0.023136704079390204,0.0018880182054720764,-0.02013895725754208,-0.2635458529991581,2.3411100361858672e-05
16,S01,L01,M13,3.630743,5.0258889775155016e-05,51.84389024365154,-0.00016814982861458434,False,76488.540875,2.11621,1188.25582,12.69809,162.01,-3.52,2.08,76493.233175,3.74277,1173.85194,13.42077,158.61,2.37,2.09,-0.2403140467209986,0.011511161246047067,-0.022926461107846657,0.0019402600579877063,-0.020206963613020427,-0.24939317445259454,1.3842590834756141e-05
17,S01,L01,M14,3.069426,9.799285337287565e-05,43.233628338702516,-0.00017951814364959698,False,76498.54093,6.87625,1159.04773,12.57026,162.57,-2.16,2.12,76502.671915,8.9735,1146.96412,13.7334,160.73,0.69,-0.44,-0.24040312454234006,0.011426953693953846,-0.0227271185642796,0.001989802236927841,-0.02027145717192877,-0.2662542096265135,3.192546533875573e-05
18,S01,L01,M15,2.248623,9.923496725258391e-05,7.827286136749933,-0.000192042441205623,False,76508.540935,11.16866,1130.03944,12.74832,165.58,-1.0,1.66,76511.851115,12.85116,1120.85857,13.17443,167.75,-0.98,-1.29,-0.24049130181837636,0.011343870160657524,-0.022530466056921293,0.0020386853300614132,-0.02033509348541087,-0.2848297523494592,4.413143833029544e-05
19,S01,L01,M12,3.032947,1.5347844226378882e-05,42.18557553359989,-0.0001753170526578374,False,76518.540995,14.50763,1101.80301,13.0222,172.12,1.03,-2.36,76522.6355,14.30773,1089.92192,12.90159,174.77,-2.79,-0.2,-0.24058719614827656,0.011253832236436523,-0.02231738970246094,0.0020916628290164503,-0.020404059914835918,-0.2600233176462392,5.060373368337423e-06
20,S01,L01,M13,3.510068,6.964838921959408e-05,50.27262009929788,-0.00016583613234407514,False,76528.54106,13.57725,1072.69952,12.84733,178.09,-0.49,0.35,76533.112685,12.79851,1060.31286,12.92709,180.61,-0.23,-0.47,-0.24068201765822622,0.011165124542049484,-0.022107501521826663,0.002143860543849332,-0.02047201033722544,-0.24596159166493672,1.984246151914837e-05
21,S01,L01,M14,2.984676,9.906321974944857e-05,41.46352938618219,-0.00017755813960491863,False,76538.54117,10.94415,1044.38921,13.43483,182.51,0.21,-0.67,76542.587405,8.6567,1032.78442,12.90422,181.36,-1.79,-1.07,-0.24077251846727604,0.011080758875345337,-0.021907926615888203,0.0021935061375216273,-0.02053663685338255,-0.26334720915752907,3.3190610890243555e-05
22,S01,L01,M15,2.233398,7.488410046907824e-05,3.888429494232355,-0.00019024920657489028,False,76548.54116,6.29963,1015.99179,12.96581,177.41,-2.27,0.9,76551.836115,5.14424,1006.90154,13.76212,177.64,1.23,-0.75,-0.24086228529922593,0.010997372378299959,-0.021710709404618722,0.002242578434374213,-0.020600514810392476,-0.2821700976784941,3.3529223393715876e-05
23,S01,L01,M12,2.952627,-1.3659920336914477e-05,40.42014772783884,-0.00017329803742003285,False,76558.54123,3.56553,988.58562,12.81362,171.68,-0.09,0.59,76562.555415,3.72789,976.84719,13.32687,169.86,-0.84,1.19,-0.24095927526885366,0.010907614385458907,-0.021498473037607504,0.0022954037704529936,-0.020669274732099667,-0.25702879410986157,-4.626361655879485e-06
