# cfgfile = ./demo_prep/MYGI/MYGI.1401.kaiyo_kx-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M15,2.482868,7.046173733669469e-05,26.021237351119225,-0.00028054606423394694,False,1351.5422,8.33317,1706.51224,15.25404,172.38,0.16,-0.67,1355.086625,8.88479,1696.95004,15.37415,173.83,0.14,-0.67,-0.4825460792110019,-0.04725608721935183,0.038145785733229874,-0.018240247584626768,0.002149951316086287,-0.41508175207599896,2.8379171722658914e-05
1,S01,L01,M12,3.548522,-6.123060624243789e-05,50.81417964534316,-0.0002930237229321687,False,1361.54257,10.53611,1679.49199,15.26534,176.14,1.06,-1.2,1366.15265,11.06256,1666.50264,15.45028,177.79,0.35,-1.0,-0.4826180112905881,-0.04706065798852016,0.03793322945540066,-0.01825579920280472,0.0021611241825008377,-0.43354306411901966,-1.7255242109937008e-05
2,S01,L01,M13,4.148603,-0.00013483972013587545,57.455719154647255,-0.0002850276618605142,False,1371.542905,11.37591,1651.23643,15.24948,179.97,-0.81,-1.15,1376.753065,11.25442,1636.61646,15.25622,180.93,0.51,-1.06,-0.4826880918197616,-0.046869552338700604,0.037725359977590425,-0.018271013678081663,0.0021720393002622627,-0.4217124970127161,-3.2502440010739875e-05
3,S01,L01,M14,3.471306,-9.37873072264486e-06,49.98505922610627,-0.00027455511232610355,False,1381.54334,10.66614,1622.99492,15.38241,181.85,-0.28,-0.47,1386.076205,10.27635,1609.95664,15.40713,182.82,0.88,-1.2,-0.48275359277304497,-0.04669029788198037,0.037530370436039504,-0.01828529017098981,0.0021822680555255956,-0.4062178429660961,-2.7017873741597143e-06
4,S01,L01,M15,2.420153,5.565903544555618e-05,22.7606672975829,-0.0002844900925050417,False,1391.54365,9.38007,1594.06447,14.92308,184.01,-1.27,-1.16,1395.02536,8.35371,1584.18123,15.63083,184.07,0.71,-0.46,-0.4828175994397065,-0.04651451687129336,0.03733915173982033,-0.018299294728994688,0.0021922894909331154,-0.42091713661248675,2.2998147408678782e-05
5,S01,L01,M12,3.442042,-8.317310911267582e-05,49.32240885998155,-0.00029687899228214424,False,1401.54401,6.44219,1565.4677,15.26177,184.46,0.15,0.4,1406.04761,5.76757,1552.32352,15.48673,184.14,1.2,-0.85,-0.4828883373590602,-0.04631950817668451,0.037127011330366666,-0.01831483604941018,0.0022033961905043777,-0.4392471254498473,-2.4163885598338375e-05
6,S01,L01,M13,4.018338,-0.00011180022744824534,56.2278451947912,-0.0002887742611126035,False,1411.544475,4.34313,1536.1728,15.25846,184.03,-0.2,-0.65,1416.62437,3.0306,1521.30402,15.20366,183.19,1.02,-0.47,-0.4829573035168843,-0.04612863420717961,0.036919367083750876,-0.018330052005355903,0.0022142564136581324,-0.4272557755688787,-2.7822504589769537e-05
7,S01,L01,M14,3.361831,-4.130408199938735e-06,48.37022435570438,-0.00027820898788781447,False,1421.54481,2.19834,1507.01896,15.41044,183.13,0.79,-0.82,1425.9682,1.58742,1493.80571,15.23441,181.71,0.11,-1.72,-0.4830218908238724,-0.0459492008636016,0.03672417012017846,-0.018344359038311164,0.002224455805997365,-0.41162393224474625,-1.2286186307219893e-06
8,S01,L01,M15,2.363943,-9.955579049445293e-05,19.216805565140675,-0.00028812683177081573,False,1431.545255,0.74649,1477.59677,15.27091,180.93,-0.75,-0.83,1434.970755,-0.08081,1468.12017,15.47053,179.25,0.99,0.91,-0.48308510130363647,-0.045772934649078896,0.03653242278737741,-0.01835841593298658,0.0022344656299583907,-0.426297871895311,-4.211429399712807e-05
9,S01,L01,M12,3.338257,-8.204824339287543e-05,47.7406952901859,-0.00030063011096443515,False,1441.54561,-0.29492,1448.73164,15.36946,178.63,0.35,0.45,1445.945425,0.60468,1436.21808,15.52853,177.71,0.07,-2.1,-0.4831545888165031,-0.0455783793473329,0.03632078857836042,-0.018373933467514123,0.002245502725147182,-0.4447970907261091,-2.457816860501616e-05
10,S01,L01,M13,3.890083,-0.00010184018371082313,54.91414429025059,-0.00029255200779913776,False,1451.54598,0.32762,1420.07192,15.5011,176.29,0.15,-0.07,1456.49762,0.66035,1405.72507,15.48546,176.61,0.3,-0.53,-0.48322239225202895,-0.045387745272931074,0.03611343183380529,-0.01838913965827766,0.0022563059723858516,-0.43284513829199406,-2.617943722815763e-05
11,S01,L01,M14,3.261196,-6.744588110538837e-05,46.75391417129276,-0.00028197891168565433,False,1461.54641,1.40554,1391.00425,15.06528,176.58,-0.86,-1.25,1465.869165,1.70337,1378.92728,15.35127,175.72,0.79,-0.91,-0.483286043214349,-0.04520806394990146,0.03591800249014042,-0.018403472838197328,0.0022664782142574735,-0.4172017206178366,-2.0681333199656926e-05
