# cfgfile = ./demo_prep/MYGI/MYGI.1408.meiyo_mx-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M12,3.513992,-8.228220227069513e-05,50.319723128691834,4.053959221223388e-05,False,43239.543495,11.48399,1645.40441,13.81731,183.32,0.8,-0.06,43244.119045,11.48244,1633.94313,13.85655,185.15,0.48,0.33,0.077358457167149,0.07106439757777651,-0.027784955432583542,0.035109608545970034,0.026337530098992423,0.06001291180702451,-2.3415591802911084e-05
1,S01,L01,M13,4.109823,0.00017489124819112137,57.06293521455598,8.651094222460408e-06,False,43249.543465,10.49359,1619.22307,13.40963,186.74,1.15,-0.39,43254.714845,9.267,1605.33284,13.73428,187.71,-0.8,-0.08,0.0773148011420243,0.07097230462853722,-0.027604002958640156,0.03509647931301908,0.026338451385758303,0.012806674321950887,4.25544477684614e-05
2,S01,L01,M15,2.404768,-7.489128932511088e-05,21.89331815441122,4.2741408284610964e-05,False,43269.543655,2.84009,1566.02761,13.83056,188.37,0.84,0.2,43273.00998,1.55596,1556.67042,13.58166,186.63,-0.79,0.33,0.07723327939101296,0.07080107336544444,-0.027267539309173472,0.03507206873828331,0.026340151630457508,0.06327237709900589,-3.114283345632962e-05
3,S01,L01,M12,3.419022,6.053862714359473e-06,48.9744299888348,4.247481803383243e-05,False,43279.543615,-1.40777,1539.01198,12.74477,182.99,0.45,0.77,43284.024195,-1.9888,1526.95548,14.09269,180.52,-0.21,0.43,0.0771883446595899,0.07070711422626647,-0.02708290883591352,0.035058674883579916,0.02634107973801019,0.06287772938955616,1.7706416379770218e-06
4,S01,L01,M13,3.989403,0.00014416629998757774,55.90985726992635,1.0625761304912627e-05,False,43289.54371,-2.84298,1512.57593,13.47846,178.5,0.15,2.3,43294.59467,-2.29591,1498.21953,13.43637,177.24,1.73,0.23,0.07714422094488982,0.07061513998157098,-0.026902178425169836,0.0350455647730052,0.02634198655846672,0.015729878898036318,3.613731177010138e-05
5,S01,L01,M15,2.354648,-4.117363151236751e-05,18.607496786509927,4.519610585658909e-05,False,43309.54381,0.34864,1458.47709,13.48114,178.06,-0.31,-0.45,43312.960015,0.77451,1449.63923,13.64944,178.99,0.3,0.21,0.07706156127894831,0.07044360553077664,-0.026565116709145138,0.03502111668129625,0.02634367748602022,0.06690619630786278,-1.7486108969309855e-05
6,S01,L01,M12,3.320632,-0.00013649725215372758,47.458732810831435,4.509658352246755e-05,False,43319.543815,1.51048,1432.37494,13.05481,179.93,-0.08,-0.08,43323.926005,1.73041,1420.36067,13.69556,180.44,-0.04,0.69,0.07701618024631038,0.07034986696013813,-0.02638092883461674,0.035007758287503826,0.026344603690723004,0.06675886811005563,-4.110580520627627e-05
7,S01,L01,M13,3.871778,0.00019984906517879735,54.689483229485944,1.3319904638572913e-05,False,43329.543885,2.26966,1405.75409,13.48247,180.73,1.43,0.18,43334.47722,2.52256,1392.44712,13.9398,181.36,1.4,-0.34,0.07697155345688328,0.07025798364081143,-0.026200393147887573,0.03499466568502317,0.02634551462481082,0.0197181623872236,5.1616870899828804e-05
8,S01,L01,M15,2.313428,6.675692879366746e-05,15.209119062655134,4.767255052920002e-05,False,43349.543935,2.1322,1352.25035,13.3747,182.56,0.42,-0.48,43352.91892,1.74303,1343.39011,14.34038,182.74,0.76,0.48,0.07688769410403391,0.07008611591822056,-0.025862725223027898,0.03497018021183734,0.026347230712551697,0.07057220890498817,2.885628115232783e-05
9,S01,L01,M12,3.226917,0.00011178617792920295,45.8928727258112,4.744724117448995e-05,False,43359.54396,1.23106,1324.68983,12.70618,182.38,-0.7,-0.48,43363.832435,0.84212,1312.77898,13.52495,182.01,-0.46,-0.25,0.07684185435885453,0.0699926156615361,-0.02567904249864732,0.03495686218237036,0.026348173453342238,0.07023867149882174,3.4641789029343784e-05
