# cfgfile = ./demo_prep/MYGI/MYGI.1508.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M15,2.469473,-0.00016925962875854013,25.53123757381931,-9.245787680852773e-05,False,31048.54701,-2.27935,1690.70252,16.29347,175.77,0.61,-0.49,31052.07804,-3.21892,1680.91786,15.50028,175.23,-0.77,1.23,-0.11740675308945228,0.0521211735320874,-0.0021827880551752183,0.02708741297219234,-0.016532379522686793,-0.1370315238107751,-6.854078937430785e-05
1,S01,L01,M12,3.532597,-0.00013225969204204866,50.56901872942285,-6.535545935128756e-05,False,31058.53739,-3.13144,1663.58401,16.32504,175.11,1.61,1.0,31063.131545,-2.73503,1650.99946,15.7054,174.44,0.17,0.03,-0.1170655919818121,0.052132627750265656,-0.0020970147161559058,0.02710812211129717,-0.016546467453503078,-0.09686311749086242,-3.743979062487135e-05
2,S01,L01,M13,4.124248,-8.528411718039392e-05,57.15131520544169,-7.179440226100952e-05,False,31068.53781,-2.5437,1636.07594,16.18076,174.2,0.17,-0.6,31073.723615,-2.98444,1621.85356,16.16697,173.96,1.33,0.72,-0.11673220216951827,0.05214383972658218,-0.0020130495295326368,0.027128394751664356,-0.016560265119189257,-0.10640625420464433,-2.0678707289278897e-05
3,S01,L01,M14,3.447286,7.266850589958193e-05,49.61667974507725,-9.550672496914303e-05,False,31078.538155,-2.77806,1608.29433,15.41972,173.66,-1.0,0.56,31083.047,-2.45814,1595.88109,16.84161,173.85,0.35,0.34,-0.11641974905622582,0.05215436381798661,-0.0019342328651230445,0.027147425666538976,-0.0165732220969816,-0.14155021192841377,2.107991791211461e-05
4,S01,L01,M15,2.409408,-0.00015927136338133994,22.32918835018637,-9.109198045331263e-05,False,31088.53868,-1.78027,1580.76994,15.23438,173.52,0.65,-0.9,31092.009645,-2.48523,1571.38658,16.58828,173.47,0.97,1.28,-0.11611349676781188,0.052164694182137025,-0.0018568662721059803,0.027166108909234665,-0.01658594522344716,-0.1350071331868121,-6.610394062829539e-05
5,S01,L01,M12,3.428122,-0.0001384462420103217,49.099345190486076,-6.390262875024622e-05,False,31098.53896,-2.42645,1552.97809,16.14126,173.68,1.13,1.47,31103.02864,-1.17226,1540.44063,15.86382,173.45,-0.29,-0.42,-0.11577446973373864,0.05217614758323268,-0.0017710905885214984,0.027186827237538576,-0.01660005590830245,-0.09470988189891924,-4.038544777879016e-05
6,S01,L01,M13,4.000288,1.414086533583958e-05,55.98051044839282,-7.036127785810077e-05,False,31108.53933,-1.34077,1525.06532,15.58456,173.75,-1.04,-0.53,31113.601175,-1.292,1511.58249,16.4346,173.69,1.19,0.8,-0.11544306291819952,0.05218736052072041,-0.0016871199254003496,0.027207115416934234,-0.016613873579909094,-0.10428222510599128,3.5349618167090924e-06
7,S01,L01,M14,3.348081,0.00011055940779032791,48.143371794524654,-9.413831406638908e-05,False,31118.53977,-0.68369,1498.03851,15.83721,173.08,1.64,-0.32,31122.94941,-0.47565,1485.53746,16.01391,172.98,-0.21,0.54,-0.115131745147433,0.052197908523671704,-0.0016081347192948227,0.027226205553021438,-0.016626873759717706,-0.13952209450157754,3.302172432217976e-05
8,S01,L01,M15,2.356818,-0.00010269590501519647,18.967736461484236,-8.97098559255399e-05,False,31128.540125,0.29321,1470.08865,14.96738,172.88,-0.58,-1.06,31131.9585,0.49944,1461.05878,16.50699,172.91,1.58,0.64,-0.11482623074507545,0.05220827366378113,-0.0015305265577924493,0.027244970265447314,-0.016639649475973427,-0.1329586908401512,-4.3573964988045943e-05
9,S01,L01,M12,3.326972,2.593845078163838e-05,47.55305502502199,-6.2436346081205e-05,False,31138.54052,1.33968,1443.12456,16.10616,172.5,1.16,-1.93,31142.92905,1.10984,1430.57937,15.7806,172.5,-0.55,1.3,-0.11448958911285986,0.05221971059529529,-0.0014449050523499124,0.02726568265550037,-0.016653746201243578,-0.09253670903997344,7.796413910798883e-06
