# cfgfile = ./demo_res/MYGI//lambda/MYGI.1212.kaiyo_k4_L-01.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M15,2.444423,-0.0001593696020993769,24.324968153534655,-0.00028844773197462224,False,2967.542365,45.68853,1649.60018,16.48212,194.92,-0.19,-3.09,2971.048345,43.47521,1638.25256,16.07363,194.78,1.31,0.02,-0.21150409111930615,-0.06775362061779173,-0.11363768300541424,0.008757798548502636,-0.03002762110805856,-0.4279622434114116,-6.519722736178513e-05
1,S01,L01,M12,3.466217,-8.122039003392218e-05,49.6088011554657,-0.00025890897293510506,False,2977.542665,43.11803,1616.98325,16.12192,195.69,0.99,-1.2,2982.07044,41.24533,1601.80411,16.20693,194.49,-0.63,-0.48,-0.21190737072767962,-0.06752760534563848,-0.11343764075448834,0.0086565550481433,-0.030090467595485122,-0.384136370697484,-2.343199806414953e-05
2,S01,L01,M13,4.060158,3.904445041353012e-05,56.49240628183439,-0.00024608906247920953,False,2987.54304,39.18724,1583.56314,15.79134,195.35,1.1,-0.07,2992.664755,38.73126,1566.91923,15.78862,196.54,-0.48,0.02,-0.2123024434818813,-0.06730619040283121,-0.11324166272392597,0.00855736262707741,-0.030152024528197784,-0.36511580984411884,9.616485470154146e-06
3,S01,L01,M15,2.377058,-0.00011991970566460149,20.45336976823711,-0.00027840421317484155,False,3007.54385,35.07665,1518.89464,16.1348,195.61,0.05,-3.39,3010.982465,32.43625,1508.4434,15.78643,195.86,0.16,0.3,-0.21303752207333082,-0.06689423019575827,-0.11287701275237201,0.008372786827885042,-0.03026652927839012,-0.41306094116204256,-5.0448792442002455e-05
4,S01,L01,M12,3.351792,-0.00010424344864350521,47.92367101638712,-0.00024910007008632063,False,3017.544235,31.65202,1487.91697,16.26806,195.97,-0.05,-3.6,3021.957585,30.1607,1475.30403,15.34715,195.61,-0.04,0.73,-0.21343991236055723,-0.06666872628090788,-0.11267739772990482,0.008271742690946918,-0.030329193314020817,-0.36958316190699264,-3.110081074347848e-05
5,S01,L01,M13,3.922818,6.611110141799356e-05,55.13652979290923,-0.0002363725932794704,False,3027.544565,29.31708,1459.06185,16.26298,195.44,-0.71,-0.43,3032.52894,28.60604,1444.50361,15.82088,196.7,1.08,-3.13,-0.2138345663660885,-0.06644756533560928,-0.11248162231374317,0.008172640531247789,-0.03039064044546027,-0.3506997424051692,1.6852961676527833e-05
6,S01,L01,M14,3.299201,0.00014464357845251225,47.34995484084516,-0.00025510115030644327,False,3037.54499,27.56647,1430.76509,15.67183,197.06,-2.08,-1.09,3041.90575,27.28504,1418.63947,15.89791,196.19,-0.59,-2.18,-0.21420631788695427,-0.06623924693106238,-0.11229721165808298,0.008079290755947214,-0.03044851047632316,-0.37848680533769047,4.384200248863657e-05
7,S01,L01,M15,2.327948,-5.859648667370118e-05,16.89002824508009,-0.0002698449362995037,False,3047.545365,26.01988,1404.04455,16.06179,195.7,-0.22,-1.84,3050.93487,25.55263,1394.83175,16.12932,195.87,-0.51,-2.44,-0.21457141232116725,-0.066034668133731,-0.11211610847335238,0.007987615646408174,-0.03050533317632531,-0.4003617692584434,-2.517087438108634e-05
8,S01,L01,M12,3.256887,1.110254326206445e-05,46.36897777986829,-0.00024104244408166138,False,3057.54576,25.67182,1377.65716,16.3107,193.76,-1.17,-2.77,3061.864205,24.50885,1366.18522,16.39337,192.17,0.81,-1.28,-0.214972983978227,-0.06580966189564691,-0.11191691912924571,0.007886786793317772,-0.030567819853116233,-0.3576282760844635,3.408943344385129e-06
9,S01,L01,M14,3.209491,0.00025871244805363914,45.83606786203234,-0.000247206562959809,False,3077.546485,25.45758,1325.39399,16.00371,191.16,0.26,-1.65,3081.817535,25.47976,1313.93678,16.07111,189.61,0.21,-1.58,-0.2157396372834534,-0.06538013674704768,-0.11153667170401513,0.007694315461255203,-0.030687075990428764,-0.36677381564439593,8.060856006564254e-05
10,S01,L01,M15,2.291098,-6.98404865011725e-05,13.517249297858626,-0.00026253851872206366,False,3087.54686,25.91412,1299.25579,15.56773,189.38,-0.69,0.41,3090.899515,27.42909,1290.80555,16.58927,190.37,0.74,-2.71,-0.21610583371731723,-0.06517499361033338,-0.11135506249227028,0.007602395338340626,-0.030744020572411,-0.3895214314394,-3.0483412975425977e-05
11,S01,L01,M12,3.165307,4.94145469606966e-05,44.76898783005777,-0.00023387177098529408,False,3097.537205,27.77176,1272.95773,16.50028,191.73,0.64,-2.28,3101.76407,28.13721,1261.85574,15.47568,193.27,0.06,-1.31,-0.21650607810013411,-0.06495079571680179,-0.11115658435245324,0.007501942878560522,-0.03080624496115685,-0.34698933874880367,1.561129677490891e-05
12,S01,L01,M13,3.692818,-2.1173569798628113e-05,52.59103998045623,-0.00022082794339244128,False,3107.537565,27.67701,1246.92663,15.97862,193.79,-1.69,-0.45,3112.29194,27.60764,1233.89795,16.10373,194.77,1.64,-0.85,-0.21690008854785245,-0.06473011036774602,-0.11096121635536946,0.007403071329502617,-0.030867485035957768,-0.3276365579829626,-5.733716039790782e-06
13,S01,L01,M14,3.124456,0.00020151143983930734,44.312033017962335,-0.00023951136799277715,False,3117.538035,27.63277,1219.42158,15.61679,195.17,0.69,-2.77,3121.72405,26.58794,1208.03013,15.42359,195.92,-0.96,-0.07,-0.21727310445830103,-0.06452120418023069,-0.11077627729727132,0.007309484771732732,-0.030925447928078702,-0.3553566591320719,6.449488801868464e-05
14,S01,L01,M15,2.261663,1.2934724367643742e-05,9.915087603758792,-0.00025498157658785227,False,3127.53837,26.92634,1191.51769,16.71734,195.76,1.53,-3.91,3130.86159,24.97926,1182.02021,15.52159,194.83,-0.16,1.01,-0.21764049957283588,-0.06431546660778306,-0.11059414494549857,0.007217326257162314,-0.030982523583095556,-0.37830939698536636,5.719121004165405e-06
15,S01,L01,M12,3.076157,0.00019688693250237752,43.058090314031375,-0.00022618411790952398,False,3137.53875,24.97616,1163.89213,16.00629,194.87,2.25,0.57,3141.676465,25.22091,1151.83333,15.7984,195.97,-0.51,-1.23,-0.21804014043757652,-0.06409169713158293,-0.1103960520900175,0.007117101695936523,-0.03104459245334598,-0.33558337194035376,6.400418850610601e-05
16,S01,L01,M13,3.573438,-4.443035379849697e-05,51.10273416745099,-0.00021255195265293094,False,3147.53908,23.85812,1134.67794,16.29625,196.03,1.64,-2.61,3152.174075,22.77245,1121.04046,15.73564,196.79,-0.78,-1.76,-0.2184337368670916,-0.06387133917403712,-0.11020098248847196,0.007018417750135761,-0.031105705918827203,-0.31535769019958015,-1.243350347718275e-05
17,S01,L01,M14,3.035441,0.0001517721152207549,42.51951499196639,-0.00023104367161312785,False,3157.53951,22.116,1106.03839,16.17038,196.77,0.21,-1.71,3161.63651,20.60524,1094.35927,16.74425,195.25,-0.01,-1.4,-0.21880750438873992,-0.06366210870657339,-0.1100157668882287,0.006924729825598849,-0.031163725082815313,-0.34279336277902506,5.0000021486418245e-05
18,S01,L01,M15,2.239713,8.925879853713415e-05,6.005832688035241,-0.0002467832198330121,False,3167.539835,18.78448,1076.63739,16.29573,195.56,0.6,-0.03,3170.841105,19.05708,1067.3059,15.09512,196.77,0.75,-2.49,-0.21917636565049892,-0.06345565128983499,-0.10983301000039489,0.00683229707195584,-0.031220967407243838,-0.3661457126843326,3.985278405632068e-05
19,S01,L01,M12,2.990697,0.000156392218531477,41.2473666953189,-0.00021789284392083834,False,3177.5403,17.27816,1048.16916,16.8502,194.62,0.24,-1.9,3181.592555,16.23682,1035.31608,16.04083,197.19,0.88,-2.38,-0.21957499626428428,-0.06323256329808728,-0.1096355367993593,0.006732435334705441,-0.03128281185309648,-0.32328182880584655,5.229289979274965e-05
20,S01,L01,M13,3.453318,-5.430149823083467e-05,49.46589396566378,-0.00020392831316667288,False,3187.540635,15.52069,1018.08416,15.68369,196.15,-2.26,-3.33,3192.05551,13.53411,1004.9589,16.30443,195.84,-0.33,0.46,-0.2199681426418429,-0.06301257797239393,-0.10944081582989845,0.006633980547696636,-0.03134378737414465,-0.30256302519859163,-1.5724441893516516e-05
21,S01,L01,M14,2.945581,8.929793146030054e-05,40.59247645224556,-0.00022226594171786555,False,3197.540965,13.33523,988.0591,15.99409,195.42,0.09,-3.61,3201.548105,11.99923,976.88722,15.69414,194.95,1.02,-0.69,-0.22034270392725058,-0.0628030240989895,-0.10925533422858194,0.006540212200668123,-0.03140186351087876,-0.3297700779283528,3.0315897427468652e-05
22,S01,L01,M15,2.230043,0.0002339669863824874,1.9293424830751746,-0.00023839430414886246,False,3207.54136,11.4072,958.49521,17.02428,194.52,-0.07,-2.17,3210.83296,9.79073,948.70432,16.1567,193.98,1.83,-0.5,-0.22071333341552693,-0.06259570249349458,-0.10907183477515862,0.006447461189109438,-0.03145931330674996,-0.35369930115805404,0.00010491590807104947
23,S01,L01,M12,2.906852,-4.659535298490865e-06,39.330548032630276,-0.0002096024896439252,False,3217.54177,9.94407,929.23444,16.21775,194.29,1.78,-0.57,3221.51018,9.71803,916.89361,16.11329,192.9,-1.38,-0.67,-0.22111079096164662,-0.06237341199958629,-0.10887509414885736,0.006348035505173677,-0.03152090251118507,-0.31098165022328345,-1.602948928425274e-06
24,S01,L01,M13,3.331618,-5.2827522658831756e-05,47.646258125493745,-0.00019533837906055097,False,3227.542175,9.11341,898.18596,16.10715,193.7,1.83,-2.3,3231.93535,9.37463,885.54134,15.39327,194.95,-1.02,-2.0,-0.22150347576439489,-0.0621538306325813,-0.10868075967015914,0.006249845061296539,-0.031581732624231765,-0.28981836797543975,-1.5856416509585358e-05
25,S01,L01,M14,2.864251,9.889571268482147e-05,38.623801027181116,-0.00021361768854991317,False,3237.542485,9.34033,868.26674,16.96299,194.75,1.3,-4.78,3241.468295,7.2356,856.24026,15.7471,193.31,-2.05,-0.18,-0.2218790749977274,-0.06194384139506288,-0.1084949228010765,0.006155966892201079,-0.031639897691492634,-0.3169388942611767,3.452759995015153e-05
26,S01,L01,M15,2.229678,0.00017390567657673506,2.3305007746295985,-0.00023028015371212012,False,3247.54295,7.92154,838.78336,15.40181,193.13,-0.31,-0.78,3250.834185,8.25986,828.96107,16.5413,192.69,-0.26,-0.71,-0.222251535245854,-0.06173564572266971,-0.1083106819172665,0.006062914104835997,-0.031697558466301866,-0.34166055153602043,7.799587051436803e-05
27,S01,L01,M12,2.826782,5.411771920742137e-05,37.311094836564024,-0.0002015345871466381,False,3257.5433,8.40848,808.25827,15.781,193.48,0.08,-3.01,3261.43164,7.84602,797.09744,15.86491,192.74,-0.62,-0.7,-0.2226477599630442,-0.06151421065303419,-0.10811473523392537,0.005963971394996937,-0.03175887773989047,-0.29901151744142024,1.9144638393558955e-05
28,S01,L01,M13,3.214658,1.2073209660725262e-05,45.684730309623006,-0.0001870283110490538,False,3267.543655,7.70648,778.57627,16.66736,192.13,0.03,-1.01,3271.81987,7.60884,765.76444,15.83814,192.75,1.44,-0.46,-0.22304004422576298,-0.06129502383669749,-0.10792078899395785,0.005866062133927689,-0.03181956626691402,-0.2774889406481532,3.755674681638066e-06
29,S01,L01,M14,2.792081,6.693712188824227e-05,36.736100933620435,-0.00020532210897395648,False,3277.543985,8.52143,748.51979,15.95945,192.13,-0.9,-2.11,3281.397625,8.3682,736.55358,16.17075,189.44,0.12,0.97,-0.22341681526750232,-0.0610845492945047,-0.10773456257407125,0.005772072705402739,-0.03187783500918119,-0.3046309630411224,2.397391833841578e-05
