# cfgfile = ./demo_res/MYGI//lambda/MYGI.1302.meiyo_m4_L-01.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M14,3.411976,-0.00021423831001160404,49.12913076753594,0.0003031539634614832,False,82081.54676,7.42551,1567.04843,13.65419,186.85,-1.05,-4.71,82086.020295,6.23151,1550.38515,13.59236,189.22,1.74,-3.12,0.5502759587983033,0.05879922586141892,-0.06254200752423897,0.0049299263276698715,-0.024787082219488707,0.44880700539839935,-6.279009876142272e-05
1,S01,L01,M15,2.384768,-0.00020945556872786102,20.70292394246667,0.00028998532537463753,False,82091.54691,5.14617,1529.36035,14.35194,186.17,1.51,-2.38,82094.993235,4.33248,1515.76906,13.62793,186.57,1.78,-3.48,0.5499634916635295,0.05875019458992958,-0.062493204599441035,0.004896685955717257,-0.024708135134584298,0.42931137698091565,-8.783058508327057e-05
2,S01,L01,M15,2.319818,6.034208088758473e-06,15.904807183591117,0.0002959538702672819,False,82131.546865,3.39951,1375.8901,13.21585,180.81,1.1,-0.93,82134.92824,4.28569,1362.26145,14.22563,180.35,-0.55,-3.37,0.548648180827418,0.05854362184012178,-0.06228752096646503,0.004756681224360274,-0.02437554186391068,0.4381475628228137,2.6011558185851102e-06
3,S01,L01,M12,3.231712,4.4204934559148757e-05,45.98312577801954,0.0003181467590845498,False,82141.546835,4.79646,1335.83891,13.35529,180.71,1.08,-3.31,82145.840105,4.26379,1318.70561,13.5064,178.69,-1.96,-0.91,0.5483043810974435,0.058489580063429206,-0.062233685732062054,0.0047200590141252795,-0.02428853422769483,0.4710032242084947,1.3678488231361197e-05
4,S01,L01,M15,2.270638,1.7183189667940948e-05,10.72130415242944,0.00030247656676683993,False,82171.54691,13.77621,1218.01693,14.05619,179.64,2.31,-7.08,82174.879105,13.26866,1204.64263,12.73275,178.03,-1.51,0.26,0.5473344085906919,0.05833700696296358,-0.06208161851048533,0.0046166583632953635,-0.02404289007621442,0.44780414738355356,7.567560160598452e-06
5,S01,L01,M12,3.096772,3.97091202574684e-05,43.46583597663641,0.0003243235257551029,False,82181.546885,15.63667,1179.90856,14.17049,179.79,2.36,-1.94,82185.705215,16.82391,1163.58992,13.52291,180.26,-0.14,-3.67,0.5469924816312384,0.05828318654968699,-0.062027944659709316,0.004580177111248246,-0.0239562371984677,0.4801476738498659,1.2822745832585802e-05
6,S01,L01,M13,3.583848,-9.785252166707832e-05,51.305199967488335,0.00033515743513433616,False,82191.546955,18.7681,1141.27808,13.2192,183.23,0.76,-4.87,82196.19236,18.46785,1123.56405,14.0486,183.76,-0.98,-2.86,0.5466562343548595,0.0582302418104641,-0.061975125779869134,0.004544284148337582,-0.023870992746129766,0.4961868322027108,-2.7303758883490126e-05
7,S01,L01,M14,3.032086,6.112499402671405e-06,42.49275236713157,0.00032120495929183044,False,82201.547,17.2892,1101.84472,13.69734,185.52,2.17,-2.66,82205.640645,17.853,1086.6923,12.30836,188.37,-0.34,-4.15,0.546337142783091,0.058179981787811766,-0.061924967388149954,0.004510205377149291,-0.023790069179243468,0.4755307641465064,2.015938664889916e-06
8,S01,L01,M15,2.242223,1.6553777697351225e-05,5.46299757044261,0.0003085028697016245,False,82211.546915,15.01925,1063.53379,14.35996,185.88,-0.06,-1.49,82214.850695,14.84271,1049.67691,13.72042,187.41,1.37,-6.36,0.5460220629741577,0.0581303377148408,-0.06187540534158899,0.004476537576693798,-0.023710135379183876,0.4567258416371993,7.382752606387155e-06
9,S01,L01,M12,2.979082,0.00015930640331054323,40.9939563607995,0.00032980497636028543,False,82221.546975,11.91959,1025.36035,13.39604,185.82,-2.55,0.06,82225.587615,12.23737,1008.43899,14.01055,186.9,1.07,-4.83,0.5456820509237347,0.058076747335498835,-0.06182188139902887,0.004440184716941856,-0.023623844840407193,0.4882627365832079,5.347499777130782e-05
10,S01,L01,M13,3.422703,-0.00015442042327588703,49.08177997117673,0.0003403921251273765,False,82231.54693,10.6993,985.42357,13.65265,186.51,-1.98,-3.81,82236.03119,9.02188,968.22645,13.02768,184.52,0.31,0.3,0.5453469635341459,0.05802391525551401,-0.06176909136782243,0.004404336309034414,-0.023538772249993026,0.5039365759736311,-4.5116512673137876e-05
11,S01,L01,M14,2.918366,3.6636265980535982e-06,39.9339353915947,0.00032668524634038706,False,82241.547,9.46277,946.77114,13.42935,187.96,1.05,-2.63,82245.526925,8.31478,930.74947,14.03263,187.38,0.02,-3.21,0.5450275134258107,0.057973532319256366,-0.06171872582511985,0.004370139537734437,-0.02345764020640106,0.48364410428200105,1.2553691339789452e-06
12,S01,L01,M15,2.231203,-9.229701091298546e-06,0.4371700678009063,0.0003141257905167192,False,82251.546975,6.97941,907.70122,13.29158,187.91,-2.05,-3.89,82254.839735,6.00221,894.9007,13.52612,187.86,1.38,-1.97,0.5447111619853015,0.05792362230665435,-0.06166880984852578,0.004336252833608388,-0.02337726627883853,0.465050345212214,-4.136647849298583e-06
13,S01,L01,M12,2.872862,-2.5844034191373344e-05,38.47496921607305,0.00033506065577545795,False,82261.547025,3.14074,869.30318,13.79693,189.73,0.25,-0.95,82265.481445,2.14507,853.76148,13.1969,188.42,0.52,-3.25,0.5443731520392054,0.057870277764592026,-0.06161543177269056,0.004300020887116222,-0.023291357229431268,0.49604355433246117,-8.995919118764961e-06
14,S01,L01,M13,3.268563,0.00018548075898041987,46.64110167569373,0.0003454310816656809,False,82271.547085,-0.78387,830.92451,13.91078,189.23,-0.3,-0.19,82275.877205,-2.71904,813.67939,13.37615,189.23,0.29,-3.63,0.5440392795716493,0.057817568745006626,-0.06156266110630009,0.004264206040388077,-0.023206467010988663,0.5113965443951767,5.6746882033609225e-05
15,S01,L01,M14,2.813941,0.0001920058466131038,37.29191314234507,0.00033184897079707796,False,82281.547025,-5.05256,792.57718,12.14643,187.34,-3.36,0.6,82285.422525,-4.70054,777.71511,15.1131,186.47,0.43,-3.99,0.5437194319759628,0.057767057775521435,-0.06151206345642103,0.004229870174889379,-0.02312511217076422,0.49128878648786106,6.823378550335768e-05
16,S01,L01,M15,2.239928,7.315147564462028e-05,5.256368704279453,0.00031938415527466805,False,82291.54707,-7.56684,754.3234,12.59148,184.88,-0.76,-3.84,82294.848555,-7.83285,742.51793,13.30149,183.99,-0.77,-1.82,0.5434016335164571,0.05771685476156675,-0.06146174614384543,0.0041957283789250885,-0.023044248401617014,0.47283513850127595,3.265795849001409e-05
17,S01,L01,M12,2.782367,-0.00010318241323120569,36.036805319152194,0.00034004239444913837,False,82301.5371,-9.16636,716.59458,13.90522,180.52,-0.22,-1.55,82305.381025,-9.71708,702.0671,13.27443,179.74,-0.42,-1.46,0.5430660057129091,0.057663818184205615,-0.061408556722848326,0.0041596416780303345,-0.022958814712228742,0.50341881405291,-3.708440088284748e-05
18,S01,L01,M14,2.728241,0.00018068898186907314,34.830849234519405,0.00033730322510278906,False,82321.53712,-7.46985,641.06703,13.0385,179.82,0.26,-1.19,82325.32692,-7.53994,627.06433,14.33548,179.84,-1.53,-1.97,0.5424130349624504,0.057560585233515635,-0.061304927956352326,0.004089344330016249,-0.02279250404681451,0.499363586215619,6.622911314252411e-05
19,S01,L01,M15,2.267953,7.767271913120887e-05,10.37072797030524,0.00032509316742536365,False,82331.537065,-6.84511,604.04457,13.06714,181.21,-2.86,-2.74,82334.866575,-5.59064,592.87327,13.73003,181.98,0.56,-2.68,0.5420937817439291,0.057510088606682115,-0.06125418798480951,0.004054928893998137,-0.022711143207283326,0.4812870967665761,3.424794038113174e-05
20,S01,L01,M13,2.992358,0.00019160683598492577,41.312439314936285,0.00035562292156232454,False,82351.53714,-5.0227,533.6435,13.69395,179.65,-0.62,-1.14,82355.591055,-4.91262,519.3015,14.8172,179.29,0.54,-2.44,0.541428704948911,0.057404843043548426,-0.06114832300826385,0.003983131724015395,-0.022541547713547716,0.5264851452212508,6.403205631977382e-05
