# cfgfile = ./demo_res/MYGI//lambda/MYGI.1401.kaiyo_kx_L-01.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M15,2.482868,8.406809183684961e-06,26.023607537140435,-0.000317251668630828,False,1351.5422,8.33317,1706.51224,15.25404,172.38,0.16,-0.67,1355.086625,8.88479,1696.95004,15.37415,173.83,0.14,-0.67,-0.5189941539304513,-0.015280516855492194,0.02704117792524152,-0.002575613495051097,0.003260316041651155,-0.46938950586918976,3.385926752322299e-06
1,S01,L01,M12,3.548522,-9.161303636980192e-05,50.81366602195075,-0.00032175911353282487,False,1361.54257,10.53611,1679.49199,15.26534,176.14,1.06,-1.2,1366.15265,11.06256,1666.50264,15.45028,177.79,0.35,-1.0,-0.5190672694389715,-0.015135051004368145,0.026940937726519017,-0.00256926181704821,0.003273413967296146,-0.4760584931259374,-2.5817237816139205e-05
2,S01,L01,M13,4.148603,-0.00019914904662223605,57.45607989058955,-0.00032265799495436235,False,1371.542905,11.37591,1651.23643,15.24948,179.97,-0.81,-1.15,1376.753065,11.25442,1636.61646,15.25622,180.93,0.51,-1.06,-0.5191386920588312,-0.014992802090544446,0.026842909753845928,-0.002563053427743663,0.0032862173331298294,-0.47738843256522034,-4.8003881456537556e-05
3,S01,L01,M14,3.471306,-9.463586935445362e-05,49.98718286247532,-0.0003200991988563307,False,1381.54334,10.66614,1622.99492,15.38241,181.85,-0.28,-0.47,1386.076205,10.27635,1609.95664,15.40713,182.82,0.88,-1.2,-0.5192056162429366,-0.01485937348391252,0.02675095723502633,-0.002557232410301228,0.003298222120501267,-0.4736025674151375,-2.726232413807761e-05
4,S01,L01,M15,2.420153,4.837945718035327e-06,22.763056828570654,-0.0003198806296125819,False,1391.54365,9.38007,1594.06447,14.92308,184.01,-1.27,-1.16,1395.02536,8.35371,1584.18123,15.63083,184.07,0.71,-0.46,-0.5192711754481067,-0.014728529345021817,0.026660784127452427,-0.00255152635891972,0.003309989597694283,-0.4732791834286506,1.999024738533195e-06
5,S01,L01,M12,3.442042,-0.00010519277704033887,49.321822100110325,-0.0003243736340163313,False,1401.54401,6.44219,1565.4677,15.26177,184.46,0.15,0.4,1406.04761,5.76757,1552.32352,15.48673,184.14,1.2,-0.85,-0.5193438221923045,-0.014583371769251476,0.026560746044180853,-0.002545198627824324,0.0033230382957987557,-0.4799268052553403,-3.056115440785989e-05
6,S01,L01,M13,4.018338,-0.00016592406799343097,56.228189544267565,-0.0003252860503486721,False,1411.544475,4.34313,1536.1728,15.25846,184.03,-0.2,-0.65,1416.62437,3.0306,1521.30402,15.20366,183.19,1.02,-0.47,-0.5194148426397316,-0.014441290848947758,0.026462828976907805,-0.002539007418915877,0.003335804000238164,-0.4812767702633504,-4.129171513034269e-05
7,S01,L01,M14,3.361831,-7.696205883183926e-05,48.372379352710055,-0.00032270723526884015,False,1421.54481,2.19834,1507.01896,15.41044,183.13,0.79,-0.82,1425.9682,1.58742,1493.80571,15.23441,181.71,0.11,-1.72,-0.5194815271929977,-0.014307725063383186,0.026370782005839886,-0.002533189310253738,0.0033477985693020637,-0.47746128604139376,-2.289289938484096e-05
8,S01,L01,M15,2.363943,-0.00013954605840319663,19.219185925942327,-0.0003224314335457961,False,1431.545255,0.74649,1477.59677,15.27091,180.93,-0.75,-0.83,1434.970755,-0.08081,1468.12017,15.47053,179.25,0.99,0.91,-0.5195469569310672,-0.014176515963075965,0.02628036191446736,-0.0025274757339362524,0.0033595753893475013,-0.4770532237763276,-5.903105887206106e-05
9,S01,L01,M12,3.338257,-9.643810310043435e-05,47.74002733113019,-0.00032696124898796557,False,1441.54561,-0.29492,1448.73164,15.36946,178.63,0.35,0.45,1445.945425,0.60468,1436.21808,15.52853,177.71,0.07,-2.1,-0.519619081350654,-0.014031691876411045,0.026180563904911643,-0.002521171386406371,0.0033725666642591954,-0.4837553093516529,-2.8888759343703718e-05
