# cfgfile = ./demo_res/MYGI//lambda/MYGI.1209.takuyo_t1_L-01.0_T0.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M15,2.495098,-4.219609255127035e-05,26.733104545698097,-0.0008683702600049167,False,65086.20207,12.28619,1729.07368,21.78294,183.62,-0.17,0.74,65089.758725,13.1963,1719.45814,21.81929,183.6,0.92,0.28,-1.082849367048623,0.16055864200789993,-0.11001378136945365,0.017946791590502525,-0.016569448637826743,-1.2865284950842302,-1.691159728045566e-05
1,S01,L01,M12,3.568372,1.7775385210507633e-07,51.067770034779755,-0.0008434691860129369,False,65096.20207,14.29411,1701.93596,21.87508,184.28,0.88,0.55,65100.832,15.09322,1689.04434,21.87698,185.03,0.55,0.74,-1.0821909855946878,0.16027052665248542,-0.10977340230111216,0.017875526836881303,-0.016582691861837057,-1.2496364655843928,4.98137111559771e-08
2,S01,L01,M13,4.175228,0.00012067364045851213,57.64165587323191,-0.0008422637899007264,False,65106.20207,15.53866,1674.36622,21.56388,186.42,0.3,0.13,65111.438855,15.56669,1660.08456,22.28954,187.27,0.67,0.79,-1.0815473007403669,0.1599887874841156,-0.10953834534294946,0.01780583484415036,-0.016595650923332428,-1.2478506185584781,2.8902287601662024e-05
3,S01,L01,M14,3.496176,9.06777782426012e-05,50.33042141867955,-0.0008584151737669639,False,65116.20207,16.31221,1647.19024,22.0024,187.83,1.15,-0.13,65120.759805,15.91346,1634.37403,21.54835,188.18,-0.37,0.57,-1.0809438997803558,0.15972462873390225,-0.10931795984048392,0.017740488237658787,-0.016607807929708396,-1.2717795997039638,2.593627387253994e-05
4,S01,L01,M15,2.432508,3.187059330002791e-05,23.604106251332553,-0.0008573264110291885,False,65126.20207,15.29734,1619.60133,21.89256,189.36,0.54,1.25,65129.696135,15.50455,1610.03233,21.87672,190.01,0.12,0.01,-1.080352627698979,0.1594657280156422,-0.10910196661010438,0.017676439608570294,-0.016619728006278405,-1.2701665501201078,1.3101947989493934e-05
5,S01,L01,M12,3.463837,-7.89490494021621e-06,49.63199457555339,-0.0008329034482542789,False,65136.20207,14.34751,1592.23789,21.93848,190.89,0.39,0.86,65140.727465,14.27745,1579.97805,22.0273,191.2,0.72,0.41,-1.0796960872929136,0.1591781834998877,-0.10886208545166647,0.017605302215678457,-0.016632971370660568,-1.2339828632857328,-2.2792368521429296e-06
6,S01,L01,M13,4.051188,8.461669412688796e-05,56.49915285684551,-0.0008318146090197259,False,65146.20207,13.22191,1564.89593,22.33009,191.56,0.89,0.36,65151.314815,12.29837,1550.68114,21.66168,192.31,0.42,0.51,-1.079053559909792,0.1588967086163401,-0.10862727872924433,0.0175356643661499,-0.016645938130762934,-1.2323697003685572,2.0886884076198875e-05
7,S01,L01,M14,3.393556,0.00016038789679733578,48.84651357508403,-0.0008481078833018695,False,65156.20207,10.9723,1537.43511,22.1936,192.86,0.39,0.59,65160.657185,11.07054,1524.92023,21.98159,192.51,1.09,-0.53,-1.0784500309642426,0.15863225493161492,-0.10840668272637588,0.017470236298466106,-0.01665812206726233,-1.2565088983669803,4.7262487136601194e-05
8,S01,L01,M15,2.377108,5.843409047597335e-05,20.30021750431422,-0.0008474411827992596,False,65166.20207,8.42084,1509.55356,21.45685,193.06,-0.36,0.84,65169.640735,8.04391,1500.30433,22.46032,193.46,1.14,-0.15,-1.0778578402860803,0.15837270673443715,-0.10819019150430405,0.017406021102441036,-0.016670080012114407,-1.2555211524320955,2.4582009095074075e-05
9,S01,L01,M12,3.365577,-3.1680927859763586e-05,48.17686987563107,-0.0008233475242773954,False,65176.20207,6.47498,1482.13235,21.79621,193.49,0.75,-0.28,65180.629205,4.07642,1469.96676,21.99804,193.97,0.27,0.9,-1.077203281227932,0.15808574632183905,-0.10795085282087374,0.017335023464208593,-0.01668329941112808,-1.2198253442418983,-9.413223307552787e-06
