# cfgfile = ./demo_res/MYGI//lambda/MYGI.1311.meiyo_m5_L-02.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M15,2.478078,2.5023917672721413e-05,25.995131713504264,-0.00020608273226474668,False,76308.539855,-24.7516,1708.25832,12.60285,164.14,-2.75,1.34,76312.07949,-25.13258,1696.95363,14.00348,158.96,1.2,4.56,-0.30400210741228395,-0.0311997299571784,-0.0004932266058160326,0.002173223981199723,-0.0012575222173738282,-0.3056537566694347,1.0098115423615162e-05
1,S01,L01,M12,3.551707,7.745071743256705e-05,50.80231433293022,-0.00020422066656244157,False,76318.53998,-21.09029,1678.82022,12.43194,157.9,-2.39,3.62,76323.153245,-16.91263,1666.27468,13.29976,158.04,1.08,-1.6,-0.30418185703428324,-0.031111277470814172,-0.0004923846897790887,0.0021820550764653276,-0.0012707286389395975,-0.30289201447580094,2.1806617897413005e-05
2,S01,L01,M13,4.138438,-3.567495902321949e-07,57.23849824559055,-0.00020504245576221603,False,76328.539935,-14.17205,1651.22429,12.97425,161.09,-1.7,2.01,76333.73993,-10.18631,1637.27204,12.22333,165.76,-0.32,-2.75,-0.3043574620398494,-0.031024870135107553,-0.0004915618422218103,0.002190682379244209,-0.001283631198543603,-0.30411085971014473,-8.620392288882783e-08
3,S01,L01,M14,3.454736,-1.2465754573503709e-05,49.707084459584905,-0.0002071369852283194,False,76338.540095,-9.05754,1623.45925,13.7034,166.61,-0.73,0.53,76343.05639,-7.80881,1610.57916,12.32463,169.8,0.82,-0.21,-0.3045222432887482,-0.03094379346135999,-0.0004907894312216655,0.0021987777587984623,-0.0012957390256638775,-0.30721738296288814,-3.608308876135169e-06
4,S01,L01,M15,2.414408,-8.835388195243868e-05,22.694079551612276,-0.00020692108269028723,False,76348.54016,-6.7129,1594.70987,13.7512,170.78,-1.02,1.01,76352.016125,-6.26614,1583.90589,12.91875,172.14,1.16,-0.97,-0.3046839893864677,-0.030864214510566007,-0.0004900310014483043,0.002206723859398532,-0.0013076243218113847,-0.30689716485873747,-3.6594428925201816e-05
5,S01,L01,M12,3.438502,-7.487402997282865e-05,49.22802382823366,-0.00020489794720357697,False,76358.54014,-5.79902,1565.49172,13.55,173.32,-0.65,0.62,76363.0402,-5.26035,1551.7282,12.78675,173.04,-0.33,-2.28,-0.30486335546308224,-0.03077597144054295,-0.0004891896874086939,0.0022155353618217165,-0.0013208048936112931,-0.3038965303321638,-2.177518872253925e-05
6,S01,L01,M15,2.357863,2.5071984969006613e-05,19.186528265966928,-0.0002074248626046234,False,76388.540355,-4.01203,1478.11015,12.98073,167.02,2.41,-1.4,76391.959775,-3.73217,1468.30085,12.30665,166.59,-2.62,1.72,-0.30536607672642435,-0.030528671089126724,-0.0004868304887725263,0.002240230633494377,-0.0013577495585930656,-0.30764435130012086,1.063335103396873e-05
7,S01,L01,M12,3.330957,1.8911821922886657e-05,47.60489444283499,-0.00020538621403707826,False,76398.54034,-1.2832,1449.4309,12.83597,166.54,1.72,-1.39,76402.932855,-0.6664,1436.89712,13.06914,165.05,-2.2,0.78,-0.30554504111192304,-0.030440642260414465,-0.00048599029590268284,0.002249021409368353,-0.0013709023488114218,-0.3046207083856896,5.677594133723929e-06
8,S01,L01,M13,3.881563,-2.547620136508679e-05,54.727177444974274,-0.00020611166638041852,False,76408.54043,1.11252,1420.90494,12.94951,167.16,-0.09,1.02,76413.48355,2.81084,1407.20577,13.03637,168.35,-0.26,0.17,-0.3057204093362096,-0.03035438588569228,-0.00048516686107275225,0.002257635249369256,-0.0013837911898033112,-0.30569667060527883,-6.563387317193303e-06
9,S01,L01,M14,3.255686,-6.81590051827252e-05,46.649508693233344,-0.0002082690189061088,False,76418.540515,3.86688,1392.53726,13.06783,168.11,0.44,0.2,76422.85776,4.9848,1380.05914,12.69607,170.65,-1.68,0.0,-0.30588574407107216,-0.030273067548518703,-0.0004843904504033586,0.002265755983210393,-0.001395942888057522,-0.3088963705349674,-2.0935374352049063e-05
