# cfgfile = ./demo_res/MYGI//lambda/MYGI.1401.kaiyo_kx_L-02.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M15,2.482868,-4.817345922351639e-05,26.023662611853553,-0.00034153042919029186,False,1351.5422,8.33317,1706.51224,15.25404,172.38,0.16,-0.67,1355.086625,8.88479,1696.95004,15.37415,173.83,0.14,-0.67,-0.5328150392063358,0.035699933610288226,0.01352177170227162,0.00321915814866996,0.004670821428789349,-0.5053111307145562,-1.9402344072869115e-05
1,S01,L01,M12,3.548522,-0.00016978258998011562,50.81376982514141,-0.0003434941355337686,False,1361.54257,10.53611,1679.49199,15.26534,176.14,1.06,-1.2,1366.15265,11.06256,1666.50264,15.45028,177.79,0.35,-1.0,-0.5327787046325256,0.035730568067577795,0.013486586529823697,0.003222759952415871,0.004670970975554259,-0.5082165311942912,-4.784600179458254e-05
2,S01,L01,M13,4.148603,-0.0003023489958774791,57.45613824664014,-0.000347861357439252,False,1371.542905,11.37591,1651.23643,15.24948,179.97,-0.81,-1.15,1376.753065,11.25442,1636.61646,15.25622,180.93,0.51,-1.06,-0.5327431665199258,0.035760525170712126,0.013452178381140087,0.0032262819712942734,0.004671116934417028,-0.5146780516051463,-7.287971297265106e-05
3,S01,L01,M14,3.471306,-0.00018425341270706224,49.98720156671382,-0.0003474459016779321,False,1381.54334,10.66614,1622.99492,15.38241,181.85,-0.28,-0.47,1386.076205,10.27635,1609.95664,15.40713,182.82,0.88,-1.2,-0.53270982493691,0.035788624849779,0.01341990299754007,0.0032295854827436234,0.004671253523470562,-0.5140633642959888,-5.307898891859786e-05
4,S01,L01,M15,2.420153,-4.667804298639881e-05,22.76312856090945,-0.00034260458034251925,False,1391.54365,9.38007,1594.06447,14.92308,184.01,-1.27,-1.16,1395.02536,8.35371,1584.18123,15.63083,184.07,0.71,-0.46,-0.5326771217350201,0.03581618033890792,0.013388252256767428,0.0032328248881734432,0.004671387097862863,-0.5069003903731383,-1.9287228115907884e-05
5,S01,L01,M12,3.442042,-0.000176646820949781,49.321940835293276,-0.00034468936048426697,False,1401.54401,6.44219,1565.4677,15.26177,184.46,0.15,0.4,1406.04761,5.76757,1552.32352,15.48673,184.14,1.2,-0.85,-0.5326408313242702,0.035846750309775854,0.013353138770423562,0.003236418517917458,0.004671534766530907,-0.5099849255146054,-5.132035604149543e-05
6,S01,L01,M13,4.018338,-0.0002605661431106033,56.22825227089062,-0.00034914009097589404,False,1411.544475,4.34313,1536.1728,15.25846,184.03,-0.2,-0.65,1416.62437,3.0306,1521.30402,15.20366,183.19,1.02,-0.47,-0.5326052995383657,0.0358766724389913,0.013318769396853274,0.0032399358322740554,0.004671678708676115,-0.516570001001325,-6.484425728014998e-05
7,S01,L01,M14,3.361831,-0.00015905421259994955,48.37239297938382,-0.0003487581056883688,False,1421.54481,2.19834,1507.01896,15.41044,183.13,0.79,-0.82,1425.9682,1.58742,1493.80571,15.23441,181.71,0.11,-1.72,-0.5325718870334146,0.035904801369823526,0.013286459933784233,0.0032432422135083025,0.004671813421785588,-0.5160048349105222,-4.7311781169234735e-05
8,S01,L01,M15,2.363943,-0.0001865091916939213,19.219248795622008,-0.00034390455602339786,False,1431.545255,0.74649,1477.59677,15.27091,180.93,-0.75,-0.83,1434.970755,-0.08081,1468.12017,15.47053,179.25,0.99,0.91,-0.5325390536066352,0.03593243405748812,0.013254720842962607,0.003246490123551534,0.00467194511721932,-0.5088237685704005,-7.889749951412589e-05
9,S01,L01,M12,3.338257,-0.00016082076624273343,47.74014608992147,-0.0003459158702750539,False,1441.54561,-0.29492,1448.73164,15.36946,178.63,0.35,0.45,1445.945425,0.60468,1436.21808,15.52853,177.71,0.07,-2.1,-0.5325028000106453,0.03596293414876169,0.013219688911945252,0.0032500748954542562,0.004672089644825817,-0.5117996073006015,-4.8175070476219606e-05
