# cfgfile = ./demo_res/MYGI//lambda/MYGI.1408.meiyo_mx_L-01.0_T0.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M12,3.513992,-9.028224528426261e-05,50.31962868607431,3.251967121225561e-05,False,43239.543495,11.48399,1645.40441,13.81731,183.32,0.8,-0.06,43244.119045,11.48244,1633.94313,13.85655,185.15,0.48,0.33,0.08960035872871117,0.06899744399310423,-0.034281158851017665,0.015284025656663973,0.002703321616553401,0.04814059673411277,-2.569221708081937e-05
1,S01,L01,M13,4.109823,0.00019218821050670463,57.06213878436073,2.3437130059217688e-05,False,43249.543465,10.49359,1619.22307,13.40963,186.74,1.15,-0.39,43254.714845,9.267,1605.33284,13.73428,187.71,-0.8,-0.08,0.08955478990886713,0.06890666611526947,-0.034097560492677266,0.015277227723336766,0.0027098233116977315,0.03469522860245094,4.67631356646514e-05
2,S01,L01,M15,2.404768,-8.982329245687683e-05,21.893507691300044,2.8185536804855712e-05,False,43269.543655,2.84009,1566.02761,13.83056,188.37,0.84,0.2,43273.00998,1.55596,1556.67042,13.58166,186.63,-0.79,0.33,0.08946968329151381,0.06873788145003074,-0.033756174182681495,0.015264591243304801,0.002721901280611612,0.04172454734246183,-3.735216555479648e-05
3,S01,L01,M12,3.419022,-2.177827556465518e-07,48.97433436800122,3.4958824779234716e-05,False,43279.543615,-1.40777,1539.01198,12.74477,182.99,0.45,0.77,43284.024195,-1.9888,1526.95548,14.09269,180.52,-0.21,0.43,0.08942276553245304,0.06864526559062675,-0.03356884103711255,0.015257659339607205,0.0027285252981477325,0.05175140532667508,-6.369738353440013e-08
4,S01,L01,M13,3.989403,0.00016033807665877484,55.90904851634876,2.5890787771394237e-05,False,43289.54371,-2.84298,1512.57593,13.47846,178.5,0.15,2.3,43294.59467,-2.29591,1498.21953,13.43637,177.24,1.73,0.23,0.08937669002016678,0.06855460673149198,-0.03338546423395591,0.015250875473767097,0.0027350088390499646,0.0383275084516064,4.019099515861768e-05
5,S01,L01,M15,2.354648,-5.3824719489228604e-05,18.607665130466216,3.113243338924966e-05,False,43309.54381,0.34864,1458.47709,13.48114,178.06,-0.31,-0.45,43312.960015,0.77451,1449.63923,13.64944,178.99,0.3,0.21,0.08929036247111233,0.0683855266863439,-0.03304346525869438,0.015238228098056198,0.0027471040097051718,0.04608699489491368,-2.2858923919510943e-05
6,S01,L01,M12,3.320632,-0.00014108486962147689,47.45863382709882,3.8059605310599614e-05,False,43319.543815,1.51048,1432.37494,13.05481,179.93,-0.08,-0.08,43323.926005,1.73041,1420.36067,13.69556,180.44,-0.04,0.69,0.08924296157659871,0.06829312998718448,-0.03285657864729176,0.015231319628063322,0.002753718105672329,0.05634165546011337,-4.2487354702802627e-05
7,S01,L01,M13,3.871778,0.00021478204010569107,54.68866274474887,2.903551391638033e-05,False,43329.543885,2.26966,1405.75409,13.48247,180.73,1.43,0.18,43334.47722,2.52256,1392.44712,13.9398,181.36,1.4,-0.34,0.08919634453699178,0.06820256235878241,-0.03267339736801854,0.015224550086672908,0.0027602061019330257,0.04298281361127059,5.5473748780454635e-05
8,S01,L01,M15,2.313428,5.6224122922032046e-05,15.209255745845468,3.4090713069383766e-05,False,43349.543935,2.1322,1352.25035,13.3747,182.56,0.42,-0.48,43352.91892,1.74303,1343.39011,14.34038,182.74,0.76,0.48,0.08910873531093269,0.06803315654119357,-0.032330780626854946,0.015211893981386363,0.0027723592142095297,0.050466293448657516,2.430338135530133e-05
9,S01,L01,M12,3.226917,0.00010870703143844796,45.89277218904917,4.08975754088568e-05,False,43359.54396,1.23106,1324.68983,12.70618,182.38,-0.7,-0.48,43363.832435,0.84212,1312.77898,13.52495,182.01,-0.46,-0.25,0.08906084051842708,0.06794099607621572,-0.032144405760903785,0.01520501257920932,0.0027789831218211596,0.060542853348983204,3.368758212202172e-05
