# cfgfile = ./demo_res/MYGI//lambda/MYGI.1602.kaiyo_k4_L-02.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M12,3.345687,3.325061450585983e-05,47.85001619466627,-2.073006726247089e-05,False,74242.54344,1.8765,1461.57023,15.77165,172.45,0.5,1.55,74246.950685,3.10868,1448.72999,15.63968,173.13,-0.44,-0.29,-0.05175608532066834,-0.02297710386159378,0.017597817558911173,-0.005957327034148454,-0.0059113897422911395,-0.030692056362989478,9.938351826055403e-06
1,S01,L01,M13,3.900923,5.117325827523518e-06,55.00648772515382,-1.5076762291332888e-05,False,74252.543835,2.8629,1432.63274,15.45551,174.29,-1.64,1.84,74257.506315,4.27117,1418.52288,15.42321,174.47,0.53,-0.18,-0.05202121247027436,-0.02295984131487025,0.017578570608535425,-0.005934238932587963,-0.0059000331031082405,-0.022322013342171286,1.3118243624710146e-06
2,S01,L01,M14,3.270866,2.3281338055512744e-05,46.909660536541736,-1.5461960569468635e-05,False,74262.54419,4.02054,1403.6824,15.61037,175.08,-0.73,0.55,74266.876615,4.32207,1391.24841,15.53576,175.45,0.33,-0.49,-0.052271055132871926,-0.022943574235794052,0.01756043355094826,-0.005912482195808276,-0.005889331698362876,-0.022892321538173718,7.117790229105303e-06
3,S01,L01,M15,2.320413,-3.953374688872834e-05,15.922732707215118,-2.3515527053998234e-05,False,74272.544635,4.31393,1374.26646,16.05939,175.38,0.72,2.06,74275.926605,4.40585,1364.106,15.81887,175.94,0.01,-0.92,-0.05251677132560792,-0.022927576086327284,0.017542596330221337,-0.005891085095343935,-0.005878807526403234,-0.034816089721683374,-1.703737519516066e-05
4,S01,L01,M12,3.240907,-6.515121582042848e-05,46.12307518968555,-2.287344621647449e-05,False,74282.54507,4.41695,1344.09479,15.83829,175.8,-0.21,2.1,74286.847535,4.29611,1331.05635,15.71423,176.11,-0.01,-0.1,-0.05278662317043117,-0.02291000678643642,0.017523007338697015,-0.0058675865540123665,-0.005867250151189982,-0.033865452128213,-2.0102772409213987e-05
5,S01,L01,M13,3.770618,-0.00012924112647598584,53.5745187628508,-1.728482645628103e-05,False,74292.545465,3.50562,1314.07865,15.96091,176.04,0.03,3.23,74297.37764,4.98368,1299.4204,15.32777,176.75,0.69,-1.8,-0.05305143719730464,-0.022892765741759198,0.017503784329198458,-0.005844526966119977,-0.0058559090532146335,-0.02559117928098011,-3.427584721549248e-05
6,S01,L01,M14,3.170371,1.2184368343483502e-05,45.16324404513324,-1.7694370603392068e-05,False,74302.54575,3.20589,1283.7346,15.71009,176.03,-0.7,1.87,74306.77768,4.58574,1270.97627,15.2951,176.42,-0.09,-1.41,-0.053301676652024566,-0.02287647380500656,0.017485619526559068,-0.005822736710154731,-0.005845192576829547,-0.026197532935655427,3.8431995320054035e-06
7,S01,L01,M15,2.280533,-2.7595516195782956e-05,11.982135363572525,-2.5662804450941038e-05,False,74312.546185,3.25915,1253.61809,15.39905,175.96,-1.01,0.64,74315.888275,4.39538,1243.86868,15.30501,175.93,1.1,-1.4,-0.053548187258141366,-0.022860424822649227,0.017467725601195187,-0.0058012713132453726,-0.00583463619155709,-0.03799525735580163,-1.2100467827382e-05
8,S01,L01,M12,3.139957,-7.403976543924558e-05,44.29998841206077,-2.499435259235427e-05,False,74322.546535,3.86135,1223.96489,15.50497,176.16,-0.68,-0.51,74326.74805,3.55975,1211.24535,16.00315,176.04,0.88,0.55,-0.05381726199948502,-0.02284290700422628,0.017448193979804787,-0.005777841244148068,-0.005823113977821044,-0.03700557594956558,-2.3579866042511277e-05
9,S01,L01,M13,3.642763,1.4946764208865889e-05,52.037867259481516,-1.947031049148558e-05,False,74332.546895,4.18205,1194.31488,15.42893,176.45,0.18,-1.31,74337.251215,2.95717,1179.78049,16.43866,175.97,-0.26,2.24,-0.05408173943453115,-0.02282568866017243,0.0174289962529858,-0.005754811595563333,-0.005811789043596595,-0.028826914039561714,4.1031393502311e-06
10,S01,L01,M14,3.075761,2.3445735862858508e-05,43.3502872524127,-1.9899532828006648e-05,False,74342.53734,3.69791,1164.24385,15.15466,176.77,0.96,-0.33,74346.67466,2.83079,1151.87046,16.22936,176.59,-0.7,1.93,-0.05433216350167446,-0.0228093853725376,0.017410818769794986,-0.005733005716334354,-0.005801066229016981,-0.029462402384966554,7.6227430749198355e-06
11,S01,L01,M15,2.253158,-2.7900793401563815e-05,7.944058431411889,-2.7782095914048272e-05,False,74352.53769,3.76847,1133.98893,15.59639,176.76,0.23,-0.99,74355.852405,2.08947,1124.34695,15.78028,177.08,-0.06,2.65,-0.0545795476339722,-0.02279328010655457,0.017392862067293742,-0.005711464563837091,-0.005790473901086817,-0.04113299020595238,-1.2382972433164392e-05
12,S01,L01,M12,3.044932,-2.8259114675133272e-05,42.40411927574772,-2.7088917693490554e-05,False,74362.538085,2.72803,1104.42099,16.22268,176.55,0.63,1.14,74366.644575,2.41254,1091.9686,15.55622,176.5,0.25,-0.16,-0.05484775887340155,-0.02277581905742835,0.017373393717365203,-0.005688109861155333,-0.0057789901538973475,-0.040106699999288654,-9.280704684089258e-06
13,S01,L01,M13,3.517428,4.162615007118355e-05,50.39656177174251,-2.1628067512720383e-05,False,74372.538435,2.62099,1074.48306,15.25709,176.0,-0.37,0.78,74377.11742,1.64842,1060.86791,16.63819,176.67,0.79,1.58,-0.0551118516888273,-0.02275862621240145,0.01735422439875909,-0.005665113718287121,-0.005767683058244288,-0.0320215973599226,1.1834257892751054e-05
14,S01,L01,M14,2.986571,3.3667343123089e-05,41.473324534783785,-2.208941457658008e-05,False,74382.538805,3.17531,1044.69305,15.41327,175.99,0.86,-1.42,74386.586935,1.38752,1032.50951,16.35778,176.0,-0.13,3.01,-0.055363003228109525,-0.022742275924419922,0.017335994492356656,-0.005643244363371977,-0.005756930308368619,-0.03270464821101732,1.1272909006043719e-05
15,S01,L01,M15,2.236803,-1.451710502384476e-05,3.833357143696986,-2.9889781667202016e-05,False,74392.539195,2.50949,1014.75943,15.54928,175.78,1.25,-0.48,74395.837555,1.78847,1004.71679,15.98395,175.83,-0.3,2.81,-0.05561133196642291,-0.022726109444597135,0.017317969520597047,-0.005621620689853172,-0.0057462986507171646,-0.04425354013529951,-6.49011335546526e-06
16,S01,L01,M12,2.954912,8.386340483375806e-05,40.444883251486175,-2.9192529184181285e-05,False,74402.53962,2.53582,984.8113,16.01708,175.08,0.72,-1.25,74406.55609,2.89792,972.57923,15.00124,174.91,-0.38,0.75,-0.05587859689476664,-0.02270871022182579,0.017298570086117154,-0.005598347941042266,-0.005734856524458163,-0.0432212177488281,2.8381016028145023e-05
17,S01,L01,M13,3.394823,4.787064666366646e-06,48.647048642255925,-2.3807903445259858e-05,False,74412.540015,2.71933,954.81685,15.90264,174.07,-0.81,-0.58,74416.996395,2.88538,941.52297,15.20284,174.65,0.48,0.73,-0.056142272433535916,-0.022691544674981,0.017279431187112018,-0.0055753875344783065,-0.0057235682857837596,-0.035248969777796596,1.4101072917105384e-06
18,S01,L01,M14,2.904266,-1.7063250015269256e-05,39.594455619345524,-2.429437152898731e-05,False,74422.54043,2.68414,925.35133,16.19823,174.31,-0.87,1.52,74426.506255,3.77927,913.38947,14.96862,174.31,-0.09,-1.76,-0.05639394567510789,-0.02267516047340329,0.01726116345369369,-0.0055534720353842375,-0.005712794057515779,-0.03596921374302427,-5.875236639918402e-06
19,S01,L01,M15,2.231468,2.6890554352431856e-05,0.4527296679551398,-3.200984194412135e-05,False,74432.54079,2.91697,896.365,15.93428,174.59,0.54,1.67,74435.833815,4.63074,886.40213,15.00407,174.15,-1.39,-2.45,-0.056643266119799175,-0.022658929407103158,0.017243066457239258,-0.005531761156387066,-0.005702120706107592,-0.04739241125849853,1.2050611683623452e-05
20,S01,L01,M12,2.872392,7.414770240550887e-05,38.44595456922593,-3.1268498818704955e-05,False,74442.541135,3.69556,866.94882,15.19698,174.74,0.4,-0.72,74446.475085,3.25241,855.73249,15.96985,175.0,-0.95,2.2,-0.056909531705284434,-0.022641595132242103,0.017223739424151875,-0.00550857436253622,-0.005690722082996001,-0.046294810141169464,2.5813921778611304e-05
