#SITE: MYGI
#Year          EW[m]      NS[m]      UD[m]   sgmEW[m]   sgmNS[m]   sgmUD[m]
 2012.6767     0.2363    -0.0546     0.1068     0.0122     0.0113     0.0058
 2012.8740     0.2343    -0.0625     0.1040     0.0102     0.0094     0.0048
 2012.9507     0.1834    -0.0471     0.0565     0.0125     0.0117     0.0060
 2013.0795     0.1414    -0.0225     0.0705     0.0169     0.0161     0.0081
 2013.4959     0.1166     0.0368     0.0754     0.0184     0.0172     0.0088
 2013.6795     0.1675    -0.0330     0.1424     0.0108     0.0101     0.0052
 2013.8548     0.1350    -0.0073     0.0366     0.0116     0.0107     0.0056
 2014.0411     0.1352     0.0090     0.0483     0.0109     0.0101     0.0052
 2014.6000     0.0920     0.0221     0.0033     0.0117     0.0108     0.0056
 2015.0411     0.0612     0.0075     0.0248     0.0144     0.0134     0.0068
 2015.3068     0.0419    -0.0119     0.0060     0.0124     0.0117     0.0061
 2015.6137     0.0364    -0.0356     0.0776     0.0137     0.0126     0.0066
 2015.7973     0.0117     0.0082    -0.0093     0.0120     0.0110     0.0058
 2016.1890     0.0034     0.0020    -0.0019     0.0119     0.0117     0.0063
 2016.4301    -0.0594     0.0056     0.0044     0.0113     0.0110     0.0060
 2016.5616    -0.0130     0.0109     0.0451     0.0110     0.0105     0.0056
 2016.7973    -0.0713     0.0229    -0.0125     0.0214     0.0198     0.0108
 2017.1890    -0.0919     0.0292     0.0397     0.0342     0.0309     0.0172
 2017.3068    -0.1156    -0.0854    -0.0162     0.0289     0.0268     0.0137
 2017.6329    -0.0956    -0.0297    -0.0431     0.0184     0.0165     0.0090
 2018.0301    -0.0970     0.0580    -0.1106     0.0233     0.0213     0.0117
 2018.1041    -0.0984     0.0856    -0.1015     0.0237     0.0227     0.0121
 2018.6384    -0.2094     0.0562    -0.0537     0.0229     0.0218     0.0113
 2019.1890    -0.1101     0.0478    -0.1137     0.0275     0.0263     0.0138
 2019.4164    -0.1208     0.0550    -0.1669     0.0270     0.0252     0.0136
 2019.8027    -0.2193     0.0639    -0.1237     0.0244     0.0222     0.0123
 2020.0986    -0.2077     0.0388    -0.1277     0.0294     0.0272     0.0146
 2020.4575    -0.2566     0.0604    -0.1491     0.0271     0.0244     0.0135
