# cfgfile = ./initcfg/MYGI/MYGI.1401.kaiyo_kx-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M15,2.482868,0.0,0.0,0.0,False,1351.5422,8.33317,1706.51224,15.25404,172.38,0.16,-0.67,1355.086625,8.88479,1696.95004,15.37415,173.83,0.14,-0.67
1,S01,L01,M12,3.548522,0.0,0.0,0.0,False,1361.54257,10.53611,1679.49199,15.26534,176.14,1.06,-1.2,1366.15265,11.06256,1666.50264,15.45028,177.79,0.35,-1.0
2,S01,L01,M13,4.148603,0.0,0.0,0.0,False,1371.542905,11.37591,1651.23643,15.24948,179.97,-0.81,-1.15,1376.753065,11.25442,1636.61646,15.25622,180.93,0.51,-1.06
3,S01,L01,M14,3.471306,0.0,0.0,0.0,False,1381.54334,10.66614,1622.99492,15.38241,181.85,-0.28,-0.47,1386.076205,10.27635,1609.95664,15.40713,182.82,0.88,-1.2
4,S01,L01,M15,2.420153,0.0,0.0,0.0,False,1391.54365,9.38007,1594.06447,14.92308,184.01,-1.27,-1.16,1395.02536,8.35371,1584.18123,15.63083,184.07,0.71,-0.46
5,S01,L01,M12,3.442042,0.0,0.0,0.0,False,1401.54401,6.44219,1565.4677,15.26177,184.46,0.15,0.4,1406.04761,5.76757,1552.32352,15.48673,184.14,1.2,-0.85
6,S01,L01,M13,4.018338,0.0,0.0,0.0,False,1411.544475,4.34313,1536.1728,15.25846,184.03,-0.2,-0.65,1416.62437,3.0306,1521.30402,15.20366,183.19,1.02,-0.47
7,S01,L01,M14,3.361831,0.0,0.0,0.0,False,1421.54481,2.19834,1507.01896,15.41044,183.13,0.79,-0.82,1425.9682,1.58742,1493.80571,15.23441,181.71,0.11,-1.72
8,S01,L01,M15,2.363943,0.0,0.0,0.0,False,1431.545255,0.74649,1477.59677,15.27091,180.93,-0.75,-0.83,1434.970755,-0.08081,1468.12017,15.47053,179.25,0.99,0.91
9,S01,L01,M12,3.338257,0.0,0.0,0.0,False,1441.54561,-0.29492,1448.73164,15.36946,178.63,0.35,0.45,1445.945425,0.60468,1436.21808,15.52853,177.71,0.07,-2.1
10,S01,L01,M13,3.890083,0.0,0.0,0.0,False,1451.54598,0.32762,1420.07192,15.5011,176.29,0.15,-0.07,1456.49762,0.66035,1405.72507,15.48546,176.61,0.3,-0.53
11,S01,L01,M14,3.261196,0.0,0.0,0.0,False,1461.54641,1.40554,1391.00425,15.06528,176.58,-0.86,-1.25,1465.869165,1.70337,1378.92728,15.35127,175.72,0.79,-0.91
12,S01,L01,M15,2.317543,0.0,0.0,0.0,False,1471.546785,1.67885,1362.63152,15.39124,175.61,0.49,0.95,1474.925885,3.01108,1352.79867,15.21697,176.16,0.04,-1.67
13,S01,L01,M12,3.235762,0.0,0.0,0.0,False,1481.53715,3.67529,1333.94664,15.53512,176.81,0.21,-0.93,1485.83447,4.12742,1321.79248,15.54212,177.3,0.89,-1.3
14,S01,L01,M13,3.764623,0.0,0.0,0.0,False,1491.537525,4.48978,1305.10711,15.51888,178.21,0.6,-0.89,1496.363705,4.83954,1291.05261,15.39129,178.47,-0.22,-1.64
15,S01,L01,M14,3.167416,0.0,0.0,0.0,False,1501.537855,4.51408,1276.29198,15.55564,178.78,-0.0,0.08,1505.76683,4.64649,1264.1022,15.50979,179.5,0.51,-0.67
16,S01,L01,M15,2.281008,0.0,0.0,0.0,False,1511.538295,4.42396,1247.33179,15.46451,180.52,0.59,-0.62,1514.88086,4.47424,1237.46213,15.29688,180.38,-0.58,-1.32
17,S01,L01,M12,3.138552,0.0,0.0,0.0,False,1521.53866,3.86945,1218.44956,15.59074,181.22,0.77,-1.05,1525.73877,3.46636,1205.9757,15.48015,181.83,-0.2,-1.39
18,S01,L01,M13,3.640558,0.0,0.0,0.0,False,1531.53907,2.63393,1189.06362,15.47616,182.0,-0.49,-1.96,1536.241185,1.60891,1175.22179,15.34013,181.83,-0.72,-0.44
19,S01,L01,M14,3.073246,0.0,0.0,0.0,False,1541.53943,1.01034,1159.99416,15.32323,180.96,-0.01,-1.34,1545.674235,0.03742,1148.1004,15.44654,180.5,0.44,-0.35
20,S01,L01,M15,2.254483,0.0,0.0,0.0,False,1551.53985,-0.52628,1130.8861,15.47075,179.49,-0.28,-0.33,1554.85589,-0.48107,1121.23741,15.64572,180.38,0.79,-2.15
21,S01,L01,M12,3.047947,0.0,0.0,0.0,False,1561.540135,-0.74479,1101.71506,15.32854,179.92,-0.3,-3.11,1565.64964,-2.25227,1089.80572,15.62966,179.66,0.34,0.58
22,S01,L01,M13,3.518153,0.0,0.0,0.0,False,1571.54051,-1.84076,1072.68126,15.53353,178.94,0.92,-2.91,1576.12022,-3.10277,1059.13343,15.30031,178.3,-0.77,0.22
