# cfgfile = ./initcfg/MYGI/MYGI.1510.meiyo_m5-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M15,2.555013,0.0,0.0,0.0,False,6568.540515,-0.29875,1829.51297,13.7142,176.81,0.92,-0.23,6572.157085,-0.31909,1819.21097,12.97075,176.49,-1.26,-0.49
1,S01,L01,M12,3.665462,0.0,0.0,0.0,False,6578.54052,0.4806,1801.9188,13.81931,177.31,1.02,-0.63,6583.26754,1.02762,1788.92759,13.34129,177.97,1.36,-1.29
2,S01,L01,M13,4.280223,0.0,0.0,0.0,False,6588.540605,1.59672,1773.80923,12.85003,178.18,-0.1,-1.18,6593.882385,1.26489,1758.93822,13.33531,179.09,-1.54,-0.78
3,S01,L01,M14,3.576241,0.0,0.0,0.0,False,6598.54067,1.49751,1746.18189,13.25518,179.71,1.25,-0.9,6603.17847,1.61132,1733.11853,13.12664,179.59,-0.8,-1.21
4,S01,L01,M15,2.485078,0.0,0.0,0.0,False,6608.540715,1.04329,1717.98112,13.37693,180.07,-0.44,-0.72,6612.08735,1.58945,1708.60012,13.32744,179.65,1.74,-1.89
5,S01,L01,M12,3.556382,0.0,0.0,0.0,False,6618.540805,1.35355,1690.61665,12.8875,179.59,1.26,-2.02,6623.158745,0.53466,1677.51166,13.1628,179.51,-1.05,-0.6
6,S01,L01,M13,4.153073,0.0,0.0,0.0,False,6628.540835,0.66769,1662.3123,12.9862,178.8,0.0,-0.66,6633.755465,0.5119,1647.81144,13.09504,178.48,-1.52,-0.78
7,S01,L01,M14,3.470756,0.0,0.0,0.0,False,6638.540875,0.69312,1634.49532,13.40402,178.21,0.69,-0.77,6643.07319,0.70129,1621.86392,13.14684,178.04,0.17,-0.63
8,S01,L01,M15,2.422018,0.0,0.0,0.0,False,6648.540875,0.95202,1606.49799,13.29418,177.99,0.56,-1.09,6652.02445,1.04182,1596.30273,13.27597,177.71,-0.2,-0.66
9,S01,L01,M12,3.449557,0.0,0.0,0.0,False,6658.54097,1.53149,1578.1571,13.04597,177.38,-0.02,-0.85,6663.052085,1.73366,1565.24218,12.96627,177.56,-1.67,-0.93
10,S01,L01,M13,4.026908,0.0,0.0,0.0,False,6668.540955,1.91341,1550.13042,13.55696,177.5,-0.16,-0.06,6673.62942,2.78557,1535.80012,13.02735,177.47,-0.28,-1.04
11,S01,L01,M14,3.369891,0.0,0.0,0.0,False,6678.541095,3.03706,1521.83817,13.24355,177.75,-0.76,-0.64,6682.972545,3.46009,1509.41136,13.04456,178.25,-0.87,-1.07
12,S01,L01,M15,2.367303,0.0,0.0,0.0,False,6688.541115,3.33903,1493.75598,13.39794,178.82,-0.19,-0.14,6691.969975,3.75922,1484.5399,13.55761,179.29,0.2,-1.53
13,S01,L01,M12,3.346452,0.0,0.0,0.0,False,6698.541125,3.65528,1465.96429,13.41012,179.77,-0.23,-0.68,6702.949135,4.30201,1454.10653,13.83262,179.76,1.97,-2.31
14,S01,L01,M13,3.902763,0.0,0.0,0.0,False,6708.54123,4.33545,1438.11844,12.70703,179.13,0.24,-2.31,6713.50555,3.23411,1424.10144,13.51778,179.19,-1.12,0.33
15,S01,L01,M14,3.272546,0.0,0.0,0.0,False,6718.541265,3.79792,1410.35272,13.70067,178.54,1.99,-1.3,6722.87537,3.75472,1398.29892,13.33199,178.5,0.3,-0.73
16,S01,L01,M15,2.320948,0.0,0.0,0.0,False,6728.54128,4.1084,1382.27153,13.57825,178.3,1.13,-1.54,6731.923785,4.45565,1372.54911,13.25895,177.94,-0.44,-1.2
17,S01,L01,M12,3.246837,0.0,0.0,0.0,False,6738.541385,4.72337,1354.06578,13.13568,177.62,0.36,-1.57,6742.84978,4.76787,1342.11153,13.65201,178.0,0.95,-0.61
18,S01,L01,M13,3.780153,0.0,0.0,0.0,False,6748.54142,4.99397,1325.81828,13.9013,177.89,0.8,-0.33,6753.38313,6.10857,1312.44759,12.67557,177.62,-0.19,-2.24
19,S01,L01,M14,3.179576,0.0,0.0,0.0,False,6758.54144,5.70755,1297.98336,13.63485,177.81,0.36,-0.67,6762.782575,6.08516,1286.12431,13.27282,178.13,0.24,-0.65
20,S01,L01,M15,2.283848,0.0,0.0,0.0,False,6768.541475,6.82228,1270.00444,13.25531,178.59,0.53,-1.62,6771.88688,6.05909,1260.83225,13.84806,179.62,0.14,0.03
21,S01,L01,M12,3.151357,0.0,0.0,0.0,False,6778.541595,6.58618,1242.17703,13.97096,180.2,1.2,-0.69,6782.75451,6.35287,1230.37088,12.4883,180.08,-1.44,-1.37
22,S01,L01,M13,3.660993,0.0,0.0,0.0,False,6788.54157,5.89558,1214.46248,13.23622,181.06,-0.54,-0.29,6793.26412,5.62974,1201.79011,13.68009,181.41,0.59,-1.31
23,S01,L01,M14,3.090586,0.0,0.0,0.0,False,6798.541665,4.84266,1187.40814,13.67795,181.81,1.27,-1.24,6802.69381,4.64897,1175.85729,13.0309,181.56,0.1,-1.59
24,S01,L01,M15,2.256188,0.0,0.0,0.0,False,6808.541675,3.42666,1159.58381,13.2542,181.42,-1.01,-0.92,6811.85942,3.4947,1150.92681,13.44485,181.04,1.75,-1.66
