depth,speed
0.0,1516.463
10.0,1515.274
20.0,1514.123
30.0,1511.398
40.0,1508.64
50.0,1507.452
60.0,1506.583
70.0,1503.59
80.0,1500.17
90.0,1498.57
100.0,1497.606
110.0,1496.149
120.0,1495.271
130.0,1494.616
140.0,1493.927
150.0,1492.846
160.0,1491.798
170.0,1491.279
180.0,1490.331
190.0,1489.019
200.0,1487.984
250.0,1482.151
300.0,1478.885
350.0,1476.144
400.0,1476.914
450.0,1475.26
500.0,1474.555
550.0,1474.377
600.0,1474.758
700.0,1477.249
800.0,1477.448
900.0,1478.015
1200.0,1480.464
1727.8,1486.178
