depth,speed
0.0,1492.938
10.0,1493.008
20.0,1493.127
30.0,1493.271
40.0,1493.427
50.0,1493.584
60.0,1493.723
70.0,1493.862
80.0,1493.969
90.0,1494.069
100.0,1493.962
110.0,1493.324
120.0,1492.3
130.0,1490.958
140.0,1489.758
150.0,1488.712
160.0,1487.21
170.0,1486.834
180.0,1486.879
190.0,1486.359
200.0,1486.116
250.0,1480.442
300.0,1478.945
350.0,1477.484
400.0,1476.955
450.0,1476.287
500.0,1476.073
550.0,1475.851
600.0,1475.699
700.0,1475.697
800.0,1475.804
900.0,1476.407
1200.0,1479.253
1727.8,1486.177
