# cfgfile = ./initcfg/MYGI/MYGI.2002.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M15,2.410053,0.0,0.0,0.0,False,11705.39515,-58.4112,1569.95402,15.97624,168.38,-0.13,-2.54,11708.86676,-56.18917,1557.97878,15.16585,169.19,0.42,-3.7
1,S01,L01,M13,4.053333,0.0,0.0,0.0,False,11706.48522,-57.42802,1565.96637,15.42294,168.65,-0.86,-3.84,11711.60011,-54.73283,1548.34003,16.06616,168.7,-0.36,-1.07
2,S01,L01,M12,3.440462,0.0,0.0,0.0,False,11715.39553,-52.97169,1535.0951,16.60739,168.4,0.37,-2.36,11719.89755,-50.16127,1519.20426,15.06553,168.95,-0.36,-2.55
3,S01,L01,M14,3.361161,0.0,0.0,0.0,False,11716.485595,-51.79076,1531.22678,16.18791,168.77,0.28,-4.37,11720.908315,-50.2418,1515.98854,15.33072,169.42,0.32,-1.12
4,S01,L01,M13,3.980358,0.0,0.0,0.0,False,11725.3959,-47.12618,1501.24306,15.21143,169.62,1.37,-1.85,11730.437815,-44.61125,1484.24223,15.39917,170.46,0.57,-1.44
5,S01,L01,M15,2.374953,0.0,0.0,0.0,False,11726.485965,-46.56953,1497.56022,15.91473,169.84,1.39,-2.46,11729.922475,-44.57889,1486.04551,15.38731,170.46,0.63,-2.09
6,S01,L01,M14,3.308411,0.0,0.0,0.0,False,11735.396265,-42.04061,1466.79739,16.09334,170.85,0.05,-1.19,11739.766235,-40.36217,1452.11092,15.94829,172.85,1.68,-3.44
7,S01,L01,M12,3.370332,0.0,0.0,0.0,False,11736.486335,-41.82139,1462.63214,16.18795,171.53,-0.99,-1.33,11740.918225,-40.02541,1447.85682,14.90944,173.12,0.11,-2.88
8,S01,L01,M15,2.347358,0.0,0.0,0.0,False,11745.396735,-37.64577,1433.63988,14.81915,175.36,0.13,-1.53,11748.80565,-37.02477,1421.95013,16.80222,176.6,-0.8,-1.55
9,S01,L01,M13,3.901713,0.0,0.0,0.0,False,11746.4867,-37.87869,1429.85863,15.19579,175.21,-0.5,0.39,11751.44997,-35.54933,1412.72775,16.52088,178.0,0.62,-5.16
10,S01,L01,M12,3.311637,0.0,0.0,0.0,False,11755.39712,-35.31586,1398.98901,15.65024,181.09,-0.55,-4.19,11759.770315,-35.33678,1384.93782,15.38748,181.98,-0.8,-1.46
11,S01,L01,M14,3.248926,0.0,0.0,0.0,False,11756.48719,-34.91801,1395.5614,15.45716,182.24,-0.15,-4.18,11760.797675,-34.57756,1381.62821,15.38515,182.85,-0.83,-3.67
