# cfgfile =demo_prep/Data/Data.Data.SimulationData12-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M01,1.814563,0.000001,61.448983,-0.000017,False,79902.500000,-496.532065,-496.245871,8.729007,90.010000,0.010000,0.010000,79904.314563,-493.538189,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000064,-0.000477,0.101515,0.000000,0.000000
1,S01,L01,M02,0.950806,0.000000,16.496098,-0.000014,False,79904.500000,-493.232233,-496.245871,8.729007,90.010000,0.010000,0.010000,79905.450806,-491.663483,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000064,-0.000476,0.101516,0.000000,0.000000
2,S01,L01,M03,1.441888,0.000000,51.888970,-0.000022,False,79906.500000,-489.932402,-496.245871,8.729007,90.010000,0.010000,0.010000,79907.941888,-487.553408,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000064,-0.000476,0.101516,0.000000,0.000000
3,S01,L01,M04,1.447855,-0.000000,52.090353,-0.000013,False,79908.500000,-486.632570,-496.245871,8.729007,90.010000,0.010000,0.010000,79909.947855,-484.243730,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000064,-0.000476,0.101516,0.000000,0.000000
4,S01,L01,M01,1.798816,-0.000000,61.136950,-0.000017,False,79914.500000,-476.733075,-496.245871,8.729007,90.010000,0.010000,0.010000,79916.298816,-473.765180,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000064,-0.000476,0.101517,0.000000,0.000000
5,S01,L01,M02,0.946089,0.000001,15.464800,-0.000014,False,79916.500000,-473.433243,-496.245871,8.729007,90.010000,0.010000,0.010000,79917.446089,-471.872277,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000064,-0.000476,0.101517,0.000000,0.000000
6,S01,L01,M03,1.422171,-0.000000,51.208962,-0.000022,False,79918.500000,-470.133412,-496.245871,8.729007,90.010000,0.010000,0.010000,79919.922171,-467.786949,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000064,-0.000475,0.101517,0.000000,0.000000
7,S01,L01,M04,1.444928,0.000000,51.991974,-0.000013,False,79920.500000,-466.833580,-496.245871,8.729007,90.010000,0.010000,0.010000,79921.944928,-464.449571,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000064,-0.000475,0.101518,0.000000,0.000000
8,S01,L01,M01,1.783309,0.000000,60.823680,-0.000017,False,79926.500000,-456.934085,-496.245871,8.729007,90.010000,0.010000,0.010000,79928.283309,-453.991775,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000064,-0.000475,0.101518,0.000000,0.000000
9,S01,L01,M02,0.942065,-0.000000,14.520251,-0.000014,False,79928.500000,-453.634254,-496.245871,8.729007,90.010000,0.010000,0.010000,79929.442065,-452.079925,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000065,-0.000475,0.101519,0.000000,0.000000
10,S01,L01,M03,1.402659,0.000000,50.511216,-0.000021,False,79930.500000,-450.334422,-496.245871,8.729007,90.010000,0.010000,0.010000,79931.902659,-448.020153,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000065,-0.000475,0.101519,0.000000,0.000000
11,S01,L01,M04,1.442463,-0.000000,51.908747,-0.000013,False,79932.500000,-447.034590,-496.245871,8.729007,90.010000,0.010000,0.010000,79933.942463,-444.654647,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000065,-0.000475,0.101519,0.000000,0.000000
12,S01,L01,M01,1.768048,0.000000,60.509390,-0.000016,False,79938.500000,-437.135095,-496.245871,8.729007,90.010000,0.010000,0.010000,79940.268048,-434.217965,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000065,-0.000474,0.101520,0.000000,0.000000
13,S01,L01,M02,0.938745,-0.000000,13.686395,-0.000014,False,79940.500000,-433.835264,-496.245871,8.729007,90.010000,0.010000,0.010000,79941.438745,-432.286413,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000065,-0.000474,0.101520,0.000000,0.000000
14,S01,L01,M03,1.383358,-0.000000,49.795225,-0.000021,False,79942.500000,-430.535432,-496.245871,8.729007,90.010000,0.010000,0.010000,79943.883358,-428.253007,-496.245871,8.729007,90.010000,0.010000,0.010000,0.000065,-0.000474,0.101520,0.000000,0.000000
