# cfgfile =demo_prep/Data/Data.Data.SimulationData0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n
0,S01,L01,M01,1.350643,0.000000,0.000000,0.000000,False,79452.500000,-1.271124,708.664099,8.729007,180.010000,0.010000,0.010000,79453.850643,1.271124,701.304802,8.729007,360.010000,0.010000,0.010000,0.060613,-0.068626,-0.064338,-0.093202,-0.127217
1,S01,L01,M02,1.180140,0.000000,0.000000,0.000000,False,79454.500000,-1.271124,702.378706,8.729007,180.010000,0.010000,0.010000,79455.680140,1.271124,695.555247,8.729007,360.010000,0.010000,0.010000,0.060599,-0.068649,-0.064299,-0.093209,-0.127153
2,S01,L01,M03,1.629481,0.000000,0.000000,0.000000,False,79456.500000,-1.271124,696.093312,8.729007,180.010000,0.010000,0.010000,79458.129481,1.271124,687.857711,8.729007,360.010000,0.010000,0.010000,0.060583,-0.068674,-0.064254,-0.093216,-0.127080
3,S01,L01,M04,1.622764,0.000000,0.000000,0.000000,False,79458.500000,-1.271124,689.807918,8.729007,180.010000,0.010000,0.010000,79460.122764,1.271124,681.593426,8.729007,360.010000,0.010000,0.010000,0.060569,-0.068698,-0.064214,-0.093222,-0.127014
4,S01,L01,M05,1.166937,0.000000,0.000000,0.000000,False,79460.500000,-1.271124,683.522525,8.729007,180.010000,0.010000,0.010000,79461.666937,1.271124,676.740560,8.729007,360.010000,0.010000,0.010000,0.060556,-0.068718,-0.064178,-0.093228,-0.126955
5,S01,L01,M01,1.320514,0.000000,0.000000,0.000000,False,79462.500000,-1.271124,677.237131,8.729007,180.010000,0.010000,0.010000,79463.820514,1.271124,669.972519,8.729007,360.010000,0.010000,0.010000,0.060541,-0.068742,-0.064136,-0.093235,-0.126886
6,S01,L01,M02,1.158367,0.000000,0.000000,0.000000,False,79464.500000,-1.271124,670.951738,8.729007,180.010000,0.010000,0.010000,79465.658367,1.271124,664.196704,8.729007,360.010000,0.010000,0.010000,0.060528,-0.068765,-0.064097,-0.093241,-0.126823
7,S01,L01,M03,1.596072,0.000000,0.000000,0.000000,False,79466.500000,-1.271124,664.666344,8.729007,180.010000,0.010000,0.010000,79468.096072,1.271124,656.535738,8.729007,360.010000,0.010000,0.010000,0.060512,-0.068790,-0.064053,-0.093249,-0.126750
8,S01,L01,M04,1.589443,0.000000,0.000000,0.000000,False,79468.500000,-1.271124,658.380950,8.729007,180.010000,0.010000,0.010000,79470.089443,1.271124,650.271175,8.729007,360.010000,0.010000,0.010000,0.060497,-0.068814,-0.064012,-0.093255,-0.126683
9,S01,L01,M05,1.145873,0.000000,0.000000,0.000000,False,79470.500000,-1.271124,652.095557,8.729007,180.010000,0.010000,0.010000,79471.645873,1.271124,645.379790,8.729007,360.010000,0.010000,0.010000,0.060485,-0.068834,-0.063976,-0.093261,-0.126625
