# cfgfile =demo_prep/Data/Data.Data.SimulationData23-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n
0,S01,L01,M01,1.302043,0.000000,0.000000,0.000000,False,79832.500000,-1.271124,708.664099,8.729007,180.010000,0.010000,0.010000,79833.802043,1.271124,679.244225,8.729007,360.010000,0.010000,0.010000,0.125903,-0.000848,-0.013633,-0.009212,-0.007493
1,S01,L01,M02,1.108826,0.000000,0.000000,0.000000,False,79834.500000,-1.271124,668.257997,8.729007,180.010000,0.010000,0.010000,79835.608826,1.271124,642.741683,8.729007,360.010000,0.010000,0.010000,0.125905,-0.000846,-0.013616,-0.009213,-0.007490
2,S01,L01,M03,1.569408,0.000000,0.000000,0.000000,False,79836.500000,-1.271124,627.851896,8.729007,180.010000,0.010000,0.010000,79838.069408,1.271124,593.030438,8.729007,360.010000,0.010000,0.010000,0.125908,-0.000845,-0.013596,-0.009214,-0.007486
3,S01,L01,M04,1.529070,0.000000,0.000000,0.000000,False,79838.500000,-1.271124,587.445794,8.729007,180.010000,0.010000,0.010000,79840.029070,1.271124,553.439277,8.729007,360.010000,0.010000,0.010000,0.125910,-0.000843,-0.013578,-0.009215,-0.007483
4,S01,L01,M05,1.050886,0.000000,0.000000,0.000000,False,79840.500000,-1.271124,547.039692,8.729007,180.010000,0.010000,0.010000,79841.550886,1.271124,522.693945,8.729007,360.010000,0.010000,0.010000,0.125912,-0.000841,-0.013562,-0.009216,-0.007481
5,S01,L01,M01,1.130250,0.000000,0.000000,0.000000,False,79842.500000,-1.271124,506.633590,8.729007,180.010000,0.010000,0.010000,79843.630250,1.271124,480.684457,8.729007,360.010000,0.010000,0.010000,0.125915,-0.000840,-0.013544,-0.009218,-0.007478
6,S01,L01,M02,1.024343,0.000000,0.000000,0.000000,False,79844.500000,-1.271124,466.227489,8.729007,180.010000,0.010000,0.010000,79845.524343,1.271124,442.417989,8.729007,360.010000,0.010000,0.010000,0.125917,-0.000838,-0.013527,-0.009219,-0.007475
7,S01,L01,M03,1.376173,0.000000,0.000000,0.000000,False,79846.500000,-1.271124,425.821387,8.729007,180.010000,0.010000,0.010000,79847.876173,1.271124,394.903848,8.729007,360.010000,0.010000,0.010000,0.125919,-0.000836,-0.013507,-0.009220,-0.007471
8,S01,L01,M04,1.340435,0.000000,0.000000,0.000000,False,79848.500000,-1.271124,385.415285,8.729007,180.010000,0.010000,0.010000,79849.840435,1.271124,355.219767,8.729007,360.010000,0.010000,0.010000,0.125922,-0.000835,-0.013489,-0.009221,-0.007468
9,S01,L01,M05,1.004679,0.000000,0.000000,0.000000,False,79850.500000,-1.271124,345.009183,8.729007,180.010000,0.010000,0.010000,79851.504679,1.271124,321.596972,8.729007,360.010000,0.010000,0.010000,0.125924,-0.000833,-0.013473,-0.009222,-0.007465
10,S01,L01,M01,1.000025,0.000000,0.000000,0.000000,False,79852.500000,-1.271124,304.603081,8.729007,180.010000,0.010000,0.010000,79853.500025,1.271124,281.284896,8.729007,360.010000,0.010000,0.010000,0.125926,-0.000832,-0.013455,-0.009223,-0.007462
11,S01,L01,M02,1.005683,0.000000,0.000000,0.000000,False,79854.500000,-1.271124,264.196980,8.729007,180.010000,0.010000,0.010000,79855.505683,1.271124,240.764483,8.729007,360.010000,0.010000,0.010000,0.125929,-0.000830,-0.013437,-0.009225,-0.007459
12,S01,L01,M03,1.210137,0.000000,0.000000,0.000000,False,79856.500000,-1.271124,223.790878,8.729007,180.010000,0.010000,0.010000,79857.710137,1.271124,196.227773,8.729007,360.010000,0.010000,0.010000,0.125931,-0.000828,-0.013418,-0.009226,-0.007456
13,S01,L01,M04,1.181262,0.000000,0.000000,0.000000,False,79858.500000,-1.271124,183.384776,8.729007,180.010000,0.010000,0.010000,79859.681262,1.271124,156.405044,8.729007,360.010000,0.010000,0.010000,0.125933,-0.000827,-0.013400,-0.009227,-0.007453
14,S01,L01,M05,1.028396,0.000000,0.000000,0.000000,False,79860.500000,-1.271124,142.978674,8.729007,180.010000,0.010000,0.010000,79861.528396,1.271124,119.087303,8.729007,360.010000,0.010000,0.010000,0.125936,-0.000825,-0.013383,-0.009228,-0.007450
15,S01,L01,M01,0.929513,0.000000,0.000000,0.000000,False,79862.500000,-1.271124,102.572573,8.729007,180.010000,0.010000,0.010000,79863.429513,1.271124,80.678932,8.729007,360.010000,0.010000,0.010000,0.125938,-0.000823,-0.013366,-0.009229,-0.007447
16,S01,L01,M02,1.057031,0.000000,0.000000,0.000000,False,79864.500000,-1.271124,62.166471,8.729007,180.010000,0.010000,0.010000,79865.557031,1.271124,37.696591,8.729007,360.010000,0.010000,0.010000,0.125940,-0.000822,-0.013347,-0.009231,-0.007444
17,S01,L01,M03,1.084194,0.000000,0.000000,0.000000,False,79866.500000,-1.271124,21.760369,8.729007,180.010000,0.010000,0.010000,79867.584194,1.271124,-3.258295,8.729007,360.010000,0.010000,0.010000,0.125943,-0.000820,-0.013329,-0.009232,-0.007441
18,S01,L01,M04,1.065183,0.000000,0.000000,0.000000,False,79868.500000,-1.271124,-18.645733,8.729007,180.010000,0.010000,0.010000,79869.565183,1.271124,-43.280321,8.729007,360.010000,0.010000,0.010000,0.125945,-0.000818,-0.013311,-0.009233,-0.007438
19,S01,L01,M05,1.118240,0.000000,0.000000,0.000000,False,79870.500000,-1.271124,-59.051835,8.729007,180.010000,0.010000,0.010000,79871.618240,1.271124,-84.758330,8.729007,360.010000,0.010000,0.010000,0.125947,-0.000817,-0.013293,-0.009234,-0.007434
20,S01,L01,M01,0.933100,0.000000,0.000000,0.000000,False,79872.500000,-1.271124,-99.457936,8.729007,180.010000,0.010000,0.010000,79873.433100,1.271124,-121.424049,8.729007,360.010000,0.010000,0.010000,0.125950,-0.000815,-0.013276,-0.009235,-0.007432
21,S01,L01,M02,1.169772,0.000000,0.000000,0.000000,False,79874.500000,-1.271124,-139.864038,8.729007,180.010000,0.010000,0.010000,79875.669772,1.271124,-166.611636,8.729007,360.010000,0.010000,0.010000,0.125952,-0.000813,-0.013257,-0.009236,-0.007428
22,S01,L01,M03,1.013854,0.000000,0.000000,0.000000,False,79876.500000,-1.271124,-180.270140,8.729007,180.010000,0.010000,0.010000,79877.513854,1.271124,-203.867720,8.729007,360.010000,0.010000,0.010000,0.125954,-0.000812,-0.013240,-0.009238,-0.007425
23,S01,L01,M04,1.007699,0.000000,0.000000,0.000000,False,79878.500000,-1.271124,-220.676242,8.729007,180.010000,0.010000,0.010000,79879.507699,1.271124,-244.149467,8.729007,360.010000,0.010000,0.010000,0.125957,-0.000810,-0.013222,-0.009239,-0.007422
24,S01,L01,M05,1.260576,0.000000,0.000000,0.000000,False,79880.500000,-1.271124,-261.082344,8.729007,180.010000,0.010000,0.010000,79881.760576,1.271124,-289.664453,8.729007,360.010000,0.010000,0.010000,0.125959,-0.000808,-0.013203,-0.009240,-0.007419
25,S01,L01,M01,1.010785,0.000000,0.000000,0.000000,False,79882.500000,-1.271124,-301.488445,8.729007,180.010000,0.010000,0.010000,79883.510785,1.271124,-325.024028,8.729007,360.010000,0.010000,0.010000,0.125961,-0.000807,-0.013186,-0.009241,-0.007416
