# cfgfile = demo_prep/Data/Data.Data.SimulationData23-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M01,1.302043,2.4957455546312103e-05,44.08872192316227,9.136333673660053e-05,False,79832.5,-1.27112,708.6641,8.72901,180.01,0.01,0.01,79833.802043,1.27112,679.24422,8.72901,360.01,0.01,0.01,0.15231949720983373,0.0057126515621699885,-0.021044923199823665,-0.008956477634548122,-0.0056323779063336635,0.13773261183898902,1.916791960504538e-05
1,S01,L01,M02,1.108826,9.996347539250832e-06,33.221157193417554,8.900793873585695e-05,False,79834.5,-1.27112,668.258,8.72901,180.01,0.01,0.01,79835.608826,1.27112,642.74168,8.72901,360.01,0.01,0.01,0.15231515856839256,0.005713759097343195,-0.021027721271381382,-0.008957274467880184,-0.005629580175144915,0.13418178795108712,9.015253555788583e-06
2,S01,L01,M03,1.569408,-2.7147025753063957e-05,52.84271183399929,9.185203169285536e-05,False,79836.5,-1.27112,627.8519,8.72901,180.01,0.01,0.01,79838.069408,1.27112,593.03044,8.72901,360.01,0.01,0.01,0.15231006766226296,0.005715056833266614,-0.021007565262182216,-0.008958208357949669,-0.005626301896202029,0.13846933222510593,-1.7297621621059633e-05
3,S01,L01,M04,1.52907,-8.36098914015451e-06,51.78850148120026,9.600989263667459e-05,False,79838.5,-1.27112,587.44579,8.72901,180.01,0.01,0.01,79840.02907,1.27112,553.43928,8.72901,360.01,0.01,0.01,0.15230554251603473,0.005716208821754146,-0.020989672987293602,-0.008959037539633181,-0.005623391723327554,0.14473741598726708,-5.468022484356183e-06
4,S01,L01,M05,1.050886,-1.8769316848445468e-06,28.266970406098977,9.425262667624264e-05,False,79840.5,-1.27112,547.03969,8.72901,180.01,0.01,0.01,79841.550886,1.27112,522.69394,8.72901,360.01,0.01,0.01,0.1523015130570574,0.00571723341645599,-0.02097375935878181,-0.008959775162298697,-0.005620803313444214,0.14208829174256246,-1.786046902180205e-06
5,S01,L01,M01,1.13025,1.0216470306239504e-05,34.77184211323663,9.417373713136781e-05,False,79842.5,-1.27112,506.63359,8.72901,180.01,0.01,0.01,79843.63025,1.27112,480.68446,8.72901,360.01,0.01,0.01,0.15229683959674914,0.005718420202304521,-0.020955326631944632,-0.008960629724219233,-0.005617805080238994,0.1419693636971286,9.039124358539707e-06
6,S01,L01,M02,1.024343,-4.380446559382482e-06,25.485074865627553,9.182811802575871e-05,False,79844.5,-1.27112,466.22749,8.72901,180.01,0.01,0.01,79845.524343,1.27112,442.41799,8.72901,360.01,0.01,0.01,0.15229237264161816,0.005719553072960572,-0.020937731272647836,-0.008961445626742127,-0.005614942972888048,0.13843328174856342,-4.276347433801453e-06
7,S01,L01,M03,1.376173,2.6324043398250387e-05,47.005571452653186,9.464571993731017e-05,False,79846.5,-1.27112,425.82139,8.72901,180.01,0.01,0.01,79847.876173,1.27112,394.90385,8.72901,360.01,0.01,0.01,0.1522873736449981,0.005720819088619785,-0.020918067898098025,-0.008962357615882644,-0.00561174438041543,0.14268089008098814,1.9128440536364533e-05
8,S01,L01,M04,1.340435,2.8003057936796097e-05,45.66001248506274,9.880111455299787e-05,False,79848.5,-1.27112,385.41528,8.72901,180.01,0.01,0.01,79849.840435,1.27112,355.21977,8.72901,360.01,0.01,0.01,0.1522828137780668,0.005721972336107292,-0.020900155938748128,-0.008963188538184667,-0.005608830601636403,0.14894525578919743,2.0891022643243495e-05
9,S01,L01,M05,1.004679,-1.002136769363355e-05,23.116377709074072,9.706537261809023e-05,False,79850.5,-1.27112,345.00918,8.72901,180.01,0.01,0.01,79851.504679,1.27112,321.59697,8.72901,360.01,0.01,0.01,0.15227859382617664,0.0057230382883416,-0.02088359975581766,-0.00896395670408858,-0.005606137297320066,0.14632857957407056,-9.974696090625512e-06
10,S01,L01,M01,1.000025,-1.2260643584044357e-05,22.49138446019853,9.696604251264642e-05,False,79852.5,-1.27112,304.60308,8.72901,180.01,0.01,0.01,79853.500025,1.27112,281.2849,8.72901,360.01,0.01,0.01,0.1522739865566144,0.005724200539864577,-0.02086554776684968,-0.008964794427274632,-0.005603200575351213,0.14617883685072344,-1.2260337075617467e-05
11,S01,L01,M02,1.005683,-8.041212787249328e-06,23.245065211882036,9.463337543204748e-05,False,79854.5,-1.27112,264.19698,8.72901,180.01,0.01,0.01,79855.505683,1.27112,240.76448,8.72901,360.01,0.01,0.01,0.15226936124919999,0.005725365769152675,-0.02084744940314264,-0.008965634458490026,-0.005600256221419245,0.14266228041750145,-7.995772810368007e-06
12,S01,L01,M03,1.210137,2.3580776073048112e-05,39.674930907993144,9.74193345317125e-05,False,79856.5,-1.27112,223.79088,8.72901,180.01,0.01,0.01,79857.710137,1.27112,196.22777,8.72901,360.01,0.01,0.01,0.1522644996627988,0.005726588802042094,-0.02082845307477782,-0.008966516335507928,-0.0055971656842984975,0.14686218638612553,1.9486038418004004e-05
13,S01,L01,M04,1.181262,1.937948261649345e-05,38.04373024230247,0.0001015725637403809,False,79858.5,-1.27112,183.38478,8.72901,180.01,0.01,0.01,79859.681262,1.27112,156.40504,8.72901,360.01,0.01,0.01,0.1522599016915972,0.005727743937534991,-0.020810511174183664,-0.00896734941222976,-0.0055942466038718655,0.15312328768680425,1.6405744548197987e-05
