# cfgfile =demo_prep/Data/Data.Data.SimulationData0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M01,1.350643,0.000051,46.429636,0.000134,False,79452.500000,-1.271124,708.664099,8.729007,180.010000,0.010000,0.010000,79453.850643,1.271124,701.304802,8.729007,360.010000,0.010000,0.010000,0.191181,-0.130773,-0.131437,0.000000,0.000000
1,S01,L01,M02,1.180140,0.000050,37.283128,0.000091,False,79454.500000,-1.271124,702.378706,8.729007,180.010000,0.010000,0.010000,79455.680140,1.271124,695.555247,8.729007,360.010000,0.010000,0.010000,0.191118,-0.130824,-0.131316,0.000000,0.000000
2,S01,L01,M03,1.629481,0.000011,55.815535,0.000163,False,79456.500000,-1.271124,696.093312,8.729007,180.010000,0.010000,0.010000,79458.129481,1.271124,687.857711,8.729007,360.010000,0.010000,0.010000,0.191044,-0.130883,-0.131176,0.000000,0.000000
3,S01,L01,M04,1.622764,0.000017,55.635641,0.000199,False,79458.500000,-1.271124,689.807918,8.729007,180.010000,0.010000,0.010000,79460.122764,1.271124,681.593426,8.729007,360.010000,0.010000,0.010000,0.190978,-0.130935,-0.131051,0.000000,0.000000
4,S01,L01,M05,1.166937,0.000053,36.370079,0.000117,False,79460.500000,-1.271124,683.522525,8.729007,180.010000,0.010000,0.010000,79461.666937,1.271124,676.740560,8.729007,360.010000,0.010000,0.010000,0.190920,-0.130982,-0.130939,0.000000,0.000000
5,S01,L01,M01,1.320514,0.000049,45.080887,0.000133,False,79462.500000,-1.271124,677.237131,8.729007,180.010000,0.010000,0.010000,79463.820514,1.271124,669.972519,8.729007,360.010000,0.010000,0.010000,0.190851,-0.131036,-0.130809,0.000000,0.000000
6,S01,L01,M02,1.158367,0.000047,35.763568,0.000091,False,79464.500000,-1.271124,670.951738,8.729007,180.010000,0.010000,0.010000,79465.658367,1.271124,664.196704,8.729007,360.010000,0.010000,0.010000,0.190788,-0.131087,-0.130688,0.000000,0.000000
7,S01,L01,M03,1.596072,0.000018,54.910513,0.000162,False,79466.500000,-1.271124,664.666344,8.729007,180.010000,0.010000,0.010000,79468.096072,1.271124,656.535738,8.729007,360.010000,0.010000,0.010000,0.190714,-0.131145,-0.130548,0.000000,0.000000
8,S01,L01,M04,1.589443,0.000022,54.723767,0.000197,False,79468.500000,-1.271124,658.380950,8.729007,180.010000,0.010000,0.010000,79470.089443,1.271124,650.271175,8.729007,360.010000,0.010000,0.010000,0.190648,-0.131198,-0.130423,0.000000,0.000000
9,S01,L01,M05,1.145873,0.000050,34.834371,0.000117,False,79470.500000,-1.271124,652.095557,8.729007,180.010000,0.010000,0.010000,79471.645873,1.271124,645.379790,8.729007,360.010000,0.010000,0.010000,0.190590,-0.131245,-0.130311,0.000000,0.000000
10,S01,L01,M01,1.291099,0.000047,43.671750,0.000132,False,79472.500000,-1.271124,645.810163,8.729007,180.010000,0.010000,0.010000,79473.791099,1.271124,638.637995,8.729007,360.010000,0.010000,0.010000,0.190521,-0.131299,-0.130181,0.000000,0.000000
11,S01,L01,M02,1.137789,0.000045,34.218866,0.000091,False,79474.500000,-1.271124,639.524770,8.729007,180.010000,0.010000,0.010000,79475.637789,1.271124,632.834408,8.729007,360.010000,0.010000,0.010000,0.190458,-0.131350,-0.130060,0.000000,0.000000
12,S01,L01,M03,1.563115,0.000023,53.970849,0.000160,False,79476.500000,-1.271124,633.239376,8.729007,180.010000,0.010000,0.010000,79478.063115,1.271124,625.212342,8.729007,360.010000,0.010000,0.010000,0.190384,-0.131408,-0.129921,0.000000,0.000000
13,S01,L01,M04,1.556581,0.000027,53.776970,0.000195,False,79478.500000,-1.271124,626.953982,8.729007,180.010000,0.010000,0.010000,79480.056581,1.271124,618.947484,8.729007,360.010000,0.010000,0.010000,0.190318,-0.131461,-0.129795,0.000000,0.000000
14,S01,L01,M05,1.126042,0.000046,33.278163,0.000116,False,79480.500000,-1.271124,620.668589,8.729007,180.010000,0.010000,0.010000,79481.626042,1.271124,614.015143,8.729007,360.010000,0.010000,0.010000,0.190259,-0.131508,-0.129683,0.000000,0.000000
15,S01,L01,M01,1.262447,0.000045,42.199612,0.000130,False,79482.500000,-1.271124,614.383195,8.729007,180.010000,0.010000,0.010000,79483.762447,1.271124,607.301071,8.729007,360.010000,0.010000,0.010000,0.190191,-0.131562,-0.129553,0.000000,0.000000
16,S01,L01,M02,1.118470,0.000042,32.657224,0.000091,False,79484.500000,-1.271124,608.097801,8.729007,180.010000,0.010000,0.010000,79485.618470,1.271124,601.468152,8.729007,360.010000,0.010000,0.010000,0.190127,-0.131613,-0.129432,0.000000,0.000000
17,S01,L01,M03,1.530641,0.000027,52.995149,0.000159,False,79486.500000,-1.271124,601.812408,8.729007,180.010000,0.010000,0.010000,79488.030641,1.271124,593.887431,8.729007,360.010000,0.010000,0.010000,0.190054,-0.131671,-0.129293,0.000000,0.000000
18,S01,L01,M04,1.524207,0.000030,52.793861,0.000193,False,79488.500000,-1.271124,595.527014,8.729007,180.010000,0.010000,0.010000,79490.024207,1.271124,587.622258,8.729007,360.010000,0.010000,0.010000,0.189988,-0.131724,-0.129167,0.000000,0.000000
19,S01,L01,M05,1.107512,0.000042,31.711053,0.000116,False,79490.500000,-1.271124,589.241621,8.729007,180.010000,0.010000,0.010000,79491.607512,1.271124,582.646410,8.729007,360.010000,0.010000,0.010000,0.189928,-0.131771,-0.129055,0.000000,0.000000
20,S01,L01,M01,1.234612,0.000042,40.661930,0.000129,False,79492.500000,-1.271124,582.956227,8.729007,180.010000,0.010000,0.010000,79493.734612,1.271124,575.961580,8.729007,360.010000,0.010000,0.010000,0.189860,-0.131825,-0.128925,0.000000,0.000000
21,S01,L01,M02,1.100479,0.000040,31.089266,0.000091,False,79494.500000,-1.271124,576.670833,8.729007,180.010000,0.010000,0.010000,79495.600479,1.271124,570.097726,8.729007,360.010000,0.010000,0.010000,0.189796,-0.131876,-0.128803,0.000000,0.000000
22,S01,L01,M03,1.498681,0.000030,51.982044,0.000157,False,79496.500000,-1.271124,570.385440,8.729007,180.010000,0.010000,0.010000,79497.998681,1.271124,562.560903,8.729007,360.010000,0.010000,0.010000,0.189723,-0.131934,-0.128665,0.000000,0.000000
23,S01,L01,M04,1.492354,0.000031,51.773074,0.000191,False,79498.500000,-1.271124,564.100046,8.729007,180.010000,0.010000,0.010000,79499.992354,1.271124,556.295394,8.729007,360.010000,0.010000,0.010000,0.189657,-0.131986,-0.128540,0.000000,0.000000
24,S01,L01,M05,1.090349,0.000039,30.145351,0.000115,False,79500.500000,-1.271124,557.814653,8.729007,180.010000,0.010000,0.010000,79501.590349,1.271124,551.273381,8.729007,360.010000,0.010000,0.010000,0.189597,-0.132034,-0.128427,0.000000,0.000000
25,S01,L01,M01,1.207651,0.000039,39.056272,0.000128,False,79502.500000,-1.271124,551.529259,8.729007,180.010000,0.010000,0.010000,79503.707651,1.271124,544.619343,8.729007,360.010000,0.010000,0.010000,0.189529,-0.132088,-0.128297,0.000000,0.000000
26,S01,L01,M02,1.083881,0.000037,29.528535,0.000091,False,79504.500000,-1.271124,545.243865,8.729007,180.010000,0.010000,0.010000,79505.583881,1.271124,538.722920,8.729007,360.010000,0.010000,0.010000,0.189465,-0.132139,-0.128175,0.000000,0.000000
27,S01,L01,M03,1.467269,0.000031,50.930202,0.000155,False,79506.500000,-1.271124,538.958472,8.729007,180.010000,0.010000,0.010000,79507.967269,1.271124,531.232653,8.729007,360.010000,0.010000,0.010000,0.189392,-0.132196,-0.128038,0.000000,0.000000
28,S01,L01,M04,1.461056,0.000032,50.713290,0.000188,False,79508.500000,-1.271124,532.673078,8.729007,180.010000,0.010000,0.010000,79509.961056,1.271124,524.966786,8.729007,360.010000,0.010000,0.010000,0.189326,-0.132249,-0.127912,0.000000,0.000000
29,S01,L01,M05,1.074618,0.000034,28.596622,0.000115,False,79510.500000,-1.271124,526.387685,8.729007,180.010000,0.010000,0.010000,79511.574618,1.271124,519.895849,8.729007,360.010000,0.010000,0.010000,0.189266,-0.132296,-0.127799,0.000000,0.000000
30,S01,L01,M01,1.181623,0.000035,37.380387,0.000126,False,79512.500000,-1.271124,520.102291,8.729007,180.010000,0.010000,0.010000,79513.681623,1.271124,513.274171,8.729007,360.010000,0.010000,0.010000,0.189198,-0.132350,-0.127670,0.000000,0.000000
31,S01,L01,M02,1.068742,0.000034,27.992061,0.000091,False,79514.500000,-1.271124,513.816897,8.729007,180.010000,0.010000,0.010000,79515.568742,1.271124,507.343530,8.729007,360.010000,0.010000,0.010000,0.189134,-0.132401,-0.127547,0.000000,0.000000
32,S01,L01,M03,1.436442,0.000032,49.838366,0.000154,False,79516.500000,-1.271124,507.531504,8.729007,180.010000,0.010000,0.010000,79517.936442,1.271124,499.902565,8.729007,360.010000,0.010000,0.010000,0.189061,-0.132459,-0.127410,0.000000,0.000000
33,S01,L01,M04,1.430350,0.000031,49.613272,0.000186,False,79518.500000,-1.271124,501.246110,8.729007,180.010000,0.010000,0.010000,79519.930350,1.271124,493.636316,8.729007,360.010000,0.010000,0.010000,0.188995,-0.132511,-0.127285,0.000000,0.000000
34,S01,L01,M05,1.060385,0.000031,27.084269,0.000115,False,79520.500000,-1.271124,494.960716,8.729007,180.010000,0.010000,0.010000,79521.560385,1.271124,488.513611,8.729007,360.010000,0.010000,0.010000,0.188935,-0.132559,-0.127171,0.000000,0.000000
35,S01,L01,M01,1.156594,0.000033,35.632268,0.000125,False,79522.500000,-1.271124,488.675323,8.729007,180.010000,0.010000,0.010000,79523.656594,1.271124,481.925864,8.729007,360.010000,0.010000,0.010000,0.188867,-0.132613,-0.127042,0.000000,0.000000
36,S01,L01,M02,1.055125,0.000032,26.500942,0.000091,False,79524.500000,-1.271124,482.389929,8.729007,180.010000,0.010000,0.010000,79525.555125,1.271124,475.959355,8.729007,360.010000,0.010000,0.010000,0.188802,-0.132664,-0.126920,0.000000,0.000000
37,S01,L01,M03,1.406239,0.000033,48.705389,0.000152,False,79526.500000,-1.271124,476.104536,8.729007,180.010000,0.010000,0.010000,79527.906239,1.271124,468.570517,8.729007,360.010000,0.010000,0.010000,0.188730,-0.132721,-0.126783,0.000000,0.000000
38,S01,L01,M04,1.400277,0.000031,48.471899,0.000184,False,79528.500000,-1.271124,469.819142,8.729007,180.010000,0.010000,0.010000,79529.900277,1.271124,462.303861,8.729007,360.010000,0.010000,0.010000,0.188663,-0.132774,-0.126657,0.000000,0.000000
39,S01,L01,M05,1.047711,0.000028,25.632100,0.000115,False,79530.500000,-1.271124,463.533748,8.729007,180.010000,0.010000,0.010000,79531.547711,1.271124,457.126476,8.729007,360.010000,0.010000,0.010000,0.188603,-0.132822,-0.126543,0.000000,0.000000
40,S01,L01,M01,1.132628,0.000030,33.810237,0.000124,False,79532.500000,-1.271124,457.248355,8.729007,180.010000,0.010000,0.010000,79533.632628,1.271124,450.574213,8.729007,360.010000,0.010000,0.010000,0.188535,-0.132875,-0.126415,0.000000,0.000000
41,S01,L01,M02,1.043090,0.000029,25.080877,0.000091,False,79534.500000,-1.271124,450.962961,8.729007,180.010000,0.010000,0.010000,79535.543090,1.271124,444.570209,8.729007,360.010000,0.010000,0.010000,0.188470,-0.132927,-0.126292,0.000000,0.000000
42,S01,L01,M03,1.376700,0.000032,47.530278,0.000151,False,79536.500000,-1.271124,444.677568,8.729007,180.010000,0.010000,0.010000,79537.876700,1.271124,437.236380,8.729007,360.010000,0.010000,0.010000,0.188398,-0.132983,-0.126156,0.000000,0.000000
43,S01,L01,M04,1.370876,0.000030,47.288215,0.000182,False,79538.500000,-1.271124,438.392174,8.729007,180.010000,0.010000,0.010000,79539.870876,1.271124,430.969290,8.729007,360.010000,0.010000,0.010000,0.188332,-0.133036,-0.126030,0.000000,0.000000
44,S01,L01,M05,1.036652,0.000024,24.268748,0.000115,False,79540.500000,-1.271124,432.106780,8.729007,180.010000,0.010000,0.010000,79541.536652,1.271124,425.734260,8.729007,360.010000,0.010000,0.010000,0.188271,-0.133084,-0.125915,0.000000,0.000000
45,S01,L01,M01,1.109795,0.000026,31.913031,0.000123,False,79542.500000,-1.271124,425.821387,8.729007,180.010000,0.010000,0.010000,79543.609795,1.271124,419.219002,8.729007,360.010000,0.010000,0.010000,0.188203,-0.133137,-0.125787,0.000000,0.000000
46,S01,L01,M02,1.032694,0.000027,23.762462,0.000092,False,79544.500000,-1.271124,419.535993,8.729007,180.010000,0.010000,0.010000,79545.532694,1.271124,413.175914,8.729007,360.010000,0.010000,0.010000,0.188138,-0.133189,-0.125664,0.000000,0.000000
