# cfgfile =demo_prep/Data/Data.Data.SimulationData0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M01,1.350643,0.000001,46.431666,0.000011,False,79452.500000,-1.271124,708.664099,8.729007,180.010000,0.010000,0.010000,79453.850643,1.271124,701.304802,8.729007,360.010000,0.010000,0.010000,0.044670,-0.189827,-0.313984,-0.200944,-0.205796
1,S01,L01,M02,1.180140,-0.000011,37.286334,-0.000041,False,79454.500000,-1.271124,702.378706,8.729007,180.010000,0.010000,0.010000,79455.680140,1.271124,695.555247,8.729007,360.010000,0.010000,0.010000,0.044618,-0.189870,-0.313909,-0.200947,-0.205740
2,S01,L01,M03,1.629481,-0.000035,55.816083,0.000031,False,79456.500000,-1.271124,696.093312,8.729007,180.010000,0.010000,0.010000,79458.129481,1.271124,687.857711,8.729007,360.010000,0.010000,0.010000,0.044550,-0.189851,-0.313709,-0.200881,-0.205602
3,S01,L01,M04,1.622764,-0.000019,55.635959,0.000084,False,79458.500000,-1.271124,689.807918,8.729007,180.010000,0.010000,0.010000,79460.122764,1.271124,681.593426,8.729007,360.010000,0.010000,0.010000,0.044488,-0.189834,-0.313528,-0.200820,-0.205478
4,S01,L01,M05,1.166937,0.000004,36.372209,-0.000002,False,79460.500000,-1.271124,683.522525,8.729007,180.010000,0.010000,0.010000,79461.666937,1.271124,676.740560,8.729007,360.010000,0.010000,0.010000,0.044439,-0.189865,-0.313445,-0.200815,-0.205418
5,S01,L01,M01,1.320514,0.000002,45.082905,0.000012,False,79462.500000,-1.271124,677.237131,8.729007,180.010000,0.010000,0.010000,79463.820514,1.271124,669.972519,8.729007,360.010000,0.010000,0.010000,0.044380,-0.189880,-0.313311,-0.200786,-0.205323
6,S01,L01,M02,1.158367,-0.000010,35.766706,-0.000039,False,79464.500000,-1.271124,670.951738,8.729007,180.010000,0.010000,0.010000,79465.658367,1.271124,664.196704,8.729007,360.010000,0.010000,0.010000,0.044329,-0.189922,-0.313236,-0.200789,-0.205267
7,S01,L01,M03,1.596072,-0.000026,54.911036,0.000032,False,79466.500000,-1.271124,664.666344,8.729007,180.010000,0.010000,0.010000,79468.096072,1.271124,656.535738,8.729007,360.010000,0.010000,0.010000,0.044262,-0.189903,-0.313036,-0.200723,-0.205129
8,S01,L01,M04,1.589443,-0.000012,54.724050,0.000084,False,79468.500000,-1.271124,658.380950,8.729007,180.010000,0.010000,0.010000,79470.089443,1.271124,650.271175,8.729007,360.010000,0.010000,0.010000,0.044202,-0.189886,-0.312855,-0.200662,-0.205006
9,S01,L01,M05,1.145873,0.000005,34.836361,-0.000001,False,79470.500000,-1.271124,652.095557,8.729007,180.010000,0.010000,0.010000,79471.645873,1.271124,645.379790,8.729007,360.010000,0.010000,0.010000,0.044154,-0.189917,-0.312772,-0.200657,-0.204945
