# cfgfile =demo_prep/Data/Data.Data.SimulationData12-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M01,1.652886,-0.000000,57.923793,-0.000017,False,79902.500000,-496.532065,-496.245871,8.729007,90.010000,0.010000,0.010000,79904.152886,-493.804941,-496.245871,8.729007,90.010000,0.010000,0.010000,0.003929,-0.000008,-0.000676,0.002732,0.113229
1,S01,L01,M02,1.020465,-0.000000,27.014184,-0.000015,False,79904.500000,-493.232233,-496.245871,8.729007,90.010000,0.010000,0.010000,79905.520465,-491.548551,-496.245871,8.729007,90.010000,0.010000,0.010000,0.003866,-0.000008,-0.000668,0.002696,0.111831
2,S01,L01,M03,1.367684,-0.000000,49.193503,-0.000020,False,79906.500000,-489.932402,-496.245871,8.729007,90.010000,0.010000,0.010000,79907.867684,-487.675838,-496.245871,8.729007,90.010000,0.010000,0.010000,0.003871,-0.000008,-0.000672,0.002709,0.112502
3,S01,L01,M04,1.371506,0.000000,49.342158,-0.000014,False,79908.500000,-486.632570,-496.245871,8.729007,90.010000,0.010000,0.010000,79909.871506,-484.369700,-496.245871,8.729007,90.010000,0.010000,0.010000,0.003855,-0.000008,-0.000672,0.002706,0.112505
4,S01,L01,M01,1.637718,0.000000,57.552006,-0.000017,False,79914.500000,-476.733075,-496.245871,8.729007,90.010000,0.010000,0.010000,79916.137718,-474.030978,-496.245871,8.729007,90.010000,0.010000,0.010000,0.003826,-0.000008,-0.000676,0.002713,0.113155
5,S01,L01,M02,1.012623,0.000000,26.092612,-0.000015,False,79916.500000,-473.433243,-496.245871,8.729007,90.010000,0.010000,0.010000,79917.512623,-471.762501,-496.245871,8.729007,90.010000,0.010000,0.010000,0.003766,-0.000008,-0.000668,0.002678,0.111786
6,S01,L01,M03,1.349474,-0.000000,48.470548,-0.000020,False,79918.500000,-470.133412,-496.245871,8.729007,90.010000,0.010000,0.010000,79919.849474,-467.906893,-496.245871,8.729007,90.010000,0.010000,0.010000,0.003770,-0.000008,-0.000671,0.002690,0.112430
7,S01,L01,M04,1.365853,-0.000000,49.122271,-0.000014,False,79920.500000,-466.833580,-496.245871,8.729007,90.010000,0.010000,0.010000,79921.865853,-464.580037,-496.245871,8.729007,90.010000,0.010000,0.010000,0.003755,-0.000008,-0.000672,0.002688,0.112461
8,S01,L01,M01,1.622823,-0.000000,57.178997,-0.000017,False,79926.500000,-456.934085,-496.245871,8.729007,90.010000,0.010000,0.010000,79928.122823,-454.256563,-496.245871,8.729007,90.010000,0.010000,0.010000,0.003726,-0.000008,-0.000675,0.002695,0.113082
9,S01,L01,M02,1.005391,-0.000000,25.202081,-0.000015,False,79928.500000,-453.634254,-496.245871,8.729007,90.010000,0.010000,0.010000,79929.505391,-451.975443,-496.245871,8.729007,90.010000,0.010000,0.010000,0.003668,-0.000008,-0.000668,0.002660,0.111743
