# cfgfile =demo_prep/Data/Data.Data.SimulationData21-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M01,1.374538,-0.000005,49.447325,0.000045,False,79902.500000,66.281574,-769.602426,8.729007,65.584588,0.010000,0.010000,79903.874538,76.875408,-761.650000,8.729007,243.986976,0.010000,0.010000,0.024619,0.000012,-0.000807,0.000000,0.000000
1,S01,L02,M01,1.374538,-0.000006,49.447335,0.000045,False,79902.500000,-769.602426,-66.281574,8.729007,155.584588,0.010000,0.010000,79903.874538,-761.650002,-76.875404,8.729007,333.986976,0.010000,0.010000,0.024619,0.000012,-0.000807,0.000000,0.000000
2,S01,L03,M01,1.374538,-0.000007,49.447351,0.000044,False,79902.500000,-66.281574,769.602426,8.729007,245.584588,0.010000,0.010000,79903.874538,-76.875408,761.650000,8.729007,63.986976,0.010000,0.010000,0.024619,0.000012,-0.000807,0.000000,0.000000
3,S01,L04,M01,1.374538,-0.000006,49.447341,0.000045,False,79902.500000,769.602426,66.281574,8.729007,335.584588,0.010000,0.010000,79903.874538,761.650002,76.875404,8.729007,153.986976,0.010000,0.010000,0.024619,0.000012,-0.000807,0.000000,0.000000
4,S01,L01,M01,1.338765,-0.000000,47.972883,0.000044,False,79912.500000,127.539749,-726.256422,8.729007,43.957601,0.010000,0.010000,79913.838765,135.082292,-714.361992,8.729007,222.639224,0.010000,0.010000,0.024612,0.000013,-0.000777,0.000000,0.000000
5,S01,L02,M01,1.338765,-0.000001,47.972892,0.000044,False,79912.500000,-726.256422,-127.539749,8.729007,133.957601,0.010000,0.010000,79913.838765,-714.361995,-135.082289,8.729007,312.639225,0.010000,0.010000,0.024612,0.000013,-0.000777,0.000000,0.000000
6,S01,L03,M01,1.338765,-0.000002,47.972910,0.000043,False,79912.500000,-127.539749,726.256422,8.729007,223.957601,0.010000,0.010000,79913.838765,-135.082291,714.361992,8.729007,42.639224,0.010000,0.010000,0.024612,0.000013,-0.000777,0.000000,0.000000
7,S01,L04,M01,1.338765,-0.000001,47.972901,0.000044,False,79912.500000,726.256422,127.539749,8.729007,313.957601,0.010000,0.010000,79913.838765,714.361995,135.082289,8.729007,132.639225,0.010000,0.010000,0.024612,0.000013,-0.000777,0.000000,0.000000
8,S01,L01,M01,1.283284,0.000006,45.452763,0.000042,False,79922.500000,175.883760,-656.633635,8.729007,25.903386,0.010000,0.010000,79923.783284,179.832887,-642.121957,8.729007,204.854429,0.010000,0.010000,0.024606,0.000013,-0.000747,0.000000,0.000000
9,S01,L02,M01,1.283284,0.000005,45.452770,0.000042,False,79922.500000,-656.633635,-175.883760,8.729007,115.903386,0.010000,0.010000,79923.783284,-642.121960,-179.832885,8.729007,294.854430,0.010000,0.010000,0.024606,0.000013,-0.000747,0.000000,0.000000
10,S01,L03,M01,1.283284,0.000004,45.452790,0.000041,False,79922.500000,-175.883760,656.633635,8.729007,205.903386,0.010000,0.010000,79923.783284,-179.832886,642.121957,8.729007,24.854429,0.010000,0.010000,0.024606,0.000013,-0.000747,0.000000,0.000000
11,S01,L04,M01,1.283284,0.000005,45.452783,0.000042,False,79922.500000,656.633635,175.883760,8.729007,295.903386,0.010000,0.010000,79923.783284,642.121960,179.832885,8.729007,114.854430,0.010000,0.010000,0.024606,0.000013,-0.000747,0.000000,0.000000
12,S01,L01,M01,1.212616,0.000008,41.727373,0.000040,False,79932.500000,206.006606,-565.136596,8.729007,10.799726,0.010000,0.010000,79933.712616,206.222458,-549.323390,8.729007,189.958162,0.010000,0.010000,0.024600,0.000013,-0.000718,0.000000,0.000000
13,S01,L02,M01,1.212616,0.000008,41.727379,0.000040,False,79932.500000,-565.136596,-206.006606,8.729007,100.799726,0.010000,0.010000,79933.712616,-549.323393,-206.222458,8.729007,279.958162,0.010000,0.010000,0.024600,0.000013,-0.000718,0.000000,0.000000
14,S01,L03,M01,1.212616,0.000007,41.727402,0.000039,False,79932.500000,-206.006606,565.136596,8.729007,190.799726,0.010000,0.010000,79933.712616,-206.222458,549.323391,8.729007,9.958162,0.010000,0.010000,0.024600,0.000013,-0.000718,0.000000,0.000000
15,S01,L04,M01,1.212616,0.000007,41.727396,0.000039,False,79932.500000,565.136596,206.006606,8.729007,280.799726,0.010000,0.010000,79933.712616,549.323393,206.222458,8.729007,99.958162,0.010000,0.010000,0.024600,0.000013,-0.000718,0.000000,0.000000
16,S01,L01,M01,1.133251,0.000008,36.578381,0.000037,False,79942.500000,213.933722,-457.434446,8.729007,357.770470,0.010000,0.010000,79943.633251,210.592461,-441.527977,8.729007,177.078292,0.010000,0.010000,0.024594,0.000014,-0.000688,0.000000,0.000000
17,S01,L02,M01,1.133251,0.000007,36.578386,0.000037,False,79942.500000,-457.434446,-213.933722,8.729007,87.770470,0.010000,0.010000,79943.633251,-441.527979,-210.592461,8.729007,267.078292,0.010000,0.010000,0.024594,0.000014,-0.000688,0.000000,0.000000
18,S01,L03,M01,1.133251,0.000007,36.578413,0.000037,False,79942.500000,-213.933722,457.434446,8.729007,177.770470,0.010000,0.010000,79943.633251,-210.592461,441.527978,8.729007,357.078292,0.010000,0.010000,0.024594,0.000014,-0.000688,0.000000,0.000000
19,S01,L04,M01,1.133251,0.000007,36.578408,0.000037,False,79942.500000,457.434446,213.933722,8.729007,267.770470,0.010000,0.010000,79943.633251,441.527979,210.592461,8.729007,87.078292,0.010000,0.010000,0.024594,0.000014,-0.000688,0.000000,0.000000
20,S01,L01,M01,1.053797,0.000004,29.765758,0.000035,False,79952.500000,197.263917,-340.092457,8.729007,346.112108,0.010000,0.010000,79953.553797,190.778682,-325.088302,8.729007,165.525278,0.010000,0.010000,0.024587,0.000014,-0.000658,0.000000,0.000000
21,S01,L02,M01,1.053797,0.000004,29.765761,0.000034,False,79952.500000,-340.092457,-197.263917,8.729007,76.112108,0.010000,0.010000,79953.553797,-325.088303,-190.778682,8.729007,255.525278,0.010000,0.010000,0.024587,0.000014,-0.000658,0.000000,0.000000
22,S01,L03,M01,1.053797,0.000003,29.765792,0.000034,False,79952.500000,-197.263917,340.092457,8.729007,166.112108,0.010000,0.010000,79953.553797,-190.778682,325.088303,8.729007,345.525278,0.010000,0.010000,0.024587,0.000014,-0.000658,0.000000,0.000000
23,S01,L04,M01,1.053797,0.000003,29.765789,0.000034,False,79952.500000,340.092457,197.263917,8.729007,256.112108,0.010000,0.010000,79953.553797,325.088303,190.778682,8.729007,75.525278,0.010000,0.010000,0.024587,0.000014,-0.000658,0.000000,0.000000
24,S01,L01,M01,0.984823,0.000001,21.135206,0.000032,False,79962.500000,155.336345,-220.149088,8.729007,335.324100,0.010000,0.010000,79963.484823,146.234675,-206.745854,8.729007,154.808436,0.010000,0.010000,0.024581,0.000015,-0.000628,0.000000,0.000000
25,S01,L02,M01,0.984823,0.000001,21.135207,0.000032,False,79962.500000,-220.149088,-155.336345,8.729007,65.324100,0.010000,0.010000,79963.484823,-206.745854,-146.234675,8.729007,244.808436,0.010000,0.010000,0.024581,0.000015,-0.000628,0.000000,0.000000
26,S01,L03,M01,0.984823,0.000000,21.135242,0.000032,False,79962.500000,-155.336345,220.149088,8.729007,155.324100,0.010000,0.010000,79963.484823,-146.234676,206.745854,8.729007,334.808436,0.010000,0.010000,0.024581,0.000015,-0.000628,0.000000,0.000000
27,S01,L04,M01,0.984823,0.000000,21.135241,0.000032,False,79962.500000,220.149088,155.336345,8.729007,245.324100,0.010000,0.010000,79963.484823,206.745854,146.234676,8.729007,64.808436,0.010000,0.010000,0.024581,0.000015,-0.000628,0.000000,0.000000
28,S01,L01,M01,0.937713,-0.000003,10.823425,0.000031,False,79972.500000,89.289723,-104.654244,8.729007,325.048364,0.010000,0.010000,79973.437713,78.067644,-93.246565,8.729007,144.574256,0.010000,0.010000,0.024575,0.000015,-0.000599,0.000000,0.000000
29,S01,L02,M01,0.937713,-0.000003,10.823423,0.000031,False,79972.500000,-104.654244,-89.289723,8.729007,55.048364,0.010000,0.010000,79973.437713,-93.246565,-78.067644,8.729007,234.574256,0.010000,0.010000,0.024575,0.000015,-0.000599,0.000000,0.000000
30,S01,L03,M01,0.937713,-0.000003,10.823462,0.000031,False,79972.500000,-89.289723,104.654244,8.729007,145.048364,0.010000,0.010000,79973.437713,-78.067644,93.246565,8.729007,324.574256,0.010000,0.010000,0.024575,0.000015,-0.000599,0.000000,0.000000
31,S01,L04,M01,0.937713,-0.000003,10.823464,0.000031,False,79972.500000,104.654244,89.289723,8.729007,235.048364,0.010000,0.010000,79973.437713,93.246565,78.067644,8.729007,54.574256,0.010000,0.010000,0.024575,0.000015,-0.000599,0.000000,0.000000
32,S01,L01,M01,0.921870,0.007598,0.531747,0.000030,True,79982.500000,2.000011,-0.202369,8.729007,315.009995,0.010000,0.010000,79983.421870,-10.976529,9.017974,8.729007,134.549060,0.010000,0.010000,0.024568,0.000015,-0.000569,0.000000,0.000000
33,S01,L02,M01,0.921870,-0.004933,0.531750,0.000030,True,79982.500000,-0.202369,-2.000011,8.729007,45.009995,0.010000,0.010000,79983.421870,9.017974,10.976529,8.729007,224.549060,0.010000,0.010000,0.024568,0.000015,-0.000569,0.000000,0.000000
34,S01,L03,M01,0.921870,0.008357,0.531731,0.000030,True,79982.500000,-2.000011,0.202369,8.729007,135.009995,0.010000,0.010000,79983.421870,10.976529,-9.017974,8.729007,314.549060,0.010000,0.010000,0.024568,0.000015,-0.000569,0.000000,0.000000
35,S01,L04,M01,0.921870,-0.003692,0.531727,0.000030,True,79982.500000,0.202369,2.000011,8.729007,225.009995,0.010000,0.010000,79983.421870,-9.017974,-10.976529,8.729007,44.549060,0.010000,0.010000,0.024568,0.000015,-0.000569,0.000000,0.000000
36,S01,L01,M01,0.940928,-0.000003,11.852226,0.000031,False,79992.500000,-102.101688,87.504950,8.729007,304.971626,0.010000,0.010000,79993.440928,-116.571380,94.375827,8.729007,124.495544,0.010000,0.010000,0.024562,0.000016,-0.000539,0.000000,0.000000
37,S01,L02,M01,0.940928,-0.000003,11.852235,0.000031,False,79992.500000,87.504950,102.101688,8.729007,34.971626,0.010000,0.010000,79993.440928,94.375827,116.571380,8.729007,214.495544,0.010000,0.010000,0.024562,0.000016,-0.000539,0.000000,0.000000
38,S01,L03,M01,0.940928,-0.000003,11.852198,0.000031,False,79992.500000,102.101688,-87.504950,8.729007,124.971626,0.010000,0.010000,79993.440928,116.571380,-94.375827,8.729007,304.495544,0.010000,0.010000,0.024562,0.000016,-0.000539,0.000000,0.000000
39,S01,L04,M01,0.940928,-0.000003,11.852188,0.000031,False,79992.500000,-87.504950,-102.101688,8.729007,214.971626,0.010000,0.010000,79993.440928,-94.375827,-116.571380,8.729007,34.495544,0.010000,0.010000,0.024562,0.000016,-0.000539,0.000000,0.000000
40,S01,L01,M01,0.990864,0.000000,22.071082,0.000032,False,80002.500000,-217.319095,154.035538,8.729007,294.695890,0.010000,0.010000,80003.490864,-232.972971,158.288665,8.729007,114.176202,0.010000,0.010000,0.024556,0.000016,-0.000508,0.000000,0.000000
41,S01,L02,M01,0.990864,0.000000,22.071094,0.000032,False,80002.500000,154.035538,217.319095,8.729007,24.695890,0.010000,0.010000,80003.490864,158.288665,232.972971,8.729007,204.176202,0.010000,0.010000,0.024556,0.000016,-0.000508,0.000000,0.000000
42,S01,L03,M01,0.990864,0.000001,22.071060,0.000032,False,80002.500000,217.319095,-154.035538,8.729007,114.695890,0.010000,0.010000,80003.490864,232.972972,-158.288665,8.729007,294.176202,0.010000,0.010000,0.024556,0.000016,-0.000508,0.000000,0.000000
43,S01,L04,M01,0.990864,0.000001,22.071049,0.000032,False,80002.500000,-154.035538,-217.319095,8.729007,204.695890,0.010000,0.010000,80003.490864,-158.288665,-232.972972,8.729007,24.176202,0.010000,0.010000,0.024556,0.000016,-0.000508,0.000000,0.000000
44,S01,L01,M01,1.061935,0.000004,30.574357,0.000035,False,80012.500000,-337.069001,196.515805,8.729007,283.907881,0.010000,0.010000,80013.561935,-353.370299,197.774970,8.729007,103.314760,0.010000,0.010000,0.024549,0.000017,-0.000478,0.000000,0.000000
45,S01,L02,M01,1.061936,0.000004,30.574370,0.000034,False,80012.500000,196.515805,337.069001,8.729007,13.907881,0.010000,0.010000,80013.561936,197.774970,353.370299,8.729007,193.314760,0.010000,0.010000,0.024549,0.000017,-0.000478,0.000000,0.000000
46,S01,L03,M01,1.061936,0.000005,30.574342,0.000035,False,80012.500000,337.069001,-196.515805,8.729007,103.907881,0.010000,0.010000,80013.561936,353.370300,-197.774971,8.729007,283.314760,0.010000,0.010000,0.024549,0.000017,-0.000478,0.000000,0.000000
47,S01,L04,M01,1.061936,0.000005,30.574329,0.000035,False,80012.500000,-196.515805,-337.069001,8.729007,193.907881,0.010000,0.010000,80013.561936,-197.774971,-353.370301,8.729007,13.314760,0.010000,0.010000,0.024549,0.000017,-0.000478,0.000000,0.000000
48,S01,L01,M01,1.142504,0.000007,37.246526,0.000037,False,80022.500000,-454.322190,213.812011,8.729007,272.249518,0.010000,0.010000,80023.642504,-470.408645,211.720008,8.729007,91.548301,0.010000,0.010000,0.024543,0.000017,-0.000448,0.000000,0.000000
49,S01,L02,M01,1.142504,0.000007,37.246539,0.000037,False,80022.500000,213.812011,454.322190,8.729007,2.249518,0.010000,0.010000,80023.642504,211.720008,470.408646,8.729007,181.548300,0.010000,0.010000,0.024543,0.000017,-0.000448,0.000000,0.000000
50,S01,L03,M01,1.142504,0.000008,37.246516,0.000037,False,80022.500000,454.322190,-213.812011,8.729007,92.249518,0.010000,0.010000,80023.642504,470.408646,-211.720008,8.729007,271.548300,0.010000,0.010000,0.024543,0.000017,-0.000448,0.000000,0.000000
51,S01,L04,M01,1.142504,0.000008,37.246503,0.000037,False,80022.500000,-213.812011,-454.322190,8.729007,182.249518,0.010000,0.010000,80023.642504,-211.720008,-470.408649,8.729007,1.548300,0.010000,0.010000,0.024543,0.000017,-0.000448,0.000000,0.000000
52,S01,L01,M01,1.221867,0.000007,42.254102,0.000040,False,80032.500000,-562.077025,206.589682,8.729007,259.220260,0.010000,0.010000,80033.721867,-576.782190,200.987575,8.729007,78.366057,0.010000,0.010000,0.024536,0.000017,-0.000418,0.000000,0.000000
53,S01,L02,M01,1.221867,0.000007,42.254116,0.000040,False,80032.500000,206.589682,562.077025,8.729007,349.220260,0.010000,0.010000,80033.721867,200.987574,576.782192,8.729007,168.366057,0.010000,0.010000,0.024536,0.000017,-0.000418,0.000000,0.000000
54,S01,L03,M01,1.221867,0.000007,42.254096,0.000040,False,80032.500000,562.077025,-206.589682,8.729007,79.220260,0.010000,0.010000,80033.721867,576.782192,-200.987574,8.729007,258.366057,0.010000,0.010000,0.024536,0.000017,-0.000418,0.000000,0.000000
55,S01,L04,M01,1.221867,0.000008,42.254083,0.000040,False,80032.500000,-206.589682,-562.077025,8.729007,169.220260,0.010000,0.010000,80033.721867,-200.987574,-576.782195,8.729007,348.366056,0.010000,0.010000,0.024536,0.000017,-0.000418,0.000000,0.000000
56,S01,L01,M01,1.291417,0.000004,45.841986,0.000042,False,80042.500000,-653.831684,177.243916,8.729007,244.116597,0.010000,0.010000,80043.791417,-665.801801,168.336035,8.729007,63.050478,0.010000,0.010000,0.024529,0.000018,-0.000388,0.000000,0.000000
57,S01,L02,M01,1.291417,0.000003,45.841999,0.000042,False,80042.500000,177.243916,653.831684,8.729007,334.116597,0.010000,0.010000,80043.791417,168.336035,665.801803,8.729007,153.050478,0.010000,0.010000,0.024529,0.000018,-0.000388,0.000000,0.000000
58,S01,L03,M01,1.291417,0.000004,45.841983,0.000042,False,80042.500000,653.831684,-177.243916,8.729007,64.116597,0.010000,0.010000,80043.791417,665.801802,-168.336035,8.729007,243.050478,0.010000,0.010000,0.024529,0.000018,-0.000388,0.000000,0.000000
59,S01,L04,M01,1.291418,0.000005,45.841969,0.000042,False,80042.500000,-177.243916,-653.831684,8.729007,154.116597,0.010000,0.010000,80043.791418,-168.336033,-665.801806,8.729007,333.050478,0.010000,0.010000,0.024529,0.000018,-0.000388,0.000000,0.000000
60,S01,L01,M01,1.344800,-0.000002,48.229292,0.000044,False,80052.500000,-724.013963,129.701307,8.729007,226.062379,0.010000,0.010000,80053.844800,-731.893265,118.181567,8.729007,44.723294,0.010000,0.010000,0.024523,0.000018,-0.000357,0.000000,0.000000
61,S01,L02,M01,1.344801,-0.000002,48.229305,0.000044,False,80052.500000,129.701307,724.013963,8.729007,316.062379,0.010000,0.010000,80053.844801,118.181566,731.893266,8.729007,134.723294,0.010000,0.010000,0.024523,0.000018,-0.000357,0.000000,0.000000
62,S01,L03,M01,1.344800,-0.000002,48.229291,0.000044,False,80052.500000,724.013963,-129.701307,8.729007,46.062379,0.010000,0.010000,80053.844800,731.893265,-118.181567,8.729007,224.723294,0.010000,0.010000,0.024523,0.000018,-0.000357,0.000000,0.000000
63,S01,L04,M01,1.344801,-0.000001,48.229278,0.000044,False,80052.500000,-129.701307,-724.013963,8.729007,136.062379,0.010000,0.010000,80053.844801,-118.181562,-731.893269,8.729007,314.723293,0.010000,0.010000,0.024523,0.000018,-0.000357,0.000000,0.000000
64,S01,L01,M01,1.377748,-0.000008,49.574571,0.000045,False,80062.500000,-768.314499,69.117451,8.729007,204.435388,0.010000,0.010000,80063.877748,-771.021451,56.238451,8.729007,22.821069,0.010000,0.010000,0.024516,0.000019,-0.000327,0.000000,0.000000
65,S01,L02,M01,1.377749,-0.000008,49.574585,0.000045,False,80062.500000,69.117451,768.314499,8.729007,294.435388,0.010000,0.010000,80063.877749,56.238449,771.021451,8.729007,112.821068,0.010000,0.010000,0.024516,0.000019,-0.000327,0.000000,0.000000
66,S01,L03,M01,1.377749,-0.000007,49.574572,0.000045,False,80062.500000,768.314499,-69.117451,8.729007,24.435388,0.010000,0.010000,80063.877749,771.021451,-56.238451,8.729007,202.821069,0.010000,0.010000,0.024516,0.000019,-0.000327,0.000000,0.000000
67,S01,L04,M01,1.377749,-0.000006,49.574558,0.000045,False,80062.500000,-69.117451,-768.314499,8.729007,114.435388,0.010000,0.010000,80063.877749,-56.238445,-771.021453,8.729007,292.821067,0.010000,0.010000,0.024516,0.000019,-0.000327,0.000000,0.000000
68,S01,L01,M01,1.387876,-0.000009,49.970666,0.000045,False,80072.500000,-783.894917,1.557318,8.729007,180.009988,0.010000,0.010000,80073.887876,-781.019132,-10.993863,8.729007,358.275295,0.010000,0.010000,0.024509,0.000019,-0.000297,0.000000,0.000000
69,S01,L02,M01,1.387876,-0.000010,49.970681,0.000045,False,80072.500000,1.557318,783.894917,8.729007,270.009988,0.010000,0.010000,80073.887876,-10.993865,781.019131,8.729007,88.275295,0.010000,0.010000,0.024509,0.000019,-0.000297,0.000000,0.000000
70,S01,L03,M01,1.387876,-0.000010,49.970670,0.000045,False,80072.500000,783.894917,-1.557318,8.729007,360.009988,0.010000,0.010000,80073.887876,781.019132,10.993863,8.729007,178.275295,0.010000,0.010000,0.024509,0.000019,-0.000297,0.000000,0.000000
71,S01,L04,M01,1.387877,-0.000008,49.970655,0.000045,False,80072.500000,-1.557318,-783.894917,8.729007,90.009988,0.010000,0.010000,80073.887877,10.993870,-781.019131,8.729007,268.275294,0.010000,0.010000,0.024509,0.000019,-0.000297,0.000000,0.000000
72,S01,L01,M01,1.374538,-0.000006,49.447335,0.000045,False,80082.500000,-769.602426,-66.281574,8.729007,155.584588,0.010000,0.010000,80083.874538,-761.650001,-76.875405,8.729007,333.986976,0.010000,0.010000,0.024503,0.000019,-0.000266,0.000000,0.000000
73,S01,L02,M01,1.374538,-0.000007,49.447351,0.000045,False,80082.500000,-66.281574,769.602426,8.729007,245.584588,0.010000,0.010000,80083.874538,-76.875406,761.650001,8.729007,63.986976,0.010000,0.010000,0.024503,0.000019,-0.000266,0.000000,0.000000
74,S01,L03,M01,1.374538,-0.000007,49.447341,0.000045,False,80082.500000,769.602426,66.281574,8.729007,335.584588,0.010000,0.010000,80083.874538,761.650002,76.875404,8.729007,153.986976,0.010000,0.010000,0.024503,0.000019,-0.000266,0.000000,0.000000
75,S01,L04,M01,1.374539,-0.000005,49.447325,0.000045,False,80082.500000,66.281574,-769.602426,8.729007,65.584588,0.010000,0.010000,80083.874539,76.875411,-761.649998,8.729007,243.986975,0.010000,0.010000,0.024503,0.000019,-0.000266,0.000000,0.000000
76,S01,L01,M01,1.338765,-0.000001,47.972892,0.000044,False,80092.500000,-726.256422,-127.539749,8.729007,133.957601,0.010000,0.010000,80093.838765,-714.361995,-135.082289,8.729007,312.639225,0.010000,0.010000,0.024496,0.000020,-0.000236,0.000000,0.000000
77,S01,L02,M01,1.338765,-0.000001,47.972910,0.000043,False,80092.500000,-127.539749,726.256422,8.729007,223.957601,0.010000,0.010000,80093.838765,-135.082290,714.361994,8.729007,42.639224,0.010000,0.010000,0.024496,0.000020,-0.000236,0.000000,0.000000
78,S01,L03,M01,1.338765,-0.000001,47.972901,0.000043,False,80092.500000,726.256422,127.539749,8.729007,313.957601,0.010000,0.010000,80093.838765,714.361995,135.082289,8.729007,132.639225,0.010000,0.010000,0.024496,0.000020,-0.000236,0.000000,0.000000
79,S01,L04,M01,1.338766,0.000000,47.972883,0.000044,False,80092.500000,127.539749,-726.256422,8.729007,43.957601,0.010000,0.010000,80093.838766,135.082294,-714.361990,8.729007,222.639224,0.010000,0.010000,0.024496,0.000020,-0.000236,0.000000,0.000000
80,S01,L01,M01,1.283284,0.000005,45.452770,0.000042,False,80102.500000,-656.633635,-175.883760,8.729007,115.903386,0.010000,0.010000,80103.783284,-642.121959,-179.832885,8.729007,294.854430,0.010000,0.010000,0.024489,0.000020,-0.000206,0.000000,0.000000
81,S01,L02,M01,1.283284,0.000004,45.452790,0.000042,False,80102.500000,-175.883760,656.633635,8.729007,205.903386,0.010000,0.010000,80103.783284,-179.832886,642.121959,8.729007,24.854430,0.010000,0.010000,0.024489,0.000020,-0.000206,0.000000,0.000000
82,S01,L03,M01,1.283284,0.000004,45.452783,0.000042,False,80102.500000,656.633635,175.883760,8.729007,295.903386,0.010000,0.010000,80103.783284,642.121961,179.832885,8.729007,114.854430,0.010000,0.010000,0.024489,0.000020,-0.000206,0.000000,0.000000
83,S01,L04,M01,1.283284,0.000005,45.452763,0.000042,False,80102.500000,175.883760,-656.633635,8.729007,25.903386,0.010000,0.010000,80103.783284,179.832888,-642.121954,8.729007,204.854429,0.010000,0.010000,0.024489,0.000020,-0.000206,0.000000,0.000000
84,S01,L01,M01,1.212616,0.000007,41.727379,0.000039,False,80112.500000,-565.136596,-206.006606,8.729007,100.799726,0.010000,0.010000,80113.712616,-549.323392,-206.222458,8.729007,279.958162,0.010000,0.010000,0.024482,0.000021,-0.000175,0.000000,0.000000
85,S01,L02,M01,1.212616,0.000007,41.727402,0.000039,False,80112.500000,-206.006606,565.136596,8.729007,190.799726,0.010000,0.010000,80113.712616,-206.222458,549.323393,8.729007,9.958162,0.010000,0.010000,0.024482,0.000021,-0.000175,0.000000,0.000000
86,S01,L03,M01,1.212616,0.000007,41.727396,0.000039,False,80112.500000,565.136596,206.006606,8.729007,280.799726,0.010000,0.010000,80113.712616,549.323394,206.222458,8.729007,99.958162,0.010000,0.010000,0.024482,0.000021,-0.000175,0.000000,0.000000
87,S01,L04,M01,1.212617,0.000009,41.727373,0.000039,False,80112.500000,206.006606,-565.136596,8.729007,10.799726,0.010000,0.010000,80113.712617,206.222459,-549.323387,8.729007,189.958162,0.010000,0.010000,0.024482,0.000021,-0.000175,0.000000,0.000000
88,S01,L01,M01,1.133251,0.000007,36.578386,0.000037,False,80122.500000,-457.434446,-213.933722,8.729007,87.770470,0.010000,0.010000,80123.633251,-441.527977,-210.592461,8.729007,267.078292,0.010000,0.010000,0.024475,0.000021,-0.000145,0.000000,0.000000
89,S01,L02,M01,1.133251,0.000007,36.578413,0.000037,False,80122.500000,-213.933722,457.434446,8.729007,177.770470,0.010000,0.010000,80123.633251,-210.592461,441.527979,8.729007,357.078292,0.010000,0.010000,0.024475,0.000021,-0.000145,0.000000,0.000000
90,S01,L03,M01,1.133251,0.000007,36.578408,0.000037,False,80122.500000,457.434446,213.933722,8.729007,267.770470,0.010000,0.010000,80123.633251,441.527980,210.592461,8.729007,87.078292,0.010000,0.010000,0.024475,0.000021,-0.000145,0.000000,0.000000
91,S01,L04,M01,1.133251,0.000007,36.578381,0.000037,False,80122.500000,213.933722,-457.434446,8.729007,357.770470,0.010000,0.010000,80123.633251,210.592461,-441.527975,8.729007,177.078291,0.010000,0.010000,0.024475,0.000021,-0.000145,0.000000,0.000000
