# cfgfile =demo_prep/Data/Data.Data.SimulationData23-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M01,1.302043,0.000032,46.329907,0.000060,False,79832.500000,-1.271124,708.664099,8.729007,180.010000,0.010000,0.010000,79833.802043,1.271124,679.244225,8.729007,360.010000,0.010000,0.010000,0.072549,0.002129,-0.007351,0.000000,0.000000
1,S01,L01,M02,1.108826,0.000028,34.720864,0.000051,False,79834.500000,-1.271124,668.257997,8.729007,180.010000,0.010000,0.010000,79835.608826,1.271124,642.741683,8.729007,360.010000,0.010000,0.010000,0.072509,0.002129,-0.007331,0.000000,0.000000
2,S01,L01,M03,1.569408,-0.000042,55.948412,0.000075,True,79836.500000,-1.271124,627.851896,8.729007,180.010000,0.010000,0.010000,79838.069408,1.271124,593.030438,8.729007,360.010000,0.010000,0.010000,0.072463,0.002130,-0.007307,0.000000,0.000000
3,S01,L01,M04,1.529070,-0.000021,54.769822,0.000072,False,79838.500000,-1.271124,587.445794,8.729007,180.010000,0.010000,0.010000,79840.029070,1.271124,553.439277,8.729007,360.010000,0.010000,0.010000,0.072422,0.002131,-0.007286,0.000000,0.000000
4,S01,L01,M05,1.050886,0.000024,29.494584,0.000048,False,79840.500000,-1.271124,547.039692,8.729007,180.010000,0.010000,0.010000,79841.550886,1.271124,522.693945,8.729007,360.010000,0.010000,0.010000,0.072386,0.002131,-0.007267,0.000000,0.000000
5,S01,L01,M01,1.130250,0.000031,36.363487,0.000053,False,79842.500000,-1.271124,506.633590,8.729007,180.010000,0.010000,0.010000,79843.630250,1.271124,480.684457,8.729007,360.010000,0.010000,0.010000,0.072344,0.002132,-0.007246,0.000000,0.000000
6,S01,L01,M02,1.024343,0.000020,26.572437,0.000047,False,79844.500000,-1.271124,466.227489,8.729007,180.010000,0.010000,0.010000,79845.524343,1.271124,442.417989,8.729007,360.010000,0.010000,0.010000,0.072303,0.002132,-0.007225,0.000000,0.000000
7,S01,L01,M03,1.376173,0.000023,49.498176,0.000066,False,79846.500000,-1.271124,425.821387,8.729007,180.010000,0.010000,0.010000,79847.876173,1.271124,394.903848,8.729007,360.010000,0.010000,0.010000,0.072258,0.002133,-0.007202,0.000000,0.000000
8,S01,L01,M04,1.340435,0.000029,48.032806,0.000064,False,79848.500000,-1.271124,385.415285,8.729007,180.010000,0.010000,0.010000,79849.840435,1.271124,355.219767,8.729007,360.010000,0.010000,0.010000,0.072217,0.002133,-0.007180,0.000000,0.000000
9,S01,L01,M05,1.004679,0.000019,24.088869,0.000046,False,79850.500000,-1.271124,345.009183,8.729007,180.010000,0.010000,0.010000,79851.504679,1.271124,321.596972,8.729007,360.010000,0.010000,0.010000,0.072179,0.002134,-0.007161,0.000000,0.000000
10,S01,L01,M01,1.000025,0.000021,23.434906,0.000047,False,79852.500000,-1.271124,304.603081,8.729007,180.010000,0.010000,0.010000,79853.500025,1.271124,281.284896,8.729007,360.010000,0.010000,0.010000,0.072138,0.002134,-0.007140,0.000000,0.000000
11,S01,L01,M02,1.005683,0.000016,24.224165,0.000047,False,79854.500000,-1.271124,264.196980,8.729007,180.010000,0.010000,0.010000,79855.505683,1.271124,240.764483,8.729007,360.010000,0.010000,0.010000,0.072097,0.002135,-0.007118,0.000000,0.000000
12,S01,L01,M03,1.210137,0.000033,41.584379,0.000058,False,79856.500000,-1.271124,223.790878,8.729007,180.010000,0.010000,0.010000,79857.710137,1.271124,196.227773,8.729007,360.010000,0.010000,0.010000,0.072053,0.002135,-0.007096,0.000000,0.000000
13,S01,L01,M04,1.181262,0.000034,39.842041,0.000057,False,79858.500000,-1.271124,183.384776,8.729007,180.010000,0.010000,0.010000,79859.681262,1.271124,156.405044,8.729007,360.010000,0.010000,0.010000,0.072012,0.002136,-0.007075,0.000000,0.000000
