# cfgfile =demo_prep/Data/Data.Data.SimulationData23-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M01,1.302043,0.000105,46.328896,0.000172,False,79832.500000,-1.271124,708.664099,8.729007,180.010000,0.010000,0.010000,79833.802043,1.271124,679.244225,8.729007,360.010000,0.010000,0.010000,0.194234,-0.001505,0.014451,0.000000,0.000000
1,S01,L01,M02,1.108826,0.000081,34.720020,0.000148,False,79834.500000,-1.271124,668.257997,8.729007,180.010000,0.010000,0.010000,79835.608826,1.271124,642.741683,8.729007,360.010000,0.010000,0.010000,0.194137,-0.001513,0.014476,0.000000,0.000000
2,S01,L01,M03,1.569408,0.000064,55.947468,0.000204,False,79836.500000,-1.271124,627.851896,8.729007,180.010000,0.010000,0.010000,79838.069408,1.271124,593.030438,8.729007,360.010000,0.010000,0.010000,0.194023,-0.001523,0.014505,0.000000,0.000000
3,S01,L01,M04,1.529070,0.000079,54.768713,0.000199,False,79838.500000,-1.271124,587.445794,8.729007,180.010000,0.010000,0.010000,79840.029070,1.271124,553.439277,8.729007,360.010000,0.010000,0.010000,0.193921,-0.001532,0.014530,0.000000,0.000000
4,S01,L01,M05,1.050886,0.000069,29.493463,0.000139,False,79840.500000,-1.271124,547.039692,8.729007,180.010000,0.010000,0.010000,79841.550886,1.271124,522.693945,8.729007,360.010000,0.010000,0.010000,0.193831,-0.001540,0.014553,0.000000,0.000000
5,S01,L01,M01,1.130250,0.000085,36.362659,0.000148,False,79842.500000,-1.271124,506.633590,8.729007,180.010000,0.010000,0.010000,79843.630250,1.271124,480.684457,8.729007,360.010000,0.010000,0.010000,0.193727,-0.001549,0.014579,0.000000,0.000000
6,S01,L01,M02,1.024343,0.000062,26.571838,0.000135,False,79844.500000,-1.271124,466.227489,8.729007,180.010000,0.010000,0.010000,79845.524343,1.271124,442.417989,8.729007,360.010000,0.010000,0.010000,0.193627,-0.001557,0.014604,0.000000,0.000000
7,S01,L01,M03,1.376173,0.000109,49.497200,0.000177,False,79846.500000,-1.271124,425.821387,8.729007,180.010000,0.010000,0.010000,79847.876173,1.271124,394.903848,8.729007,360.010000,0.010000,0.010000,0.193516,-0.001567,0.014633,0.000000,0.000000
8,S01,L01,M04,1.340435,0.000109,48.031653,0.000173,False,79848.500000,-1.271124,385.415285,8.729007,180.010000,0.010000,0.010000,79849.840435,1.271124,355.219767,8.729007,360.010000,0.010000,0.010000,0.193414,-0.001576,0.014658,0.000000,0.000000
9,S01,L01,M05,1.004679,0.000057,24.087856,0.000132,False,79850.500000,-1.271124,345.009183,8.729007,180.010000,0.010000,0.010000,79851.504679,1.271124,321.596972,8.729007,360.010000,0.010000,0.010000,0.193320,-0.001584,0.014682,0.000000,0.000000
10,S01,L01,M01,1.000025,0.000060,23.434501,0.000130,False,79852.500000,-1.271124,304.603081,8.729007,180.010000,0.010000,0.010000,79853.500025,1.271124,281.284896,8.729007,360.010000,0.010000,0.010000,0.193218,-0.001592,0.014708,0.000000,0.000000
11,S01,L01,M02,1.005683,0.000056,24.223450,0.000131,False,79854.500000,-1.271124,264.196980,8.729007,180.010000,0.010000,0.010000,79855.505683,1.271124,240.764483,8.729007,360.010000,0.010000,0.010000,0.193115,-0.001601,0.014734,0.000000,0.000000
12,S01,L01,M03,1.210137,0.000101,41.583423,0.000154,False,79856.500000,-1.271124,223.790878,8.729007,180.010000,0.010000,0.010000,79857.710137,1.271124,196.227773,8.729007,360.010000,0.010000,0.010000,0.193008,-0.001610,0.014761,0.000000,0.000000
13,S01,L01,M04,1.181262,0.000096,39.840886,0.000151,False,79858.500000,-1.271124,183.384776,8.729007,180.010000,0.010000,0.010000,79859.681262,1.271124,156.405044,8.729007,360.010000,0.010000,0.010000,0.192906,-0.001619,0.014786,0.000000,0.000000
14,S01,L01,M05,1.028396,0.000057,27.046440,0.000134,False,79860.500000,-1.271124,142.978674,8.729007,180.010000,0.010000,0.010000,79861.528396,1.271124,119.087303,8.729007,360.010000,0.010000,0.010000,0.192807,-0.001628,0.014811,0.000000,0.000000
15,S01,L01,M01,0.929513,0.000043,7.691092,0.000119,False,79862.500000,-1.271124,102.572573,8.729007,180.010000,0.010000,0.010000,79863.429513,1.271124,80.678932,8.729007,360.010000,0.010000,0.010000,0.192708,-0.001636,0.014836,0.000000,0.000000
16,S01,L01,M02,1.057031,0.000063,30.114886,0.000137,False,79864.500000,-1.271124,62.166471,8.729007,180.010000,0.010000,0.010000,79865.557031,1.271124,37.696591,8.729007,360.010000,0.010000,0.010000,0.192602,-0.001645,0.014863,0.000000,0.000000
17,S01,L01,M03,1.084194,0.000081,32.654907,0.000137,False,79866.500000,-1.271124,21.760369,8.729007,180.010000,0.010000,0.010000,79867.584194,1.271124,-3.258295,8.729007,360.010000,0.010000,0.010000,0.192499,-0.001654,0.014889,0.000000,0.000000
18,S01,L01,M04,1.065183,0.000076,30.909586,0.000134,False,79868.500000,-1.271124,-18.645733,8.729007,180.010000,0.010000,0.010000,79869.565183,1.271124,-43.280321,8.729007,360.010000,0.010000,0.010000,0.192397,-0.001663,0.014915,0.000000,0.000000
19,S01,L01,M05,1.118240,0.000070,35.459333,0.000144,False,79870.500000,-1.271124,-59.051835,8.729007,180.010000,0.010000,0.010000,79871.618240,1.271124,-84.758330,8.729007,360.010000,0.010000,0.010000,0.192293,-0.001672,0.014941,0.000000,0.000000
20,S01,L01,M01,0.933100,0.000041,9.247657,0.000118,False,79872.500000,-1.271124,-99.457936,8.729007,180.010000,0.010000,0.010000,79873.433100,1.271124,-121.424049,8.729007,360.010000,0.010000,0.010000,0.192195,-0.001680,0.014966,0.000000,0.000000
21,S01,L01,M02,1.169772,0.000079,39.106606,0.000150,False,79874.500000,-1.271124,-139.864038,8.729007,180.010000,0.010000,0.010000,79875.669772,1.271124,-166.611636,8.729007,360.010000,0.010000,0.010000,0.192087,-0.001689,0.014993,0.000000,0.000000
22,S01,L01,M03,1.013854,0.000065,25.287044,0.000126,False,79876.500000,-1.271124,-180.270140,8.729007,180.010000,0.010000,0.010000,79877.513854,1.271124,-203.867720,8.729007,360.010000,0.010000,0.010000,0.191988,-0.001698,0.015018,0.000000,0.000000
23,S01,L01,M04,1.007699,0.000063,24.490736,0.000126,False,79878.500000,-1.271124,-220.676242,8.729007,180.010000,0.010000,0.010000,79879.507699,1.271124,-244.149467,8.729007,360.010000,0.010000,0.010000,0.191886,-0.001707,0.015044,0.000000,0.000000
24,S01,L01,M05,1.260576,0.000085,44.320538,0.000161,False,79880.500000,-1.271124,-261.082344,8.729007,180.010000,0.010000,0.010000,79881.760576,1.271124,-289.664453,8.729007,360.010000,0.010000,0.010000,0.191777,-0.001716,0.015071,0.000000,0.000000
25,S01,L01,M01,1.010785,0.000054,24.882013,0.000127,False,79882.500000,-1.271124,-301.488445,8.729007,180.010000,0.010000,0.010000,79883.510785,1.271124,-325.024028,8.729007,360.010000,0.010000,0.010000,0.191681,-0.001724,0.015095,0.000000,0.000000
26,S01,L01,M02,1.328696,0.000089,47.526667,0.000168,False,79884.500000,-1.271124,-341.894547,8.729007,180.010000,0.010000,0.010000,79885.828696,1.271124,-371.852896,8.729007,360.010000,0.010000,0.010000,0.191571,-0.001734,0.015123,0.000000,0.000000
27,S01,L01,M03,1.011426,0.000062,24.977340,0.000125,False,79886.500000,-1.271124,-382.300649,8.729007,180.010000,0.010000,0.010000,79887.511426,1.271124,-405.849168,8.729007,360.010000,0.010000,0.010000,0.191476,-0.001742,0.015147,0.000000,0.000000
28,S01,L01,M04,1.019435,0.000061,25.980930,0.000126,False,79888.500000,-1.271124,-422.706751,8.729007,180.010000,0.010000,0.010000,79889.519435,1.271124,-446.417087,8.729007,360.010000,0.010000,0.010000,0.191374,-0.001751,0.015173,0.000000,0.000000
29,S01,L01,M05,1.440112,0.000076,51.877392,0.000182,False,79890.500000,-1.271124,-463.112852,8.729007,180.010000,0.010000,0.010000,79891.940112,1.271124,-495.322148,8.729007,360.010000,0.010000,0.010000,0.191260,-0.001760,0.015201,0.000000,0.000000
30,S01,L01,M01,1.148181,0.000076,37.650026,0.000143,False,79892.500000,-1.271124,-503.518954,8.729007,180.010000,0.010000,0.010000,79893.648181,1.271124,-529.830345,8.729007,360.010000,0.010000,0.010000,0.191165,-0.001768,0.015225,0.000000,0.000000
31,S01,L01,M02,1.519492,0.000058,54.477876,0.000190,False,79894.500000,-1.271124,-543.925056,8.729007,180.010000,0.010000,0.010000,79896.019492,1.271124,-577.738063,8.729007,360.010000,0.010000,0.010000,0.191053,-0.001778,0.015254,0.000000,0.000000
32,S01,L01,M03,1.078052,0.000069,32.107502,0.000131,False,79896.500000,-1.271124,-584.331158,8.729007,180.010000,0.010000,0.010000,79897.578052,1.271124,-609.225740,8.729007,360.010000,0.010000,0.010000,0.190962,-0.001786,0.015277,0.000000,0.000000
33,S01,L01,M04,1.098842,0.000072,33.907216,0.000134,False,79898.500000,-1.271124,-624.737260,8.729007,180.010000,0.010000,0.010000,79899.598842,1.271124,-650.051859,8.729007,360.010000,0.010000,0.010000,0.190859,-0.001795,0.015303,0.000000,0.000000
