# cfgfile =demo_prep/Data/Data.Data.SimulationData23-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M01,1.302043,-0.000001,46.330425,0.000031,False,79832.500000,-1.271124,708.664099,8.729007,180.010000,0.010000,0.010000,79833.802043,1.271124,679.244225,8.729007,360.010000,0.010000,0.010000,0.040958,-0.002587,-0.017826,0.000085,-0.016172
1,S01,L01,M02,1.108826,0.000003,34.721463,0.000024,False,79834.500000,-1.271124,668.257997,8.729007,180.010000,0.010000,0.010000,79835.608826,1.271124,642.741683,8.729007,360.010000,0.010000,0.010000,0.040952,-0.002589,-0.017818,0.000086,-0.016153
2,S01,L01,M03,1.569408,-0.000084,55.948773,0.000040,True,79836.500000,-1.271124,627.851896,8.729007,180.010000,0.010000,0.010000,79838.069408,1.271124,593.030438,8.729007,360.010000,0.010000,0.010000,0.040944,-0.002590,-0.017809,0.000086,-0.016130
3,S01,L01,M04,1.529070,-0.000061,54.770213,0.000040,True,79838.500000,-1.271124,587.445794,8.729007,180.010000,0.010000,0.010000,79840.029070,1.271124,553.439277,8.729007,360.010000,0.010000,0.010000,0.040937,-0.002591,-0.017801,0.000087,-0.016110
4,S01,L01,M05,1.050886,0.000003,29.495172,0.000024,False,79840.500000,-1.271124,547.039692,8.729007,180.010000,0.010000,0.010000,79841.550886,1.271124,522.693945,8.729007,360.010000,0.010000,0.010000,0.040931,-0.002592,-0.017795,0.000088,-0.016093
5,S01,L01,M01,1.130250,0.000004,36.364108,0.000028,False,79842.500000,-1.271124,506.633590,8.729007,180.010000,0.010000,0.010000,79843.630250,1.271124,480.684457,8.729007,360.010000,0.010000,0.010000,0.040924,-0.002593,-0.017786,0.000089,-0.016072
6,S01,L01,M02,1.024343,0.000001,26.572883,0.000024,False,79844.500000,-1.271124,466.227489,8.729007,180.010000,0.010000,0.010000,79845.524343,1.271124,442.417989,8.729007,360.010000,0.010000,0.010000,0.040917,-0.002594,-0.017779,0.000089,-0.016052
7,S01,L01,M03,1.376173,-0.000012,49.498603,0.000037,False,79846.500000,-1.271124,425.821387,8.729007,180.010000,0.010000,0.010000,79847.876173,1.271124,394.903848,8.729007,360.010000,0.010000,0.010000,0.040909,-0.002595,-0.017770,0.000090,-0.016030
8,S01,L01,M04,1.340435,-0.000006,48.033282,0.000037,False,79848.500000,-1.271124,385.415285,8.729007,180.010000,0.010000,0.010000,79849.840435,1.271124,355.219767,8.729007,360.010000,0.010000,0.010000,0.040902,-0.002596,-0.017762,0.000091,-0.016010
9,S01,L01,M05,1.004679,0.000002,24.089189,0.000024,False,79850.500000,-1.271124,345.009183,8.729007,180.010000,0.010000,0.010000,79851.504679,1.271124,321.596972,8.729007,360.010000,0.010000,0.010000,0.040896,-0.002597,-0.017755,0.000091,-0.015992
10,S01,L01,M01,1.000025,0.000000,23.435617,0.000026,False,79852.500000,-1.271124,304.603081,8.729007,180.010000,0.010000,0.010000,79853.500025,1.271124,281.284896,8.729007,360.010000,0.010000,0.010000,0.040889,-0.002598,-0.017747,0.000092,-0.015971
11,S01,L01,M02,1.005683,0.000001,24.224238,0.000024,False,79854.500000,-1.271124,264.196980,8.729007,180.010000,0.010000,0.010000,79855.505683,1.271124,240.764483,8.729007,360.010000,0.010000,0.010000,0.040882,-0.002599,-0.017740,0.000093,-0.015951
12,S01,L01,M03,1.210137,0.000004,41.584867,0.000033,False,79856.500000,-1.271124,223.790878,8.729007,180.010000,0.010000,0.010000,79857.710137,1.271124,196.227773,8.729007,360.010000,0.010000,0.010000,0.040875,-0.002601,-0.017731,0.000094,-0.015930
13,S01,L01,M04,1.181262,0.000005,39.842600,0.000034,False,79858.500000,-1.271124,183.384776,8.729007,180.010000,0.010000,0.010000,79859.681262,1.271124,156.405044,8.729007,360.010000,0.010000,0.010000,0.040868,-0.002602,-0.017723,0.000094,-0.015910
14,S01,L01,M05,1.028396,0.000002,27.047669,0.000026,False,79860.500000,-1.271124,142.978674,8.729007,180.010000,0.010000,0.010000,79861.528396,1.271124,119.087303,8.729007,360.010000,0.010000,0.010000,0.040861,-0.002603,-0.017716,0.000095,-0.015890
15,S01,L01,M01,0.929513,-0.000004,7.691534,0.000025,False,79862.500000,-1.271124,102.572573,8.729007,180.010000,0.010000,0.010000,79863.429513,1.271124,80.678932,8.729007,360.010000,0.010000,0.010000,0.040854,-0.002604,-0.017708,0.000096,-0.015870
16,S01,L01,M02,1.057031,0.000003,30.115903,0.000026,False,79864.500000,-1.271124,62.166471,8.729007,180.010000,0.010000,0.010000,79865.557031,1.271124,37.696591,8.729007,360.010000,0.010000,0.010000,0.040847,-0.002605,-0.017700,0.000096,-0.015850
17,S01,L01,M03,1.084194,0.000003,32.656259,0.000031,False,79866.500000,-1.271124,21.760369,8.729007,180.010000,0.010000,0.010000,79867.584194,1.271124,-3.258295,8.729007,360.010000,0.010000,0.010000,0.040840,-0.002606,-0.017692,0.000097,-0.015829
18,S01,L01,M04,1.065183,0.000003,30.911287,0.000031,False,79868.500000,-1.271124,-18.645733,8.729007,180.010000,0.010000,0.010000,79869.565183,1.271124,-43.280321,8.729007,360.010000,0.010000,0.010000,0.040833,-0.002607,-0.017684,0.000098,-0.015809
19,S01,L01,M05,1.118240,0.000005,35.460751,0.000029,False,79870.500000,-1.271124,-59.051835,8.729007,180.010000,0.010000,0.010000,79871.618240,1.271124,-84.758330,8.729007,360.010000,0.010000,0.010000,0.040826,-0.002608,-0.017677,0.000098,-0.015789
20,S01,L01,M01,0.933100,-0.000004,9.248063,0.000026,False,79872.500000,-1.271124,-99.457936,8.729007,180.010000,0.010000,0.010000,79873.433100,1.271124,-121.424049,8.729007,360.010000,0.010000,0.010000,0.040819,-0.002609,-0.017669,0.000099,-0.015769
21,S01,L01,M02,1.169772,0.000006,39.107923,0.000030,False,79874.500000,-1.271124,-139.864038,8.729007,180.010000,0.010000,0.010000,79875.669772,1.271124,-166.611636,8.729007,360.010000,0.010000,0.010000,0.040812,-0.002610,-0.017661,0.000100,-0.015748
22,S01,L01,M03,1.013854,0.000001,25.288106,0.000030,False,79876.500000,-1.271124,-180.270140,8.729007,180.010000,0.010000,0.010000,79877.513854,1.271124,-203.867720,8.729007,360.010000,0.010000,0.010000,0.040805,-0.002611,-0.017653,0.000101,-0.015728
23,S01,L01,M04,1.007699,0.000001,24.492280,0.000030,False,79878.500000,-1.271124,-220.676242,8.729007,180.010000,0.010000,0.010000,79879.507699,1.271124,-244.149467,8.729007,360.010000,0.010000,0.010000,0.040798,-0.002612,-0.017645,0.000101,-0.015708
24,S01,L01,M05,1.260576,0.000004,44.322100,0.000034,False,79880.500000,-1.271124,-261.082344,8.729007,180.010000,0.010000,0.010000,79881.760576,1.271124,-289.664453,8.729007,360.010000,0.010000,0.010000,0.040790,-0.002614,-0.017637,0.000102,-0.015687
25,S01,L01,M01,1.010785,0.000001,24.883082,0.000029,False,79882.500000,-1.271124,-301.488445,8.729007,180.010000,0.010000,0.010000,79883.510785,1.271124,-325.024028,8.729007,360.010000,0.010000,0.010000,0.040784,-0.002615,-0.017629,0.000103,-0.015667
26,S01,L01,M02,1.328696,-0.000002,47.528122,0.000035,False,79884.500000,-1.271124,-341.894547,8.729007,180.010000,0.010000,0.010000,79885.828696,1.271124,-371.852896,8.729007,360.010000,0.010000,0.010000,0.040776,-0.002616,-0.017621,0.000103,-0.015646
27,S01,L01,M03,1.011426,0.000002,24.978087,0.000031,False,79886.500000,-1.271124,-382.300649,8.729007,180.010000,0.010000,0.010000,79887.511426,1.271124,-405.849168,8.729007,360.010000,0.010000,0.010000,0.040770,-0.002617,-0.017614,0.000104,-0.015627
28,S01,L01,M04,1.019435,0.000003,25.982234,0.000032,False,79888.500000,-1.271124,-422.706751,8.729007,180.010000,0.010000,0.010000,79889.519435,1.271124,-446.417087,8.729007,360.010000,0.010000,0.010000,0.040762,-0.002618,-0.017606,0.000105,-0.015606
29,S01,L01,M05,1.440112,-0.000024,51.878976,0.000040,False,79890.500000,-1.271124,-463.112852,8.729007,180.010000,0.010000,0.010000,79891.940112,1.271124,-495.322148,8.729007,360.010000,0.010000,0.010000,0.040755,-0.002619,-0.017597,0.000106,-0.015584
30,S01,L01,M01,1.148181,0.000007,37.651420,0.000034,False,79892.500000,-1.271124,-503.518954,8.729007,180.010000,0.010000,0.010000,79893.648181,1.271124,-529.830345,8.729007,360.010000,0.010000,0.010000,0.040748,-0.002620,-0.017590,0.000106,-0.015565
31,S01,L01,M02,1.519492,-0.000053,54.479337,0.000042,True,79894.500000,-1.271124,-543.925056,8.729007,180.010000,0.010000,0.010000,79896.019492,1.271124,-577.738063,8.729007,360.010000,0.010000,0.010000,0.040741,-0.002621,-0.017582,0.000107,-0.015543
32,S01,L01,M03,1.078052,0.000006,32.108241,0.000034,False,79896.500000,-1.271124,-584.331158,8.729007,180.010000,0.010000,0.010000,79897.578052,1.271124,-609.225740,8.729007,360.010000,0.010000,0.010000,0.040734,-0.002622,-0.017574,0.000108,-0.015525
33,S01,L01,M04,1.098842,0.000007,33.908445,0.000035,False,79898.500000,-1.271124,-624.737260,8.729007,180.010000,0.010000,0.010000,79899.598842,1.271124,-650.051859,8.729007,360.010000,0.010000,0.010000,0.040727,-0.002623,-0.017566,0.000108,-0.015505
34,S01,L01,M05,1.644720,-0.000134,57.965791,0.000047,True,79900.500000,-1.271124,-665.143361,8.729007,180.010000,0.010000,0.010000,79902.144720,1.271124,-701.486353,8.729007,360.010000,0.010000,0.010000,0.040719,-0.002624,-0.017558,0.000109,-0.015482
35,S01,L02,M01,1.302043,0.000003,46.330516,0.000037,False,79902.500000,-500.202369,-502.000011,8.729007,45.010000,0.010000,0.010000,79903.802043,-481.197023,-479.399381,8.729007,225.010000,0.010000,0.010000,0.040713,-0.002625,-0.017550,0.000110,-0.015463
36,S01,L02,M02,1.695225,-0.000186,59.201411,0.000045,True,79904.500000,-471.630941,-473.428582,8.729007,45.010000,0.010000,0.010000,79906.195225,-447.008707,-445.211065,8.729007,225.010000,0.010000,0.010000,0.040705,-0.002626,-0.017542,0.000111,-0.015441
37,S01,L02,M03,1.350894,-0.000004,48.474475,0.000040,False,79906.500000,-443.059512,-444.857154,8.729007,45.010000,0.010000,0.010000,79907.850894,-423.356286,-421.558645,8.729007,225.010000,0.010000,0.010000,0.040698,-0.002627,-0.017535,0.000111,-0.015422
38,S01,L02,M04,0.943343,-0.000001,12.645175,0.000029,False,79908.500000,-414.488084,-416.285725,8.729007,45.010000,0.010000,0.010000,79909.443343,-400.607018,-398.809377,8.729007,225.010000,0.010000,0.010000,0.040692,-0.002628,-0.017528,0.000112,-0.015404
39,S01,L02,M05,1.289823,0.000002,45.761294,0.000034,False,79910.500000,-385.916655,-387.714297,8.729007,45.010000,0.010000,0.010000,79911.789823,-367.085879,-365.288237,8.729007,225.010000,0.010000,0.010000,0.040685,-0.002630,-0.017519,0.000113,-0.015382
40,S01,L02,M01,1.130250,0.000006,36.364227,0.000032,False,79912.500000,-357.345227,-359.142868,8.729007,45.010000,0.010000,0.010000,79913.630250,-340.794061,-338.996419,8.729007,225.010000,0.010000,0.010000,0.040678,-0.002631,-0.017512,0.000113,-0.015363
41,S01,L02,M02,1.480173,-0.000039,53.234481,0.000038,True,79914.500000,-328.773798,-330.571439,8.729007,45.010000,0.010000,0.010000,79915.980173,-307.223724,-305.426083,8.729007,225.010000,0.010000,0.010000,0.040670,-0.002632,-0.017503,0.000114,-0.015341
42,S01,L02,M03,1.209909,0.000005,41.573934,0.000036,False,79916.500000,-300.202369,-302.000011,8.729007,45.010000,0.010000,0.010000,79917.709909,-282.513210,-280.715569,8.729007,225.010000,0.010000,0.010000,0.040663,-0.002633,-0.017496,0.000115,-0.015322
43,S01,L02,M04,0.923899,-0.000003,4.192003,0.000028,False,79918.500000,-271.630941,-273.428582,8.729007,45.010000,0.010000,0.010000,79919.423899,-258.027645,-256.230003,8.729007,225.010000,0.010000,0.010000,0.040657,-0.002634,-0.017489,0.000115,-0.015303
44,S01,L02,M05,1.165711,0.000006,38.844902,0.000031,False,79920.500000,-243.059512,-244.857154,8.729007,45.010000,0.010000,0.010000,79921.665711,-226.001761,-224.204120,8.729007,225.010000,0.010000,0.010000,0.040649,-0.002635,-0.017480,0.000116,-0.015281
45,S01,L02,M01,1.000025,0.000001,23.435767,0.000028,False,79922.500000,-214.488084,-216.285725,8.729007,45.010000,0.010000,0.010000,79923.500025,-199.797278,-197.999636,8.729007,225.010000,0.010000,0.010000,0.040642,-0.002636,-0.017473,0.000117,-0.015262
46,S01,L02,M02,1.283444,0.000002,45.452958,0.000033,False,79924.500000,-185.916655,-187.714297,8.729007,45.010000,0.010000,0.010000,79925.783444,-167.177003,-165.379361,8.729007,225.010000,0.010000,0.010000,0.040635,-0.002637,-0.017465,0.000117,-0.015240
47,S01,L02,M03,1.115259,0.000005,35.233415,0.000032,False,79926.500000,-157.345227,-159.142868,8.729007,45.010000,0.010000,0.010000,79927.615259,-141.008217,-139.210576,8.729007,225.010000,0.010000,0.010000,0.040628,-0.002638,-0.017457,0.000118,-0.015221
48,S01,L02,M04,0.980379,-0.000000,20.454666,0.000029,False,79928.500000,-128.773798,-130.571439,8.729007,45.010000,0.010000,0.010000,79929.480379,-114.363652,-112.566010,8.729007,225.010000,0.010000,0.010000,0.040621,-0.002639,-0.017449,0.000119,-0.015201
49,S01,L02,M05,1.093375,0.000005,33.454689,0.000028,False,79930.500000,-100.202369,-102.000011,8.729007,45.010000,0.010000,0.010000,79931.593375,-84.177990,-82.380348,8.729007,225.010000,0.010000,0.010000,0.040614,-0.002640,-0.017441,0.000120,-0.015180
50,S01,L02,M01,0.929513,-0.000004,7.691707,0.000025,False,79932.500000,-71.630941,-73.428582,8.729007,45.010000,0.010000,0.010000,79933.429513,-57.947440,-56.149799,8.729007,225.010000,0.010000,0.010000,0.040607,-0.002641,-0.017434,0.000120,-0.015161
51,S01,L02,M02,1.115074,0.000004,35.211014,0.000028,False,79934.500000,-43.059512,-44.857154,8.729007,45.010000,0.010000,0.010000,79935.615074,-26.725139,-24.927497,8.729007,225.010000,0.010000,0.010000,0.040600,-0.002642,-0.017426,0.000121,-0.015139
52,S01,L02,M03,1.079701,0.000003,32.262204,0.000031,False,79936.500000,-14.488084,-16.285725,8.729007,45.010000,0.010000,0.010000,79937.579701,1.340954,3.138595,8.729007,225.010000,0.010000,0.010000,0.040592,-0.002643,-0.017418,0.000122,-0.015119
53,S01,L02,M04,1.101810,0.000004,34.148876,0.000032,False,79938.500000,14.083345,12.285703,8.729007,45.010000,0.010000,0.010000,79939.601810,30.228221,32.025863,8.729007,225.010000,0.010000,0.010000,0.040585,-0.002644,-0.017410,0.000122,-0.015099
54,S01,L02,M05,1.083789,0.000004,32.625883,0.000027,False,79940.500000,42.654773,40.857132,8.729007,45.010000,0.010000,0.010000,79941.583789,58.542215,60.339856,8.729007,225.010000,0.010000,0.010000,0.040578,-0.002645,-0.017402,0.000123,-0.015079
55,S01,L02,M01,0.933100,-0.000004,9.247891,0.000025,False,79942.500000,71.226202,69.428561,8.729007,45.010000,0.010000,0.010000,79943.433100,84.960948,86.758589,8.729007,225.010000,0.010000,0.010000,0.040571,-0.002646,-0.017395,0.000124,-0.015059
56,S01,L02,M02,0.989981,-0.000000,21.974443,0.000024,False,79944.500000,99.797631,97.999989,8.729007,45.010000,0.010000,0.010000,79945.489981,114.344962,116.142603,8.729007,225.010000,0.010000,0.010000,0.040564,-0.002647,-0.017387,0.000124,-0.015039
57,S01,L02,M03,1.109537,0.000004,34.782457,0.000031,False,79946.500000,128.369059,126.571418,8.729007,45.010000,0.010000,0.010000,79947.609537,144.624333,146.421974,8.729007,225.010000,0.010000,0.010000,0.040557,-0.002648,-0.017379,0.000125,-0.015017
58,S01,L02,M04,1.270044,0.000002,44.796587,0.000036,False,79948.500000,156.940488,155.142846,8.729007,45.010000,0.010000,0.010000,79949.770044,175.488708,177.286349,8.729007,225.010000,0.010000,0.010000,0.040549,-0.002649,-0.017371,0.000126,-0.014996
59,S01,L02,M05,1.139144,0.000005,37.019278,0.000028,False,79950.500000,185.511916,183.714275,8.729007,45.010000,0.010000,0.010000,79951.639144,202.190148,203.987789,8.729007,225.010000,0.010000,0.010000,0.040543,-0.002650,-0.017363,0.000127,-0.014977
