# cfgfile =demo_prep/Data/Data.Data.SimulationData6-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M01,1.652883,0.000000,57.923795,-0.000013,False,79902.500000,-496.532065,-496.245871,8.729007,90.010000,0.010000,0.010000,79904.152883,-490.690312,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101361,0.000286,0.099131,0.000906
1,S01,L01,M02,1.020475,-0.000000,27.014196,-0.000025,False,79904.500000,-493.232233,-496.245871,8.729007,90.010000,0.010000,0.010000,79905.520475,-488.433899,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101361,0.000285,0.099131,0.000906
2,S01,L01,M03,1.367675,0.000000,49.193493,-0.000011,False,79906.500000,-489.932402,-496.245871,8.729007,90.010000,0.010000,0.010000,79907.867675,-484.561218,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101361,0.000285,0.099131,0.000906
3,S01,L01,M04,1.371525,0.000000,49.342172,-0.000033,False,79908.500000,-486.632570,-496.245871,8.729007,90.010000,0.010000,0.010000,79909.871525,-481.255033,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101360,0.000285,0.099132,0.000906
4,S01,L01,M01,1.637713,-0.000000,57.552008,-0.000012,False,79914.500000,-476.733075,-496.245871,8.729007,90.010000,0.010000,0.010000,79916.137713,-470.916350,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101359,0.000285,0.099132,0.000905
5,S01,L01,M02,1.012632,0.000000,26.092626,-0.000024,False,79916.500000,-473.433243,-496.245871,8.729007,90.010000,0.010000,0.010000,79917.512632,-468.647850,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101359,0.000285,0.099133,0.000905
6,S01,L01,M03,1.349464,0.000000,48.470537,-0.000010,False,79918.500000,-470.133412,-496.245871,8.729007,90.010000,0.010000,0.010000,79919.849464,-464.792274,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101359,0.000285,0.099133,0.000905
7,S01,L01,M04,1.365871,-0.000000,49.122285,-0.000032,False,79920.500000,-466.833580,-496.245871,8.729007,90.010000,0.010000,0.010000,79921.865871,-461.465372,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101358,0.000285,0.099133,0.000905
8,S01,L01,M01,1.622818,0.000000,57.178999,-0.000011,False,79926.500000,-456.934085,-496.245871,8.729007,90.010000,0.010000,0.010000,79928.122818,-451.141936,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101357,0.000284,0.099134,0.000905
9,S01,L01,M02,1.005399,-0.000001,25.202097,-0.000023,False,79928.500000,-453.634254,-496.245871,8.729007,90.010000,0.010000,0.010000,79929.505399,-448.860793,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101357,0.000284,0.099134,0.000905
10,S01,L01,M03,1.331511,0.000000,47.730848,-0.000009,False,79930.500000,-450.334422,-496.245871,8.729007,90.010000,0.010000,0.010000,79931.831511,-445.022905,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101357,0.000284,0.099135,0.000905
11,S01,L01,M04,1.360691,0.000000,48.918613,-0.000031,False,79932.500000,-447.034590,-496.245871,8.729007,90.010000,0.010000,0.010000,79933.860691,-441.674929,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101356,0.000284,0.099135,0.000905
12,S01,L01,M01,1.608204,-0.000000,56.805117,-0.000010,False,79938.500000,-437.135095,-496.245871,8.729007,90.010000,0.010000,0.010000,79940.108204,-431.367058,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101355,0.000284,0.099136,0.000905
13,S01,L01,M02,0.998792,0.000000,24.350350,-0.000022,False,79940.500000,-433.835264,-496.245871,8.729007,90.010000,0.010000,0.010000,79941.498792,-429.072705,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101355,0.000283,0.099136,0.000905
14,S01,L01,M03,1.313826,-0.000000,46.974226,-0.000008,False,79942.500000,-430.535432,-496.245871,8.729007,90.010000,0.010000,0.010000,79943.813826,-425.253093,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101355,0.000283,0.099136,0.000905
15,S01,L01,M04,1.355989,-0.000000,48.731915,-0.000030,False,79944.500000,-427.235600,-496.245871,8.729007,90.010000,0.010000,0.010000,79945.855989,-421.883696,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101355,0.000283,0.099136,0.000904
16,S01,L01,M01,1.593880,0.000000,56.430736,-0.000009,False,79950.500000,-417.336105,-496.245871,8.729007,90.010000,0.010000,0.010000,79952.093880,-411.591702,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101354,0.000283,0.099137,0.000904
17,S01,L01,M02,0.992821,0.000000,23.545888,-0.000022,False,79952.500000,-414.036274,-496.245871,8.729007,90.010000,0.010000,0.010000,79953.492821,-409.283567,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101353,0.000283,0.099137,0.000904
18,S01,L01,M03,1.296421,0.000000,46.200513,-0.000007,False,79954.500000,-410.736442,-496.245871,8.729007,90.010000,0.010000,0.010000,79955.796421,-405.482821,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101353,0.000283,0.099138,0.000904
19,S01,L01,M04,1.351771,-0.000000,48.562905,-0.000029,False,79956.500000,-407.436610,-496.245871,8.729007,90.010000,0.010000,0.010000,79957.851771,-402.091666,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101353,0.000283,0.099138,0.000904
20,S01,L01,M01,1.579853,-0.000000,56.056263,-0.000008,False,79962.500000,-397.537116,-496.245871,8.729007,90.010000,0.010000,0.010000,79964.079853,-391.815855,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101352,0.000282,0.099139,0.000904
21,S01,L01,M02,0.987499,0.000000,22.797898,-0.000021,False,79964.500000,-394.237284,-496.245871,8.729007,90.010000,0.010000,0.010000,79965.487499,-389.493358,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101351,0.000282,0.099139,0.000904
22,S01,L01,M03,1.279306,-0.000000,45.409600,-0.000006,False,79966.500000,-390.937452,-496.245871,8.729007,90.010000,0.010000,0.010000,79967.779306,-385.712068,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101351,0.000282,0.099139,0.000904
23,S01,L01,M04,1.348042,0.000000,48.412247,-0.000028,False,79968.500000,-387.637621,-496.245871,8.729007,90.010000,0.010000,0.010000,79969.848042,-382.298829,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101351,0.000282,0.099139,0.000904
24,S01,L01,M01,1.566132,0.000000,55.682136,-0.000007,False,79974.500000,-377.738126,-496.245871,8.729007,90.010000,0.010000,0.010000,79976.066132,-372.039504,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101350,0.000282,0.099140,0.000904
25,S01,L01,M02,0.982836,0.000000,22.116105,-0.000020,False,79976.500000,-374.438294,-496.245871,8.729007,90.010000,0.010000,0.010000,79977.482836,-369.702062,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101349,0.000281,0.099140,0.000904
26,S01,L01,M03,1.262495,0.000000,44.601436,-0.000005,False,79978.500000,-371.138462,-496.245871,8.729007,90.010000,0.010000,0.010000,79979.762495,-365.940816,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101349,0.000281,0.099141,0.000903
27,S01,L01,M04,1.344805,0.000000,48.280546,-0.000027,False,79980.500000,-367.838631,-496.245871,8.729007,90.010000,0.010000,0.010000,79981.844805,-362.505180,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000075,0.101349,0.000281,0.099141,0.000903
28,S01,L01,M01,1.552724,-0.000000,55.308825,-0.000006,False,79986.500000,-357.939136,-496.245871,8.729007,90.010000,0.010000,0.010000,79988.052724,-352.262635,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101348,0.000281,0.099142,0.000903
29,S01,L01,M02,0.978841,-0.000000,21.510527,-0.000019,False,79988.500000,-354.639304,-496.245871,8.729007,90.010000,0.010000,0.010000,79989.478841,-349.909662,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101347,0.000281,0.099142,0.000903
30,S01,L01,M03,1.245998,0.000000,43.776042,-0.000004,False,79990.500000,-351.339472,-496.245871,8.729007,90.010000,0.010000,0.010000,79991.745998,-346.169045,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101347,0.000281,0.099142,0.000903
31,S01,L01,M04,1.342063,-0.000000,48.168338,-0.000026,False,79992.500000,-348.039641,-496.245871,8.729007,90.010000,0.010000,0.010000,79993.842063,-342.710713,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101347,0.000281,0.099142,0.000903
32,S01,L01,M01,1.539638,-0.000000,54.936835,-0.000005,False,79998.500000,-338.140146,-496.245871,8.729007,90.010000,0.010000,0.010000,80000.039638,-332.485236,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101346,0.000280,0.099143,0.000903
33,S01,L01,M02,0.975524,0.000000,20.991129,-0.000019,False,80000.500000,-334.840314,-496.245871,8.729007,90.010000,0.010000,0.010000,80001.475524,-330.116146,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101345,0.000280,0.099143,0.000903
34,S01,L01,M03,1.229829,0.000000,42.933516,-0.000004,False,80002.500000,-331.540483,-496.245871,8.729007,90.010000,0.010000,0.010000,80003.729829,-326.396733,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101345,0.000280,0.099144,0.000903
35,S01,L01,M04,1.339821,-0.000000,48.076091,-0.000025,False,80004.500000,-328.240651,-496.245871,8.729007,90.010000,0.010000,0.010000,80005.839821,-322.915422,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101345,0.000280,0.099144,0.000903
36,S01,L01,M01,1.526882,-0.000000,54.566702,-0.000003,False,80010.500000,-318.341156,-496.245871,8.729007,90.010000,0.010000,0.010000,80012.026882,-312.707293,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101344,0.000280,0.099145,0.000903
37,S01,L01,M02,0.972890,-0.000000,20.567369,-0.000018,False,80012.500000,-315.041324,-496.245871,8.729007,90.010000,0.010000,0.010000,80013.472890,-310.321501,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101343,0.000279,0.099145,0.000902
38,S01,L01,M03,1.214000,-0.000000,42.074050,-0.000003,False,80014.500000,-311.741493,-496.245871,8.729007,90.010000,0.010000,0.010000,80015.714000,-306.623859,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101343,0.000279,0.099145,0.000902
39,S01,L01,M04,1.338081,-0.000000,48.004194,-0.000024,False,80016.500000,-308.441661,-496.245871,8.729007,90.010000,0.010000,0.010000,80017.838081,-303.119304,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101343,0.000279,0.099146,0.000902
40,S01,L01,M01,1.514465,0.000000,54.198998,-0.000002,False,80022.500000,-298.542166,-496.245871,8.729007,90.010000,0.010000,0.010000,80024.014465,-292.928791,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101342,0.000279,0.099146,0.000902
41,S01,L01,M02,0.970946,-0.000000,20.247665,-0.000017,False,80024.500000,-295.242335,-496.245871,8.729007,90.010000,0.010000,0.010000,80025.470946,-290.525719,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101341,0.000279,0.099147,0.000902
42,S01,L01,M03,1.198526,-0.000000,41.197944,-0.000002,False,80026.500000,-291.942503,-496.245871,8.729007,90.010000,0.010000,0.010000,80027.698526,-286.850400,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101341,0.000279,0.099147,0.000902
43,S01,L01,M04,1.336844,-0.000000,47.952954,-0.000023,False,80028.500000,-288.642671,-496.245871,8.729007,90.010000,0.010000,0.010000,80029.836844,-283.322354,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101341,0.000278,0.099147,0.000902
44,S01,L01,M01,1.502394,-0.000000,53.834327,-0.000001,False,80034.500000,-278.743176,-496.245871,8.729007,90.010000,0.010000,0.010000,80036.002394,-273.149716,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101340,0.000278,0.099148,0.000902
45,S01,L01,M02,0.969696,0.000000,20.038827,-0.000017,False,80036.500000,-275.443345,-496.245871,8.729007,90.010000,0.010000,0.010000,80037.469696,-270.728792,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000076,0.101339,0.000278,0.099148,0.000902
