# cfgfile =demo_prep/Data/Data.Data.SimulationData6-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M01,1.652883,0.000002,57.923785,-0.000008,False,79902.500000,-496.532065,-496.245871,8.729007,90.010000,0.010000,0.010000,79904.152883,-490.690312,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000117,0.097314,0.001794,0.000000,0.000000
1,S01,L01,M02,1.020475,-0.000001,27.014404,-0.000027,False,79904.500000,-493.232233,-496.245871,8.729007,90.010000,0.010000,0.010000,79905.520475,-488.433899,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000117,0.097313,0.001791,0.000000,0.000000
2,S01,L01,M03,1.367675,0.000001,49.193484,-0.000007,False,79906.500000,-489.932402,-496.245871,8.729007,90.010000,0.010000,0.010000,79907.867675,-484.561218,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000117,0.097313,0.001787,0.000000,0.000000
3,S01,L01,M04,1.371525,0.000000,49.342247,-0.000035,False,79908.500000,-486.632570,-496.245871,8.729007,90.010000,0.010000,0.010000,79909.871525,-481.255033,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000116,0.097313,0.001783,0.000000,0.000000
4,S01,L01,M01,1.637713,0.000002,57.551998,-0.000007,False,79914.500000,-476.733075,-496.245871,8.729007,90.010000,0.010000,0.010000,79916.137713,-470.916350,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000116,0.097313,0.001770,0.000000,0.000000
5,S01,L01,M02,1.012632,-0.000000,26.092832,-0.000026,False,79916.500000,-473.433243,-496.245871,8.729007,90.010000,0.010000,0.010000,79917.512632,-468.647850,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000116,0.097312,0.001767,0.000000,0.000000
6,S01,L01,M03,1.349464,0.000001,48.470529,-0.000006,False,79918.500000,-470.133412,-496.245871,8.729007,90.010000,0.010000,0.010000,79919.849464,-464.792274,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000116,0.097312,0.001762,0.000000,0.000000
7,S01,L01,M04,1.365871,-0.000000,49.122357,-0.000034,False,79920.500000,-466.833580,-496.245871,8.729007,90.010000,0.010000,0.010000,79921.865871,-461.465372,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000115,0.097312,0.001758,0.000000,0.000000
8,S01,L01,M01,1.622818,0.000002,57.178990,-0.000006,False,79926.500000,-456.934085,-496.245871,8.729007,90.010000,0.010000,0.010000,79928.122818,-451.141936,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000115,0.097312,0.001746,0.000000,0.000000
9,S01,L01,M02,1.005399,-0.000001,25.202300,-0.000025,False,79928.500000,-453.634254,-496.245871,8.729007,90.010000,0.010000,0.010000,79929.505399,-448.860793,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000115,0.097311,0.001742,0.000000,0.000000
10,S01,L01,M03,1.331511,0.000001,47.730842,-0.000005,False,79930.500000,-450.334422,-496.245871,8.729007,90.010000,0.010000,0.010000,79931.831511,-445.022905,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000115,0.097311,0.001738,0.000000,0.000000
11,S01,L01,M04,1.360691,0.000000,48.918683,-0.000033,False,79932.500000,-447.034590,-496.245871,8.729007,90.010000,0.010000,0.010000,79933.860691,-441.674929,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000114,0.097311,0.001734,0.000000,0.000000
12,S01,L01,M01,1.608204,0.000001,56.805108,-0.000005,False,79938.500000,-437.135095,-496.245871,8.729007,90.010000,0.010000,0.010000,79940.108204,-431.367058,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000114,0.097311,0.001721,0.000000,0.000000
13,S01,L01,M02,0.998792,-0.000000,24.350550,-0.000024,False,79940.500000,-433.835264,-496.245871,8.729007,90.010000,0.010000,0.010000,79941.498792,-429.072705,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000114,0.097310,0.001718,0.000000,0.000000
14,S01,L01,M03,1.313826,0.000001,46.974221,-0.000004,False,79942.500000,-430.535432,-496.245871,8.729007,90.010000,0.010000,0.010000,79943.813826,-425.253093,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000114,0.097310,0.001714,0.000000,0.000000
15,S01,L01,M04,1.355989,0.000000,48.731982,-0.000032,False,79944.500000,-427.235600,-496.245871,8.729007,90.010000,0.010000,0.010000,79945.855989,-421.883696,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000113,0.097310,0.001709,0.000000,0.000000
16,S01,L01,M01,1.593880,0.000001,56.430727,-0.000004,False,79950.500000,-417.336105,-496.245871,8.729007,90.010000,0.010000,0.010000,79952.093880,-411.591702,-493.703622,8.729007,270.010000,0.010000,0.010000,0.000113,0.097310,0.001697,0.000000,0.000000
