# cfgfile =demo_prep/Data/Data.Data.SimulationData6-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M01,1.652883,0.000000,57.923789,-0.000014,False,79902.500000,-496.532065,-496.245871,8.729007,90.010000,0.010000,0.010000,79904.152883,-490.690312,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000000,0.010413,0.000135,0.020930,0.000197
1,S01,L01,M02,1.020475,-0.000000,27.014193,-0.000025,False,79904.500000,-493.232233,-496.245871,8.729007,90.010000,0.010000,0.010000,79905.520475,-488.433899,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000000,0.010414,0.000135,0.020930,0.000197
2,S01,L01,M03,1.367675,0.000000,49.193484,-0.000011,False,79906.500000,-489.932402,-496.245871,8.729007,90.010000,0.010000,0.010000,79907.867675,-484.561218,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000000,0.010414,0.000135,0.020931,0.000197
3,S01,L01,M04,1.371525,0.000000,49.342175,-0.000033,False,79908.500000,-486.632570,-496.245871,8.729007,90.010000,0.010000,0.010000,79909.871525,-481.255033,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000000,0.010414,0.000134,0.020931,0.000197
4,S01,L01,M01,1.637713,-0.000000,57.552002,-0.000012,False,79914.500000,-476.733075,-496.245871,8.729007,90.010000,0.010000,0.010000,79916.137713,-470.916350,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000000,0.010415,0.000134,0.020932,0.000196
5,S01,L01,M02,1.012632,0.000000,26.092622,-0.000024,False,79916.500000,-473.433243,-496.245871,8.729007,90.010000,0.010000,0.010000,79917.512632,-468.647850,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000000,0.010415,0.000134,0.020932,0.000195
6,S01,L01,M03,1.349464,0.000000,48.470528,-0.000010,False,79918.500000,-470.133412,-496.245871,8.729007,90.010000,0.010000,0.010000,79919.849464,-464.792274,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000000,0.010416,0.000134,0.020932,0.000195
7,S01,L01,M04,1.365871,-0.000000,49.122288,-0.000032,False,79920.500000,-466.833580,-496.245871,8.729007,90.010000,0.010000,0.010000,79921.865871,-461.465372,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000000,0.010416,0.000133,0.020933,0.000195
8,S01,L01,M01,1.622818,0.000000,57.178994,-0.000011,False,79926.500000,-456.934085,-496.245871,8.729007,90.010000,0.010000,0.010000,79928.122818,-451.141936,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000000,0.010417,0.000133,0.020934,0.000194
9,S01,L01,M02,1.005399,-0.000000,25.202094,-0.000023,False,79928.500000,-453.634254,-496.245871,8.729007,90.010000,0.010000,0.010000,79929.505399,-448.860793,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000000,0.010417,0.000133,0.020934,0.000194
10,S01,L01,M03,1.331511,0.000000,47.730839,-0.000009,False,79930.500000,-450.334422,-496.245871,8.729007,90.010000,0.010000,0.010000,79931.831511,-445.022905,-493.703622,8.729007,270.010000,0.010000,0.010000,-0.000000,0.010417,0.000133,0.020934,0.000193
