# cfgfile =demo_prep/MYGI/MYGI.1401.kaiyo_kx-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.482868,0.000106,26.157214,-0.000629,False,1351.542200,8.333170,1706.512240,15.254040,172.380000,0.160000,-0.670000,1355.086625,8.884790,1696.950040,15.374150,173.830000,0.140000,-0.670000,-0.425608,-0.015486,-0.059420,-0.440547,0.107632
1,S01,L01,M12,3.548522,0.000079,51.136270,-0.000810,False,1361.542570,10.536110,1679.491990,15.265340,176.140000,1.060000,-1.200000,1366.152650,11.062560,1666.502640,15.450280,177.790000,0.350000,-1.000000,-0.425388,-0.015401,-0.058888,-0.438014,0.106667
2,S01,L01,M13,4.148603,0.000098,57.868119,-0.000841,False,1371.542905,11.375910,1651.236430,15.249480,179.970000,-0.810000,-1.150000,1376.753065,11.254420,1636.616460,15.256220,180.930000,0.510000,-1.060000,-0.425173,-0.015318,-0.058368,-0.435539,0.105725
3,S01,L01,M14,3.471306,0.000090,50.303422,-0.000778,False,1381.543340,10.666140,1622.994920,15.382410,181.850000,-0.280000,-0.470000,1386.076205,10.276350,1609.956640,15.407130,182.820000,0.880000,-1.200000,-0.424972,-0.015242,-0.057880,-0.433219,0.104842
4,S01,L01,M15,2.420153,0.000077,22.878331,-0.000645,False,1391.543650,9.380070,1594.064470,14.923080,184.010000,-1.270000,-1.160000,1395.025360,8.353710,1584.181230,15.630830,184.070000,0.710000,-0.460000,-0.424776,-0.015168,-0.057402,-0.430946,0.103976
5,S01,L01,M12,3.442042,0.000031,49.627832,-0.000831,False,1401.544010,6.442190,1565.467700,15.261770,184.460000,0.150000,0.400000,1406.047610,5.767570,1552.323520,15.486730,184.140000,1.200000,-0.850000,-0.424559,-0.015087,-0.056871,-0.428427,0.103016
6,S01,L01,M13,4.018338,0.000076,56.621364,-0.000868,False,1411.544475,4.343130,1536.172800,15.258460,184.030000,-0.200000,-0.650000,1416.624370,3.030600,1521.304020,15.203660,183.190000,1.020000,-0.470000,-0.424347,-0.015009,-0.056352,-0.425964,0.102077
7,S01,L01,M14,3.361831,0.000066,48.671141,-0.000795,False,1421.544810,2.198340,1507.018960,15.410440,183.130000,0.790000,-0.820000,1425.968200,1.587420,1493.805710,15.234410,181.710000,0.110000,-1.720000,-0.424148,-0.014936,-0.055864,-0.423650,0.101195
8,S01,L01,M15,2.363943,-0.000084,19.315506,-0.000657,False,1431.545255,0.746490,1477.596770,15.270910,180.930000,-0.750000,-0.830000,1434.970755,-0.080810,1468.120170,15.470530,179.250000,0.990000,0.910000,-0.423953,-0.014865,-0.055385,-0.421380,0.100329
9,S01,L01,M12,3.338257,-0.000004,48.029720,-0.000847,False,1441.545610,-0.294920,1448.731640,15.369460,178.630000,0.350000,0.450000,1445.945425,0.604680,1436.218080,15.528530,177.710000,0.070000,-2.100000,-0.423739,-0.014788,-0.054856,-0.418876,0.099374
