# cfgfile =demo_prep/MYGI/MYGI.1504.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.455688,0.000059,25.130137,0.000183,False,24619.541305,11.750900,1663.454870,15.610390,175.610000,0.880000,-0.700000,24623.058550,12.520060,1653.802880,15.007830,176.430000,-0.710000,-0.500000,-0.023710,0.001376,-0.015859,-0.353560,0.103175
1,S01,L01,M12,3.503097,-0.000052,51.103304,0.000283,False,24629.541705,13.724500,1636.120440,14.993820,177.870000,-0.050000,-1.830000,24634.106360,13.783480,1624.158370,15.316630,178.340000,-0.850000,-0.130000,-0.023560,0.001279,-0.015725,-0.351555,0.103621
2,S01,L01,M13,4.097843,-0.000113,58.129855,0.000349,False,24639.542130,14.684040,1609.789800,15.688380,178.990000,1.110000,-2.220000,24644.701530,13.420860,1595.590070,14.893350,180.840000,-0.470000,0.930000,-0.023414,0.001184,-0.015594,-0.349595,0.104056
3,S01,L01,M14,3.433406,0.000044,50.318764,0.000266,False,24649.542460,13.862540,1582.690030,15.705610,183.100000,-1.060000,-1.680000,24654.037425,13.133360,1571.380720,15.757540,184.510000,1.830000,-1.690000,-0.023278,0.001096,-0.015472,-0.347756,0.104463
4,S01,L01,M15,2.399043,0.000026,21.928560,0.000167,False,24659.542935,10.614940,1556.769520,15.708760,186.950000,1.280000,-0.360000,24663.003535,9.823640,1547.147510,15.148010,187.790000,-0.570000,-2.030000,-0.023144,0.001009,-0.015352,-0.345955,0.104862
5,S01,L01,M12,3.407767,-0.000010,49.679459,0.000263,False,24669.543250,6.257660,1530.153660,15.342650,188.740000,-0.370000,-1.890000,24674.012575,3.470410,1518.395680,15.466010,188.770000,-0.130000,-1.100000,-0.022996,0.000914,-0.015221,-0.343961,0.105303
6,S01,L01,M13,3.979988,0.000029,56.934455,0.000328,False,24679.543670,-0.412790,1504.049110,15.498600,188.540000,-0.690000,0.820000,24684.585215,-3.191910,1491.194560,15.657400,187.870000,1.260000,-1.310000,-0.022852,0.000820,-0.015092,-0.342011,0.105733
7,S01,L01,M14,3.329976,0.000033,48.717141,0.000254,False,24689.544080,-6.018110,1478.284850,15.488950,185.380000,0.790000,-0.640000,24693.935615,-8.119170,1466.710540,15.173170,183.400000,-0.760000,-1.010000,-0.022716,0.000733,-0.014972,-0.340179,0.106136
8,S01,L01,M15,2.350878,0.000045,18.667513,0.000161,False,24699.544465,-10.713250,1452.169420,15.898400,182.570000,0.760000,-0.180000,24702.956900,-11.346730,1442.915550,14.923390,181.740000,-0.440000,-0.700000,-0.022583,0.000647,-0.014854,-0.338380,0.106532
9,S01,L01,M12,3.320697,-0.000046,48.297112,0.000248,False,24709.544850,-13.303700,1425.908030,15.527860,181.190000,0.100000,-0.590000,24713.927105,-13.723200,1413.841250,14.828600,180.750000,-0.270000,-1.610000,-0.022436,0.000553,-0.014725,-0.336399,0.106967
10,S01,L01,M13,3.864788,0.000062,55.693290,0.000306,False,24719.545225,-15.582570,1399.437130,15.177700,178.900000,-1.630000,0.120000,24724.471570,-15.848450,1386.766690,15.805520,176.470000,0.750000,-0.190000,-0.022293,0.000461,-0.014599,-0.334460,0.107391
11,S01,L01,M14,3.236276,0.000060,47.127518,0.000233,False,24729.545575,-14.897140,1373.630160,15.000200,174.220000,0.000000,-1.490000,24733.843410,-14.725260,1362.555110,15.801580,173.850000,0.420000,0.000000,-0.022159,0.000374,-0.014481,-0.332634,0.107791
12,S01,L01,M15,2.310333,-0.000011,15.292203,0.000146,False,24739.545990,-13.054210,1347.672470,15.334190,172.930000,0.710000,-1.700000,24742.917880,-12.803240,1338.634380,15.416550,173.080000,-0.410000,0.110000,-0.022026,0.000289,-0.014365,-0.330839,0.108183
