# cfgfile =demo_prep/MYGI/MYGI.1801.meiyo_m5-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M15,2.432783,-0.000071,23.577637,-0.000514,False,81479.402695,-46.262720,1617.040240,12.934090,176.310000,0.870000,-1.600000,81482.897035,-47.987720,1604.916520,13.158030,174.740000,-0.530000,1.700000,-0.000249,-0.000870,-0.060430,-1.342960,-0.020791
1,S01,L01,M12,3.509047,0.000165,50.664309,-0.000614,False,81480.492720,-47.061430,1613.089340,12.739070,175.450000,0.140000,0.290000,81485.063325,-47.992600,1597.416940,13.147080,174.690000,-0.560000,-0.070000,-0.000249,-0.000874,-0.060387,-1.341407,-0.021618
2,S01,L01,M12,3.481297,0.000101,50.259176,-0.000622,False,81489.392705,-49.210480,1582.787630,13.415810,172.520000,0.730000,1.080000,81493.935560,-47.949570,1567.029900,13.191470,172.260000,0.210000,-3.400000,-0.000248,-0.000900,-0.060153,-1.332937,-0.026126
3,S01,L01,M13,4.065518,0.000310,57.168926,-0.000634,False,81490.482725,-49.481000,1578.734530,13.116660,171.640000,-1.440000,1.090000,81495.609800,-48.787180,1561.594230,13.287830,171.390000,3.650000,0.060000,-0.000248,-0.000904,-0.060117,-1.331620,-0.026826
4,S01,L01,M15,2.380303,-0.000143,20.394276,-0.000543,False,81510.482840,-45.784140,1511.387920,12.943430,167.870000,-1.090000,-0.190000,81513.924700,-44.838230,1499.555980,13.624670,167.110000,0.290000,-0.030000,-0.000248,-0.000958,-0.059616,-1.313382,-0.036500
5,S01,L01,M12,3.356162,-0.000127,48.371587,-0.000683,False,81529.392870,-41.453880,1449.081100,13.349860,167.700000,1.000000,0.750000,81533.810590,-40.179970,1434.902000,13.335690,169.790000,0.760000,-1.160000,-0.000248,-0.001014,-0.059112,-1.294946,-0.046238
6,S01,L01,M13,3.885938,0.000002,55.329823,-0.000723,False,81539.392965,-38.639510,1416.655370,13.585450,169.420000,-0.770000,-1.980000,81544.340460,-38.116250,1399.879530,13.004880,168.200000,-2.170000,-0.660000,-0.000247,-0.001044,-0.058847,-1.285204,-0.051367
7,S01,L01,M14,3.261561,-0.000065,47.079064,-0.000690,False,81540.483095,-38.724090,1413.451330,14.044830,169.600000,1.480000,-0.920000,81544.806215,-37.903430,1398.479930,13.138780,168.610000,-1.590000,-1.410000,-0.000247,-0.001046,-0.058827,-1.284466,-0.051755
8,S01,L01,M14,3.237646,-0.000073,46.682931,-0.000703,False,81549.392950,-36.691020,1383.841630,12.664660,168.030000,-0.880000,0.510000,81553.692155,-36.107460,1370.034300,13.540100,167.840000,0.510000,1.580000,-0.000247,-0.001071,-0.058599,-1.276029,-0.056186
9,S01,L01,M15,2.325278,-0.000105,16.253874,-0.000585,False,81550.483080,-36.158570,1380.464020,12.928880,168.380000,-1.770000,-0.520000,81553.869915,-36.105820,1369.447210,13.572420,167.810000,0.770000,1.700000,-0.000247,-0.001073,-0.058583,-1.275428,-0.056501
10,S01,L01,M15,2.314363,-0.000123,15.291572,-0.000593,False,81559.393025,-34.257910,1351.105960,13.013840,167.770000,-0.280000,-0.720000,81562.768945,-33.769260,1340.227920,13.288900,168.940000,0.380000,0.660000,-0.000247,-0.001099,-0.058355,-1.266992,-0.060921
