# cfgfile =demo_prep/MYGI/MYGI.1802.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M15,2.407753,-0.000038,22.105125,-0.000125,False,85589.395210,-59.007200,1568.514580,15.943490,185.290000,-0.890000,-0.660000,85592.864520,-59.903280,1557.893700,15.965650,185.620000,0.810000,-0.970000,-0.000122,-0.012073,0.126021,0.043455,0.114402
1,S01,L01,M12,3.469222,-0.000006,49.888316,-0.000452,False,85590.485250,-59.216810,1565.007450,15.980000,185.530000,-1.470000,-0.310000,85595.016030,-59.307710,1551.030260,15.788670,186.020000,1.230000,-4.670000,-0.000122,-0.011989,0.125996,0.043526,0.114544
2,S01,L01,M12,3.445187,-0.000012,49.547693,-0.000443,False,85599.395325,-62.265830,1537.596000,15.559610,187.110000,-1.300000,0.360000,85603.902070,-62.774980,1523.456830,15.743800,185.270000,-0.370000,-3.660000,-0.000121,-0.011529,0.125855,0.043912,0.115324
3,S01,L01,M13,4.014558,-0.000140,56.417531,-0.000693,False,85600.485780,-62.901350,1534.509930,15.765830,186.540000,-0.250000,1.010000,85605.561895,-64.038980,1518.737860,15.280160,185.900000,0.770000,-2.820000,-0.000121,-0.011458,0.125834,0.043971,0.115443
4,S01,L01,M14,3.326676,0.000066,47.999232,-0.000378,False,85610.485500,-66.088470,1503.296820,15.860650,182.100000,-0.940000,-0.580000,85614.873735,-66.558190,1489.401510,15.302000,180.280000,0.770000,-1.320000,-0.000120,-0.010961,0.125684,0.044390,0.116282
5,S01,L01,M14,3.301636,0.000049,47.583052,-0.000371,False,85619.395590,-67.528310,1475.460720,16.189950,177.070000,-1.160000,-0.590000,85623.758785,-67.494240,1461.151610,15.705930,175.320000,0.850000,-0.810000,-0.000120,-0.010503,0.125547,0.044776,0.117048
6,S01,L01,M15,2.362518,-0.000018,19.171925,-0.000111,False,85620.485630,-67.253530,1471.944920,16.269440,176.200000,-0.560000,-1.360000,85623.909705,-67.472130,1460.661990,15.708280,175.360000,0.820000,-0.870000,-0.000120,-0.010471,0.125537,0.044803,0.117101
7,S01,L01,M15,2.350248,-0.000018,18.294264,-0.000108,False,85629.395760,-66.868800,1443.611550,15.620650,173.050000,-0.270000,-0.070000,85632.807565,-65.381490,1432.393950,16.080660,173.030000,-0.500000,-1.510000,-0.000119,-0.010014,0.125402,0.045189,0.117862
8,S01,L01,M12,3.358442,0.000012,48.218165,-0.000413,False,85630.485800,-65.957490,1440.225140,16.034030,172.890000,-0.260000,-1.790000,85634.905800,-65.965480,1425.368500,16.115360,172.020000,0.610000,0.750000,-0.000119,-0.009933,0.125378,0.045258,0.117997
9,S01,L01,M12,3.331172,0.000024,47.803977,-0.000405,False,85639.395940,-63.281700,1411.024380,15.224120,172.150000,-0.230000,-1.820000,85643.788670,-62.275510,1396.718150,15.783720,170.940000,-0.760000,0.650000,-0.000119,-0.009478,0.125245,0.045643,0.118750
