# cfgfile =demo_res/MYGI/MYGI.1610.meiyo_m5-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M15,2.774653,-0.000001,37.655040,-0.000309,False,72412.396465,1185.946960,1188.806390,13.972350,223.270000,-0.430000,4.330000,72416.232675,1179.044010,1180.404660,13.024190,222.900000,-0.360000,-1.580000,-0.000243,-0.021616,-0.015076,-0.189369,0.332408
1,S01,L01,M12,2.973152,-0.000016,42.084615,-0.000332,False,72413.186455,1184.157410,1187.204960,13.606420,222.970000,-1.150000,3.790000,72417.221165,1176.930400,1178.585270,13.217490,222.550000,-0.160000,-0.670000,-0.000243,-0.021621,-0.015065,-0.189221,0.332222
2,S01,L01,M13,3.984193,0.000098,57.989987,-0.000385,False,72413.976440,1182.807110,1185.375740,13.146510,222.830000,-1.310000,2.100000,72419.022190,1172.930540,1175.259730,13.030710,222.400000,-0.360000,0.840000,-0.000243,-0.021630,-0.015049,-0.189006,0.331951
3,S01,L01,M12,2.949592,-0.000003,41.534165,-0.000335,False,72424.396515,1162.274840,1165.033290,13.227540,222.000000,-1.520000,1.230000,72428.407665,1155.013950,1157.494980,13.076880,221.720000,1.240000,-1.380000,-0.000242,-0.021694,-0.014928,-0.187361,0.329878
4,S01,L01,M13,3.951513,0.000066,57.636702,-0.000389,False,72425.186505,1160.461080,1163.746700,13.494820,221.410000,-1.230000,2.160000,72430.199575,1151.662330,1153.383310,12.550930,222.310000,-1.950000,-1.880000,-0.000242,-0.021702,-0.014912,-0.187146,0.329607
5,S01,L01,M14,3.936111,0.000103,57.652374,-0.000375,False,72425.976490,1158.769460,1162.422880,13.623100,221.000000,-0.640000,2.410000,72430.974160,1150.070840,1152.218560,12.697980,222.140000,-2.200000,-0.260000,-0.000242,-0.021707,-0.014902,-0.187016,0.329444
6,S01,L01,M13,3.920293,-0.000011,57.282443,-0.000392,False,72436.396575,1139.961370,1142.520180,12.816470,222.090000,-0.430000,-2.280000,72441.378425,1130.402410,1134.612200,13.698210,221.300000,0.570000,3.090000,-0.000241,-0.021771,-0.014774,-0.185289,0.327264
7,S01,L01,M14,3.904071,0.000042,57.295678,-0.000378,False,72437.186765,1138.816210,1140.885820,12.636680,222.420000,-0.640000,-2.990000,72442.152395,1129.199910,1133.148190,13.620810,221.720000,0.940000,1.900000,-0.000241,-0.021775,-0.014764,-0.185159,0.327100
8,S01,L01,M15,2.728078,-0.000018,36.266466,-0.000314,False,72437.976650,1137.287280,1139.556420,12.738610,222.540000,-0.970000,-2.200000,72441.766285,1129.799830,1133.915110,13.686600,221.490000,0.870000,2.560000,-0.000241,-0.021777,-0.014762,-0.185126,0.327058
9,S01,L01,M14,3.874456,0.000082,56.945765,-0.000381,False,72448.396715,1118.407920,1121.740370,13.053870,222.030000,0.370000,-0.320000,72453.332730,1108.242130,1114.891060,14.048510,222.790000,-0.440000,4.690000,-0.000241,-0.021842,-0.014626,-0.183304,0.324757
10,S01,L01,M15,2.710398,0.000022,35.694193,-0.000316,False,72449.186700,1117.066970,1119.928460,12.685460,222.110000,-0.970000,-0.760000,72452.958655,1109.020880,1115.422580,14.209840,222.910000,-0.400000,4.670000,-0.000241,-0.021843,-0.014624,-0.183270,0.324714
11,S01,L01,M12,2.901792,-0.000014,40.346892,-0.000340,False,72449.976685,1115.796090,1118.468100,12.716570,222.510000,-1.460000,-0.750000,72453.940035,1107.238670,1113.808580,13.591140,222.540000,-0.450000,3.890000,-0.000241,-0.021848,-0.014613,-0.183123,0.324528
12,S01,L01,M15,2.692983,-0.000028,35.140747,-0.000317,False,72460.396695,1096.852920,1102.699880,13.605730,223.050000,-0.420000,3.630000,72464.151235,1090.572260,1096.502050,12.975190,223.620000,-0.450000,-0.910000,-0.000240,-0.021907,-0.014486,-0.181417,0.322370
13,S01,L01,M12,2.883267,-0.000029,39.863520,-0.000341,False,72461.186680,1095.401930,1101.668050,13.889410,222.900000,0.310000,3.740000,72465.131505,1089.089260,1094.734650,12.643620,224.110000,-1.010000,-1.870000,-0.000240,-0.021912,-0.014475,-0.181271,0.322185
14,S01,L01,M13,3.855373,-0.000055,56.540793,-0.000399,False,72461.976775,1094.044790,1100.389490,13.989130,222.920000,0.580000,2.900000,72466.893705,1086.500670,1091.645470,12.564540,223.970000,-1.240000,-1.450000,-0.000240,-0.021919,-0.014459,-0.181060,0.321918
15,S01,L01,M12,2.865807,-0.000007,39.407624,-0.000343,False,72472.396740,1076.034270,1084.328760,13.016340,224.380000,-1.170000,1.940000,72476.324105,1070.504360,1077.916810,13.362840,224.340000,-0.680000,0.060000,-0.000239,-0.021972,-0.014337,-0.179421,0.319841
16,S01,L01,M13,3.829333,0.000050,56.243033,-0.000401,False,72473.186840,1075.261370,1082.806520,12.572310,224.470000,-0.820000,0.000000,72478.077730,1067.038010,1075.744690,13.383690,224.060000,-1.300000,2.170000,-0.000239,-0.021979,-0.014321,-0.179211,0.319575
17,S01,L01,M14,3.810181,-0.000038,56.216113,-0.000385,False,72473.976825,1074.524120,1081.347640,12.567360,224.490000,-0.200000,-1.450000,72478.848565,1065.846240,1074.496560,13.299420,223.800000,-1.090000,1.890000,-0.000239,-0.021983,-0.014311,-0.179082,0.319412
18,S01,L01,M13,3.804533,0.000081,55.948191,-0.000402,False,72484.396880,1057.059080,1066.276400,12.529550,225.030000,-2.550000,0.670000,72489.262970,1049.303850,1059.709400,13.368580,224.930000,-0.100000,0.030000,-0.000238,-0.022036,-0.014183,-0.177365,0.317233
19,S01,L01,M14,3.784431,-0.000040,55.907630,-0.000386,False,72485.186970,1055.873570,1065.261810,12.741570,224.690000,-2.540000,1.230000,72490.032960,1047.971300,1058.636630,13.127520,225.110000,-0.560000,0.200000,-0.000238,-0.022040,-0.014173,-0.177236,0.317070
20,S01,L01,M15,2.657308,-0.000026,33.941811,-0.000319,False,72485.976955,1054.731110,1064.385850,13.271600,224.300000,-1.470000,1.550000,72489.695820,1048.532160,1059.092970,13.217770,225.070000,-0.420000,0.090000,-0.000238,-0.022041,-0.014170,-0.177199,0.317023
21,S01,L01,M14,3.759571,0.000046,55.592877,-0.000387,False,72496.396910,1038.186010,1050.332000,13.521310,225.120000,-0.630000,1.080000,72501.218040,1030.808920,1043.396150,13.010830,224.620000,-0.040000,0.300000,-0.000238,-0.022095,-0.014035,-0.175393,0.314729
22,S01,L01,M15,2.642958,-0.000051,33.437475,-0.000320,False,72497.187005,1036.993510,1049.222940,13.489860,225.290000,-0.720000,0.870000,72500.891520,1031.351840,1043.797330,13.037530,224.530000,-0.220000,0.260000,-0.000238,-0.022096,-0.014032,-0.175355,0.314680
23,S01,L01,M12,2.829952,-0.000004,38.429597,-0.000345,False,72497.976880,1035.818930,1048.053310,13.416930,225.120000,-0.800000,0.620000,72501.868390,1029.701220,1042.584540,12.962060,224.750000,0.160000,0.470000,-0.000238,-0.022100,-0.014021,-0.175209,0.314495
24,S01,L01,M15,2.628868,-0.000009,32.944441,-0.000321,False,72508.396960,1019.084500,1033.845790,12.560380,223.910000,-2.000000,1.650000,72512.087385,1013.868370,1028.557250,13.475750,224.270000,-0.690000,-0.080000,-0.000237,-0.022147,-0.013893,-0.173514,0.312338
25,S01,L01,M12,2.815007,-0.000014,38.019596,-0.000346,False,72509.187050,1018.259980,1032.867420,12.575440,223.940000,-0.590000,0.970000,72513.063615,1012.142250,1027.334220,13.389640,224.040000,-1.420000,0.750000,-0.000237,-0.022151,-0.013882,-0.173369,0.312153
26,S01,L01,M13,3.750628,-0.000062,55.284506,-0.000405,False,72509.977140,1017.416690,1031.818920,12.938350,224.170000,0.830000,0.120000,72514.789325,1009.681690,1025.275060,13.294710,223.670000,-0.160000,1.160000,-0.000237,-0.022157,-0.013867,-0.173162,0.311891
27,S01,L01,M12,2.800607,0.000001,37.591639,-0.000347,False,72520.397195,1001.148710,1017.588540,13.232500,223.150000,0.270000,0.410000,72524.259360,994.854770,1012.011280,13.280910,222.370000,-1.200000,1.520000,-0.000236,-0.022199,-0.013744,-0.171531,0.309812
28,S01,L01,M13,3.727728,0.000110,54.982034,-0.000407,False,72521.187185,1000.172320,1016.286170,13.111980,223.050000,0.310000,-0.030000,72525.976470,992.256660,1010.493090,13.975840,223.290000,1.400000,1.770000,-0.000236,-0.022205,-0.013728,-0.171325,0.309550
29,S01,L01,M14,3.703481,0.000086,54.886723,-0.000389,False,72521.977275,998.980470,1014.902590,12.948950,223.040000,-0.410000,-0.400000,72526.742315,990.947380,1009.509550,13.773390,223.540000,1.080000,1.520000,-0.000236,-0.022208,-0.013719,-0.171198,0.309388
30,S01,L01,M13,3.704533,-0.000027,54.700089,-0.000408,False,72532.397250,982.697670,1001.154060,13.761160,222.580000,0.100000,1.800000,72537.163340,975.756300,994.433730,12.660660,222.240000,-0.700000,-2.030000,-0.000236,-0.022249,-0.013590,-0.169492,0.307210
